,other_parties_cat,savings_status_cat,class_cat,other_payment_plans_cat,credit_history_cat,personal_status_cat,property_magnitude_cat,num_dependents_num,purpose_cat,credit_amount_num
664,none,<100,good,none,critical/other existing credit,female div/dep/mar,life insurance,1.0,education,1047.0
665,co applicant,<100,good,bank,critical/other existing credit,male single,no known property,1.0,other,6314.0
666,none,>=1000,good,stores,all paid,male single,car,2.0,furniture/equipment,3496.0
667,none,<100,good,stores,all paid,female div/dep/mar,real estate,1.0,business,3609.0
668,co applicant,<100,bad,none,critical/other existing credit,male single,life insurance,1.0,new car,4843.0
669,none,<100,good,none,critical/other existing credit,male single,life insurance,1.0,radio/tv,3017.0
670,none,100<=X<500,good,none,critical/other existing credit,male single,life insurance,1.0,business,4139.0
671,none,100<=X<500,good,none,existing paid,male single,car,1.0,business,5742.0
672,none,<100,good,none,existing paid,male single,life insurance,1.0,new car,10366.0
673,none,500<=X<1000,good,none,critical/other existing credit,male mar/wid,car,1.0,new car,2080.0
674,none,500<=X<1000,bad,bank,delayed previously,male single,real estate,2.0,business,2580.0
675,none,<100,good,none,critical/other existing credit,female div/dep/mar,car,1.0,radio/tv,4530.0
676,none,<100,good,none,critical/other existing credit,male single,car,1.0,furniture/equipment,5150.0
677,none,100<=X<500,bad,none,existing paid,male mar/wid,car,1.0,radio/tv,5595.0
678,none,<100,good,bank,existing paid,male single,real estate,1.0,radio/tv,2384.0
679,none,<100,good,none,existing paid,female div/dep/mar,real estate,1.0,radio/tv,1453.0
680,none,<100,good,none,existing paid,female div/dep/mar,no known property,1.0,education,1538.0
681,none,no known savings,good,none,existing paid,male single,no known property,1.0,radio/tv,2279.0
682,none,<100,good,bank,delayed previously,male mar/wid,real estate,1.0,radio/tv,1478.0
683,none,<100,good,none,critical/other existing credit,male mar/wid,no known property,1.0,radio/tv,5103.0
684,none,100<=X<500,good,none,delayed previously,male single,life insurance,2.0,business,9857.0
685,none,no known savings,good,none,existing paid,male single,no known property,2.0,new car,6527.0
686,none,no known savings,good,none,critical/other existing credit,male single,life insurance,1.0,radio/tv,1347.0
687,none,100<=X<500,good,none,delayed previously,male single,no known property,1.0,new car,2862.0
688,co applicant,100<=X<500,good,none,existing paid,male single,car,1.0,radio/tv,2753.0
689,none,>=1000,good,none,existing paid,male single,life insurance,2.0,new car,3651.0
690,none,<100,good,none,critical/other existing credit,male div/sep,life insurance,1.0,furniture/equipment,975.0
691,none,100<=X<500,good,none,existing paid,female div/dep/mar,real estate,1.0,repairs,2631.0
692,none,100<=X<500,good,none,existing paid,male single,car,1.0,radio/tv,2896.0
693,none,no known savings,good,none,critical/other existing credit,male single,real estate,2.0,new car,4716.0
694,none,<100,good,none,existing paid,male single,car,1.0,radio/tv,2284.0
695,none,500<=X<1000,good,none,existing paid,male single,life insurance,1.0,used car,1236.0
696,guarantor,<100,good,none,existing paid,male single,real estate,1.0,radio/tv,1103.0
697,none,<100,good,none,critical/other existing credit,female div/dep/mar,life insurance,1.0,new car,926.0
698,none,<100,good,none,critical/other existing credit,male single,car,1.0,radio/tv,1800.0
699,none,<100,good,none,existing paid,male single,car,1.0,education,1905.0
700,none,500<=X<1000,bad,none,existing paid,female div/dep/mar,car,1.0,furniture/equipment,1123.0
701,none,<100,bad,none,critical/other existing credit,male single,no known property,1.0,used car,6331.0
702,none,100<=X<500,good,none,existing paid,female div/dep/mar,no known property,1.0,radio/tv,1377.0
703,none,100<=X<500,good,stores,delayed previously,male single,life insurance,1.0,business,2503.0
704,none,<100,good,none,existing paid,female div/dep/mar,life insurance,2.0,business,2528.0
705,none,500<=X<1000,good,none,existing paid,female div/dep/mar,no known property,1.0,new car,5324.0
706,none,100<=X<500,bad,none,existing paid,male single,life insurance,1.0,new car,6560.0
707,none,<100,bad,none,no credits/all paid,female div/dep/mar,life insurance,1.0,furniture/equipment,2969.0
708,none,<100,good,none,existing paid,female div/dep/mar,real estate,1.0,radio/tv,1206.0
709,none,<100,good,none,existing paid,male single,real estate,2.0,radio/tv,2118.0
710,none,500<=X<1000,good,bank,critical/other existing credit,male single,life insurance,1.0,radio/tv,629.0
711,none,<100,bad,none,all paid,female div/dep/mar,no known property,1.0,education,1198.0
712,none,no known savings,good,none,existing paid,male single,real estate,1.0,used car,2476.0
713,none,<100,good,none,critical/other existing credit,male single,real estate,1.0,radio/tv,1138.0
714,none,<100,bad,none,existing paid,male single,no known property,1.0,new car,14027.0
715,none,no known savings,good,none,critical/other existing credit,male single,car,1.0,used car,7596.0
716,none,no known savings,good,none,critical/other existing credit,male single,car,2.0,radio/tv,3077.0
717,none,<100,good,none,existing paid,male single,no known property,1.0,radio/tv,1505.0
718,none,no known savings,good,none,critical/other existing credit,male single,car,1.0,radio/tv,3148.0
719,none,100<=X<500,good,bank,no credits/all paid,male mar/wid,car,1.0,used car,6148.0
720,none,<100,bad,none,no credits/all paid,male single,car,1.0,radio/tv,1337.0
721,none,>=1000,bad,bank,all paid,female div/dep/mar,life insurance,2.0,education,433.0
722,none,<100,bad,none,existing paid,female div/dep/mar,real estate,1.0,new car,1228.0
723,none,500<=X<1000,good,none,existing paid,female div/dep/mar,real estate,1.0,radio/tv,790.0
724,none,<100,bad,none,existing paid,female div/dep/mar,real estate,1.0,new car,2570.0
725,none,>=1000,good,bank,critical/other existing credit,female div/dep/mar,real estate,1.0,new car,250.0
726,none,500<=X<1000,good,none,critical/other existing credit,male mar/wid,life insurance,1.0,radio/tv,1316.0
727,none,<100,bad,bank,existing paid,female div/dep/mar,car,1.0,radio/tv,1882.0
728,none,<100,bad,none,all paid,female div/dep/mar,no known property,1.0,business,6416.0
729,none,>=1000,good,none,critical/other existing credit,male div/sep,real estate,1.0,business,1275.0
730,none,<100,good,none,delayed previously,male single,car,1.0,radio/tv,6403.0
731,none,<100,bad,none,existing paid,male single,real estate,2.0,radio/tv,1987.0
732,guarantor,<100,good,none,existing paid,female div/dep/mar,real estate,1.0,radio/tv,760.0
733,none,>=1000,good,none,existing paid,female div/dep/mar,car,1.0,used car,2603.0
734,none,<100,good,none,critical/other existing credit,female div/dep/mar,real estate,2.0,new car,3380.0
735,none,no known savings,good,bank,all paid,female div/dep/mar,no known property,1.0,domestic appliance,3990.0
736,none,<100,bad,none,existing paid,female div/dep/mar,car,1.0,used car,11560.0
737,none,100<=X<500,good,none,existing paid,male single,car,2.0,new car,4380.0
738,none,<100,good,none,critical/other existing credit,male single,no known property,2.0,new car,6761.0
739,none,100<=X<500,bad,none,no credits/all paid,female div/dep/mar,car,1.0,business,4280.0
740,none,100<=X<500,good,bank,all paid,male single,car,1.0,new car,2325.0
741,none,<100,good,stores,all paid,male single,real estate,1.0,radio/tv,1048.0
742,none,no known savings,good,none,existing paid,male single,life insurance,1.0,radio/tv,3160.0
743,none,500<=X<1000,good,stores,all paid,male single,real estate,1.0,furniture/equipment,2483.0
744,none,no known savings,good,none,critical/other existing credit,male single,life insurance,1.0,furniture/equipment,14179.0
745,none,<100,good,bank,critical/other existing credit,male single,life insurance,1.0,business,1797.0
746,none,<100,good,none,existing paid,female div/dep/mar,car,1.0,new car,2511.0
747,none,<100,bad,none,existing paid,female div/dep/mar,real estate,1.0,new car,1274.0
748,none,no known savings,good,none,existing paid,male single,car,1.0,used car,5248.0
749,none,<100,good,none,existing paid,male single,car,1.0,used car,3029.0
750,none,<100,good,bank,existing paid,female div/dep/mar,life insurance,1.0,furniture/equipment,428.0
751,none,<100,bad,none,existing paid,female div/dep/mar,car,1.0,new car,976.0
752,none,100<=X<500,good,none,existing paid,female div/dep/mar,real estate,1.0,business,841.0
753,none,<100,good,none,critical/other existing credit,female div/dep/mar,car,1.0,radio/tv,5771.0
754,none,>=1000,bad,none,delayed previously,male single,no known property,2.0,repairs,1555.0
755,none,no known savings,bad,none,existing paid,female div/dep/mar,no known property,1.0,new car,1285.0
756,none,<100,good,none,critical/other existing credit,male single,real estate,2.0,new car,1299.0
757,none,no known savings,bad,none,critical/other existing credit,male single,no known property,1.0,radio/tv,1271.0
758,guarantor,<100,good,none,existing paid,male single,real estate,1.0,new car,1393.0
759,none,<100,bad,none,critical/other existing credit,male single,life insurance,1.0,new car,691.0
760,none,no known savings,good,none,critical/other existing credit,female div/dep/mar,car,1.0,new car,5045.0
761,none,<100,bad,none,critical/other existing credit,female div/dep/mar,real estate,1.0,furniture/equipment,2124.0
762,none,<100,good,none,existing paid,male single,life insurance,1.0,radio/tv,2214.0
763,none,no known savings,bad,none,critical/other existing credit,male single,no known property,1.0,new car,12680.0
764,none,100<=X<500,good,none,critical/other existing credit,male mar/wid,life insurance,1.0,new car,2463.0
765,guarantor,<100,good,bank,existing paid,male mar/wid,real estate,1.0,radio/tv,1155.0
766,none,<100,bad,none,existing paid,male div/sep,life insurance,1.0,furniture/equipment,3108.0
767,none,no known savings,good,none,existing paid,female div/dep/mar,real estate,1.0,used car,2901.0
768,none,<100,good,none,critical/other existing credit,male single,car,1.0,furniture/equipment,3617.0
769,none,<100,good,none,critical/other existing credit,male single,real estate,1.0,radio/tv,1655.0
770,none,no known savings,good,none,existing paid,female div/dep/mar,real estate,1.0,used car,2812.0
771,none,<100,bad,none,critical/other existing credit,female div/dep/mar,no known property,1.0,education,8065.0
772,none,<100,good,none,critical/other existing credit,male single,car,1.0,used car,3275.0
773,none,100<=X<500,good,bank,critical/other existing credit,male single,life insurance,1.0,radio/tv,2223.0
774,none,500<=X<1000,good,bank,critical/other existing credit,male single,no known property,1.0,new car,1480.0
775,none,no known savings,bad,none,existing paid,female div/dep/mar,real estate,1.0,new car,1371.0
776,none,<100,good,none,critical/other existing credit,male single,car,1.0,new car,3535.0
777,guarantor,<100,good,none,existing paid,female div/dep/mar,real estate,1.0,radio/tv,3509.0
778,none,>=1000,good,none,critical/other existing credit,male single,car,1.0,used car,5711.0
779,none,<100,good,none,existing paid,female div/dep/mar,car,1.0,repairs,3872.0
780,guarantor,<100,bad,none,critical/other existing credit,male single,real estate,1.0,radio/tv,4933.0
781,none,>=1000,good,none,critical/other existing credit,male single,real estate,1.0,new car,1940.0
782,none,<100,good,none,no credits/all paid,male single,real estate,1.0,retraining,1410.0
783,none,100<=X<500,bad,bank,existing paid,female div/dep/mar,life insurance,1.0,new car,836.0
784,none,no known savings,good,none,existing paid,male div/sep,real estate,1.0,used car,6468.0
785,none,>=1000,good,none,existing paid,male single,life insurance,1.0,business,1941.0
786,none,500<=X<1000,good,none,existing paid,male single,car,1.0,radio/tv,2675.0
787,none,no known savings,good,none,critical/other existing credit,male single,car,2.0,used car,2751.0
788,none,<100,bad,none,delayed previously,male single,no known property,1.0,education,6224.0
789,none,<100,bad,bank,critical/other existing credit,male single,no known property,1.0,education,5998.0
790,none,<100,bad,none,existing paid,female div/dep/mar,life insurance,2.0,business,1188.0
791,none,no known savings,good,none,existing paid,male single,car,2.0,used car,6313.0
792,none,no known savings,good,none,critical/other existing credit,male mar/wid,life insurance,1.0,furniture/equipment,1221.0
793,none,<100,good,none,existing paid,male div/sep,no known property,1.0,furniture/equipment,2892.0
794,none,500<=X<1000,good,none,existing paid,male single,no known property,1.0,furniture/equipment,3062.0
795,none,100<=X<500,good,none,existing paid,female div/dep/mar,life insurance,1.0,furniture/equipment,2301.0
796,none,no known savings,bad,none,existing paid,male single,life insurance,2.0,used car,7511.0
797,none,<100,good,none,critical/other existing credit,female div/dep/mar,life insurance,1.0,furniture/equipment,1258.0
798,none,no known savings,good,none,delayed previously,male mar/wid,car,1.0,new car,717.0
799,none,no known savings,good,none,existing paid,male single,real estate,1.0,new car,1549.0
800,none,<100,good,none,critical/other existing credit,male single,no known property,2.0,education,1597.0
801,guarantor,<100,good,bank,critical/other existing credit,female div/dep/mar,real estate,1.0,radio/tv,1795.0
802,none,<100,good,none,critical/other existing credit,female div/dep/mar,life insurance,1.0,furniture/equipment,4272.0
803,none,no known savings,good,none,critical/other existing credit,male single,car,1.0,radio/tv,976.0
804,none,no known savings,good,none,existing paid,female div/dep/mar,real estate,1.0,new car,7472.0
805,none,<100,bad,none,existing paid,male single,car,1.0,new car,9271.0
806,none,<100,good,none,existing paid,male mar/wid,real estate,1.0,radio/tv,590.0
807,none,no known savings,good,none,critical/other existing credit,male single,real estate,1.0,radio/tv,930.0
808,none,<100,good,bank,all paid,male single,no known property,1.0,used car,9283.0
809,none,<100,bad,none,no credits/all paid,female div/dep/mar,real estate,1.0,new car,1778.0
810,none,<100,good,none,existing paid,male mar/wid,real estate,1.0,business,907.0
811,guarantor,<100,good,bank,existing paid,male mar/wid,real estate,1.0,radio/tv,484.0
812,none,<100,bad,none,critical/other existing credit,male single,car,1.0,used car,9629.0
813,none,<100,bad,none,existing paid,male single,car,1.0,domestic appliance,3051.0
814,none,<100,bad,none,existing paid,male single,no known property,2.0,new car,3931.0
815,none,<100,good,none,delayed previously,female div/dep/mar,life insurance,1.0,new car,7432.0
816,none,500<=X<1000,good,none,existing paid,male div/sep,real estate,1.0,domestic appliance,1338.0
817,none,<100,good,none,critical/other existing credit,female div/dep/mar,car,1.0,radio/tv,1554.0
818,co applicant,<100,good,none,existing paid,male div/sep,car,1.0,other,15857.0
819,none,<100,bad,bank,existing paid,male mar/wid,real estate,1.0,radio/tv,1345.0
820,none,<100,good,none,existing paid,male mar/wid,real estate,1.0,new car,1101.0
821,none,<100,good,none,existing paid,male mar/wid,car,1.0,radio/tv,3016.0
822,none,<100,bad,bank,existing paid,male single,life insurance,2.0,furniture/equipment,2712.0
823,none,<100,good,none,critical/other existing credit,male single,real estate,1.0,new car,731.0
824,none,<100,good,none,critical/other existing credit,male div/sep,car,1.0,furniture/equipment,3780.0
825,none,<100,good,none,critical/other existing credit,male mar/wid,car,1.0,new car,1602.0
826,none,<100,bad,bank,critical/other existing credit,female div/dep/mar,real estate,1.0,new car,3966.0
827,none,<100,bad,stores,no credits/all paid,male single,car,2.0,business,4165.0
828,none,no known savings,bad,none,existing paid,male single,no known property,1.0,used car,8335.0
829,none,no known savings,good,none,delayed previously,male single,no known property,2.0,business,6681.0
830,none,500<=X<1000,good,none,delayed previously,male single,car,2.0,business,2375.0
831,none,<100,bad,none,existing paid,female div/dep/mar,car,1.0,new car,1216.0
832,none,<100,bad,none,no credits/all paid,male single,car,1.0,business,11816.0
833,none,no known savings,good,none,existing paid,female div/dep/mar,car,1.0,radio/tv,5084.0
834,none,<100,bad,none,existing paid,female div/dep/mar,real estate,1.0,radio/tv,2327.0
835,none,<100,bad,bank,no credits/all paid,male single,car,1.0,new car,1082.0
836,none,no known savings,good,none,existing paid,female div/dep/mar,car,1.0,radio/tv,886.0
837,none,<100,good,none,existing paid,female div/dep/mar,real estate,2.0,furniture/equipment,601.0
838,none,<100,good,none,critical/other existing credit,male single,life insurance,1.0,used car,2957.0
839,co applicant,<100,good,none,critical/other existing credit,male mar/wid,real estate,1.0,radio/tv,2611.0
840,none,<100,bad,none,existing paid,male single,life insurance,1.0,furniture/equipment,5179.0
841,none,<100,good,stores,delayed previously,male single,real estate,1.0,used car,2993.0
842,none,<100,bad,none,existing paid,female div/dep/mar,real estate,1.0,repairs,1943.0
843,none,<100,good,bank,all paid,male single,car,1.0,business,1559.0
844,none,<100,good,bank,existing paid,male single,life insurance,2.0,furniture/equipment,3422.0
845,none,no known savings,good,none,existing paid,male single,car,1.0,furniture/equipment,3976.0
846,none,no known savings,bad,none,existing paid,male single,car,1.0,new car,6761.0
847,none,<100,good,none,existing paid,male mar/wid,real estate,1.0,new car,1249.0
848,none,<100,good,none,existing paid,male single,real estate,1.0,radio/tv,1364.0
849,none,<100,bad,stores,existing paid,male single,real estate,1.0,radio/tv,709.0
850,guarantor,<100,bad,bank,critical/other existing credit,male mar/wid,life insurance,1.0,new car,2235.0
851,none,no known savings,good,none,critical/other existing credit,male single,life insurance,1.0,used car,4042.0
852,none,<100,good,none,critical/other existing credit,male single,no known property,1.0,radio/tv,1471.0
853,none,<100,bad,none,all paid,male single,no known property,2.0,new car,1442.0
854,none,<100,good,none,delayed previously,male single,car,2.0,new car,10875.0
855,none,100<=X<500,good,none,existing paid,male mar/wid,real estate,1.0,new car,1474.0
856,none,no known savings,good,none,existing paid,female div/dep/mar,life insurance,1.0,retraining,894.0
857,none,<100,good,none,critical/other existing credit,male single,no known property,1.0,furniture/equipment,3343.0
858,none,<100,bad,none,existing paid,female div/dep/mar,life insurance,1.0,new car,3959.0
859,guarantor,100<=X<500,good,none,existing paid,male single,real estate,2.0,new car,3577.0
860,none,>=1000,good,none,critical/other existing credit,male single,real estate,1.0,used car,5804.0
861,none,<100,bad,none,delayed previously,male mar/wid,car,1.0,business,2169.0
862,none,<100,bad,none,existing paid,female div/dep/mar,real estate,1.0,radio/tv,2439.0
863,none,>=1000,good,stores,critical/other existing credit,male single,real estate,2.0,furniture/equipment,4526.0
864,none,<100,bad,bank,existing paid,male single,real estate,1.0,furniture/equipment,2210.0
865,none,500<=X<1000,good,none,existing paid,female div/dep/mar,car,1.0,furniture/equipment,2221.0
866,none,<100,good,stores,existing paid,female div/dep/mar,car,1.0,radio/tv,2389.0
867,none,<100,good,stores,critical/other existing credit,male single,life insurance,1.0,furniture/equipment,3331.0
868,none,no known savings,good,none,existing paid,male single,life insurance,1.0,business,7409.0
869,none,<100,good,none,existing paid,female div/dep/mar,life insurance,1.0,furniture/equipment,652.0
870,none,500<=X<1000,good,none,delayed previously,female div/dep/mar,car,1.0,furniture/equipment,7678.0
871,none,<100,good,none,critical/other existing credit,male single,real estate,2.0,new car,1343.0
872,none,100<=X<500,good,none,critical/other existing credit,male single,real estate,1.0,business,1382.0
873,none,no known savings,good,none,existing paid,female div/dep/mar,real estate,1.0,domestic appliance,874.0
874,co applicant,<100,good,none,existing paid,male single,life insurance,2.0,furniture/equipment,3590.0
875,none,>=1000,good,none,critical/other existing credit,female div/dep/mar,car,1.0,new car,1322.0
876,co applicant,<100,good,bank,all paid,male single,no known property,1.0,radio/tv,1940.0
877,none,<100,good,none,existing paid,male single,car,1.0,radio/tv,3595.0
878,none,<100,bad,none,existing paid,male single,no known property,1.0,new car,1422.0
879,none,no known savings,good,none,critical/other existing credit,male single,life insurance,1.0,radio/tv,6742.0
880,none,<100,good,none,existing paid,male single,car,1.0,used car,7814.0
881,none,no known savings,good,none,existing paid,male div/sep,no known property,1.0,used car,9277.0
882,none,no known savings,good,none,critical/other existing credit,male single,real estate,1.0,new car,2181.0
883,none,<100,good,none,critical/other existing credit,female div/dep/mar,car,1.0,radio/tv,1098.0
884,none,<100,bad,none,existing paid,male div/sep,car,1.0,furniture/equipment,4057.0
885,none,<100,bad,none,existing paid,female div/dep/mar,life insurance,1.0,education,795.0
886,none,no known savings,good,none,critical/other existing credit,male single,no known property,2.0,business,2825.0
887,none,<100,bad,none,existing paid,male single,car,1.0,business,15672.0
888,none,<100,good,none,critical/other existing credit,male single,car,1.0,new car,6614.0
889,guarantor,no known savings,good,bank,all paid,male single,real estate,2.0,used car,7824.0
890,none,<100,good,stores,critical/other existing credit,male single,car,2.0,business,2442.0
891,none,<100,good,none,critical/other existing credit,male single,car,1.0,radio/tv,1829.0
892,none,<100,good,bank,critical/other existing credit,male single,life insurance,1.0,new car,2171.0
893,none,<100,good,none,critical/other existing credit,male single,car,1.0,used car,5800.0
894,none,no known savings,good,none,critical/other existing credit,male single,life insurance,1.0,radio/tv,1169.0
895,none,no known savings,good,stores,delayed previously,male single,car,2.0,used car,8947.0
896,none,<100,good,none,existing paid,female div/dep/mar,life insurance,1.0,radio/tv,2606.0
897,none,>=1000,good,none,critical/other existing credit,female div/dep/mar,life insurance,1.0,furniture/equipment,1592.0
898,none,no known savings,good,bank,existing paid,female div/dep/mar,real estate,1.0,furniture/equipment,2186.0
899,co applicant,<100,bad,none,existing paid,male single,car,1.0,furniture/equipment,4153.0
900,guarantor,<100,bad,bank,critical/other existing credit,male single,life insurance,1.0,new car,2625.0
901,none,no known savings,good,none,critical/other existing credit,male div/sep,real estate,1.0,new car,3485.0
902,none,no known savings,good,none,critical/other existing credit,male single,no known property,1.0,used car,10477.0
903,none,no known savings,good,none,existing paid,male mar/wid,real estate,1.0,radio/tv,1386.0
904,none,<100,good,none,existing paid,male single,real estate,1.0,radio/tv,1278.0
905,none,<100,good,none,existing paid,male single,real estate,2.0,radio/tv,1107.0
906,co applicant,no known savings,good,none,existing paid,male single,real estate,1.0,new car,3763.0
907,none,no known savings,good,none,existing paid,male mar/wid,car,1.0,education,3711.0
908,none,<100,good,none,delayed previously,female div/dep/mar,life insurance,1.0,used car,3594.0
909,none,no known savings,good,none,existing paid,female div/dep/mar,real estate,1.0,new car,3195.0
910,none,<100,good,none,delayed previously,female div/dep/mar,real estate,1.0,radio/tv,4454.0
911,none,<100,bad,bank,critical/other existing credit,female div/dep/mar,car,1.0,furniture/equipment,4736.0
912,none,no known savings,good,none,existing paid,female div/dep/mar,car,1.0,radio/tv,2991.0
913,none,>=1000,good,none,existing paid,male div/sep,real estate,1.0,business,2142.0
914,none,<100,bad,none,all paid,male single,life insurance,1.0,business,3161.0
915,none,<100,bad,bank,no credits/all paid,female div/dep/mar,life insurance,1.0,other,18424.0
916,co applicant,100<=X<500,good,none,existing paid,male single,real estate,2.0,used car,2848.0
917,none,<100,bad,bank,existing paid,male single,no known property,1.0,new car,14896.0
918,none,100<=X<500,bad,none,existing paid,male div/sep,life insurance,1.0,furniture/equipment,2359.0
919,none,<100,bad,none,existing paid,male single,life insurance,1.0,furniture/equipment,3345.0
920,none,<100,good,none,critical/other existing credit,female div/dep/mar,no known property,1.0,furniture/equipment,1817.0
921,none,500<=X<1000,good,none,delayed previously,male single,car,1.0,radio/tv,12749.0
922,none,<100,bad,none,existing paid,female div/dep/mar,life insurance,1.0,radio/tv,1366.0
923,none,<100,good,none,existing paid,male single,life insurance,2.0,new car,2002.0
924,none,<100,bad,bank,all paid,male div/sep,life insurance,1.0,furniture/equipment,6872.0
925,none,<100,bad,bank,all paid,male single,car,1.0,new car,697.0
926,none,<100,good,none,critical/other existing credit,female div/dep/mar,life insurance,1.0,furniture/equipment,1049.0
927,none,<100,bad,stores,existing paid,male single,no known property,2.0,used car,10297.0
928,none,no known savings,good,none,existing paid,male single,car,1.0,radio/tv,1867.0
929,none,<100,good,none,delayed previously,male single,real estate,2.0,new car,1344.0
930,co applicant,<100,good,none,existing paid,male single,life insurance,1.0,furniture/equipment,1747.0
931,none,<100,bad,none,existing paid,female div/dep/mar,car,1.0,radio/tv,1670.0
932,none,<100,good,none,critical/other existing credit,male single,real estate,1.0,new car,1224.0
933,none,500<=X<1000,good,none,critical/other existing credit,male single,life insurance,2.0,radio/tv,522.0
934,none,<100,good,bank,existing paid,female div/dep/mar,car,1.0,radio/tv,1498.0
935,none,100<=X<500,bad,stores,delayed previously,male single,no known property,1.0,radio/tv,1919.0
936,none,<100,bad,none,existing paid,female div/dep/mar,real estate,1.0,radio/tv,745.0
937,none,<100,good,none,existing paid,male mar/wid,car,1.0,radio/tv,2063.0
938,none,<100,bad,none,existing paid,male single,no known property,1.0,education,6288.0
939,none,no known savings,good,none,critical/other existing credit,male single,life insurance,2.0,used car,6842.0
940,none,no known savings,good,none,existing paid,male single,life insurance,2.0,new car,3527.0
941,none,<100,good,none,existing paid,male single,real estate,2.0,new car,1546.0
942,none,no known savings,good,stores,existing paid,male single,car,1.0,furniture/equipment,929.0
943,none,<100,good,none,critical/other existing credit,male single,real estate,2.0,new car,1455.0
944,guarantor,<100,good,none,existing paid,female div/dep/mar,life insurance,1.0,furniture/equipment,1845.0
945,none,500<=X<1000,good,none,no credits/all paid,female div/dep/mar,car,1.0,new car,8358.0
946,none,500<=X<1000,bad,none,all paid,male single,no known property,2.0,furniture/equipment,3349.0
947,none,no known savings,good,none,existing paid,male single,no known property,1.0,new car,2859.0
948,co applicant,<100,bad,none,existing paid,male mar/wid,life insurance,2.0,furniture/equipment,1533.0
949,none,100<=X<500,bad,none,existing paid,male single,car,1.0,radio/tv,3621.0
950,none,<100,good,none,critical/other existing credit,male mar/wid,car,2.0,business,3590.0
951,none,<100,bad,none,delayed previously,male single,car,1.0,business,2145.0
952,none,500<=X<1000,bad,none,existing paid,female div/dep/mar,car,1.0,used car,4113.0
953,none,<100,bad,none,existing paid,female div/dep/mar,car,1.0,furniture/equipment,10974.0
954,guarantor,<100,good,none,existing paid,female div/dep/mar,life insurance,1.0,new car,1893.0
955,none,>=1000,good,none,critical/other existing credit,female div/dep/mar,life insurance,1.0,radio/tv,1231.0
956,none,no known savings,good,stores,critical/other existing credit,male single,life insurance,1.0,radio/tv,3656.0
957,none,<100,good,none,critical/other existing credit,male single,real estate,1.0,radio/tv,1154.0
958,none,<100,bad,none,existing paid,male single,car,1.0,new car,4006.0
959,none,100<=X<500,good,none,existing paid,male single,no known property,1.0,furniture/equipment,3069.0
960,none,<100,good,none,critical/other existing credit,male mar/wid,real estate,1.0,radio/tv,1740.0
961,none,<100,good,none,delayed previously,male div/sep,life insurance,1.0,new car,2353.0
962,none,no known savings,good,none,existing paid,male single,no known property,1.0,new car,3556.0
963,none,500<=X<1000,bad,bank,existing paid,male single,car,1.0,radio/tv,2397.0
964,none,<100,good,none,existing paid,male mar/wid,life insurance,1.0,repairs,454.0
965,none,no known savings,good,none,existing paid,female div/dep/mar,car,1.0,radio/tv,1715.0
966,none,500<=X<1000,bad,none,critical/other existing credit,male single,life insurance,1.0,radio/tv,2520.0
967,none,<100,good,bank,existing paid,female div/dep/mar,car,1.0,radio/tv,3568.0
968,none,no known savings,good,none,existing paid,male mar/wid,life insurance,1.0,radio/tv,7166.0
969,none,<100,good,none,critical/other existing credit,male single,real estate,2.0,new car,3939.0
970,guarantor,100<=X<500,good,none,existing paid,male single,real estate,1.0,repairs,1514.0
971,none,<100,good,none,existing paid,male single,life insurance,2.0,new car,7393.0
972,co applicant,<100,bad,none,all paid,female div/dep/mar,no known property,1.0,new car,1193.0
973,co applicant,<100,bad,none,existing paid,male single,no known property,1.0,business,7297.0
974,none,<100,good,none,critical/other existing credit,female div/dep/mar,car,1.0,radio/tv,2831.0
975,none,500<=X<1000,good,none,existing paid,female div/dep/mar,car,1.0,radio/tv,1258.0
976,guarantor,<100,good,none,existing paid,female div/dep/mar,real estate,1.0,radio/tv,753.0
977,none,no known savings,good,none,delayed previously,male single,life insurance,1.0,business,2427.0
978,none,<100,bad,none,delayed previously,male single,car,2.0,new car,2538.0
979,none,100<=X<500,bad,none,all paid,male mar/wid,life insurance,1.0,new car,1264.0
980,none,<100,bad,none,critical/other existing credit,male single,life insurance,1.0,furniture/equipment,8386.0
981,none,<100,bad,bank,existing paid,male single,car,1.0,business,4844.0
982,none,100<=X<500,good,bank,existing paid,female div/dep/mar,car,1.0,new car,2923.0
983,none,<100,bad,none,existing paid,male single,life insurance,2.0,used car,8229.0
984,none,<100,good,none,critical/other existing credit,male single,life insurance,1.0,furniture/equipment,2028.0
985,none,<100,good,none,critical/other existing credit,female div/dep/mar,life insurance,1.0,furniture/equipment,1433.0
986,none,<100,good,none,no credits/all paid,male div/sep,life insurance,1.0,business,6289.0
987,none,100<=X<500,good,none,existing paid,female div/dep/mar,real estate,1.0,radio/tv,1409.0
988,none,<100,good,none,existing paid,male single,no known property,1.0,used car,6579.0
989,none,<100,good,none,critical/other existing credit,male single,life insurance,1.0,radio/tv,1743.0
990,none,no known savings,good,none,critical/other existing credit,male single,life insurance,2.0,education,3565.0
991,none,100<=X<500,good,bank,all paid,male single,car,2.0,radio/tv,1569.0
992,none,no known savings,good,none,existing paid,male mar/wid,car,1.0,radio/tv,1936.0
993,none,<100,good,none,existing paid,male single,life insurance,1.0,furniture/equipment,3959.0
994,none,no known savings,good,none,existing paid,male single,car,1.0,new car,2390.0
995,none,<100,good,none,existing paid,female div/dep/mar,real estate,1.0,furniture/equipment,1736.0
