,spore-print-color_cat,veil-color_cat,cap-color_cat,stalk-surface-below-ring_cat,ring-type_cat,veil-type_cat,stalk-shape_cat,bruises%3F_cat,cap-surface_cat,ring-number_cat,gill-attachment_cat,gill-spacing_cat
4362,h,w,g,k,l,p,e,f,y,o,f,c
4363,h,w,y,k,l,p,e,f,f,o,f,c
4364,w,w,w,s,p,p,e,t,y,o,f,w
4365,h,w,b,s,p,p,t,t,s,o,f,c
4366,h,w,y,k,l,p,e,f,y,o,f,c
4367,h,w,g,k,l,p,e,f,y,o,f,c
4368,h,w,g,k,l,p,e,f,y,o,f,c
4369,h,w,y,k,l,p,e,f,y,o,f,c
4370,h,w,g,k,l,p,e,f,f,o,f,c
4371,h,w,y,k,l,p,e,f,y,o,f,c
4372,h,w,y,k,l,p,e,f,f,o,f,c
4373,h,w,g,k,l,p,e,f,f,o,f,c
4374,h,w,w,f,p,p,t,t,s,o,f,c
4375,n,w,g,s,p,p,t,t,y,o,f,c
4376,w,w,n,k,e,p,t,f,y,o,f,c
4377,h,w,g,k,l,p,e,f,y,o,f,c
4378,h,w,g,k,l,p,e,f,f,o,f,c
4379,k,w,e,s,p,p,t,t,y,o,f,c
4380,w,w,b,s,e,p,e,t,y,t,f,c
4381,h,w,y,k,l,p,e,f,y,o,f,c
4382,h,w,y,k,l,p,e,f,y,o,f,c
4383,h,w,y,k,l,p,e,f,y,o,f,c
4384,h,w,y,k,l,p,e,f,y,o,f,c
4385,h,w,y,k,l,p,e,f,f,o,f,c
4386,h,w,g,k,l,p,e,f,y,o,f,c
4387,h,w,g,k,l,p,e,f,f,o,f,c
4388,h,w,y,k,l,p,e,f,y,o,f,c
4389,h,w,g,k,l,p,e,f,y,o,f,c
4390,h,w,y,k,l,p,e,f,y,o,f,c
4391,h,w,g,k,l,p,e,f,y,o,f,c
4392,h,w,y,k,l,p,e,f,y,o,f,c
4393,h,w,g,k,l,p,e,f,y,o,f,c
4394,h,w,g,k,l,p,e,f,y,o,f,c
4395,h,w,g,k,l,p,e,f,y,o,f,c
4396,h,w,u,f,f,p,e,f,y,o,f,c
4397,h,w,g,k,l,p,e,f,f,o,f,c
4398,h,w,y,k,l,p,e,f,f,o,f,c
4399,h,w,y,k,l,p,e,f,f,o,f,c
4400,h,w,y,k,l,p,e,f,f,o,f,c
4401,h,w,y,k,l,p,e,f,f,o,f,c
4402,h,w,g,k,l,p,e,f,f,o,f,c
4403,h,w,g,k,l,p,e,f,y,o,f,c
4404,h,w,g,k,l,p,e,f,f,o,f,c
4405,h,w,y,k,l,p,e,f,f,o,f,c
4406,h,w,y,k,l,p,e,f,y,o,f,c
4407,h,w,g,k,l,p,e,f,f,o,f,c
4408,h,w,g,k,l,p,e,f,y,o,f,c
4409,h,w,y,k,l,p,e,f,f,o,f,c
4410,n,w,e,s,p,p,t,t,f,o,f,c
4411,h,w,b,f,p,p,t,t,s,o,f,c
4412,h,w,g,k,l,p,e,f,y,o,f,c
4413,h,w,g,k,l,p,e,f,f,o,f,c
4414,h,w,y,k,l,p,e,f,y,o,f,c
4415,h,w,y,k,l,p,e,f,f,o,f,c
4416,h,w,y,k,l,p,e,f,y,o,f,c
4417,k,w,n,s,p,p,t,t,y,o,f,c
4418,h,w,y,k,l,p,e,f,y,o,f,c
4419,w,w,b,s,e,p,e,t,s,t,f,c
4420,h,w,y,k,l,p,e,f,y,o,f,c
4421,h,w,y,k,l,p,e,f,f,o,f,c
4422,h,w,y,k,l,p,e,f,y,o,f,c
4423,h,w,g,k,l,p,e,f,y,o,f,c
4424,k,w,e,s,p,p,t,t,f,o,f,c
4425,h,w,y,k,l,p,e,f,f,o,f,c
4426,h,w,y,k,l,p,e,f,f,o,f,c
4427,h,w,y,k,l,p,e,f,y,o,f,c
4428,h,w,y,k,l,p,e,f,f,o,f,c
4429,w,w,n,s,e,p,t,f,y,o,f,c
4430,h,w,y,k,l,p,e,f,f,o,f,c
4431,h,w,y,k,l,p,e,f,y,o,f,c
4432,h,w,y,k,l,p,e,f,f,o,f,c
4433,h,w,y,k,l,p,e,f,f,o,f,c
4434,h,w,g,k,l,p,e,f,y,o,f,c
4435,h,w,g,k,l,p,e,f,y,o,f,c
4436,h,w,g,k,l,p,e,f,y,o,f,c
4437,h,w,g,k,l,p,e,f,f,o,f,c
4438,k,w,g,s,p,p,e,f,s,o,f,c
4439,h,w,y,k,l,p,e,f,y,o,f,c
4440,h,w,g,f,p,p,t,t,s,o,f,c
4441,h,w,g,k,l,p,e,f,y,o,f,c
4442,h,w,y,k,l,p,e,f,y,o,f,c
4443,h,w,y,k,l,p,e,f,y,o,f,c
4444,k,w,g,s,p,p,t,t,y,o,f,c
4445,h,w,g,k,l,p,e,f,f,o,f,c
4446,h,w,y,k,l,p,e,f,y,o,f,c
4447,h,w,g,k,l,p,e,f,y,o,f,c
4448,h,w,y,k,l,p,e,f,y,o,f,c
4449,h,w,g,k,l,p,e,f,y,o,f,c
4450,h,w,y,k,l,p,e,f,f,o,f,c
4451,n,w,n,s,p,p,t,t,y,o,f,c
4452,h,w,g,k,l,p,e,f,y,o,f,c
4453,h,w,y,k,l,p,e,f,f,o,f,c
4454,h,w,g,k,l,p,e,f,y,o,f,c
4455,h,w,y,k,l,p,e,f,y,o,f,c
4456,h,w,g,k,l,p,e,f,f,o,f,c
4457,h,w,g,k,l,p,e,f,f,o,f,c
4458,h,w,y,k,l,p,e,f,y,o,f,c
4459,w,w,b,s,e,p,e,t,y,t,f,c
4460,h,w,y,k,l,p,e,f,y,o,f,c
4461,w,w,n,k,e,p,t,f,y,o,f,c
4462,h,w,g,k,l,p,e,f,y,o,f,c
4463,h,w,g,k,l,p,e,f,y,o,f,c
4464,h,w,y,k,l,p,e,f,y,o,f,c
4465,h,w,g,k,l,p,e,f,y,o,f,c
4466,h,w,g,k,l,p,e,f,f,o,f,c
4467,h,w,y,k,l,p,e,f,y,o,f,c
4468,h,w,y,k,l,p,e,f,f,o,f,c
4469,h,w,w,f,p,p,t,t,s,o,f,c
4470,h,w,y,k,l,p,e,f,y,o,f,c
4471,h,w,y,k,l,p,e,f,f,o,f,c
4472,h,w,y,k,l,p,e,f,f,o,f,c
4473,h,w,y,k,l,p,e,f,y,o,f,c
4474,h,w,y,k,l,p,e,f,y,o,f,c
4475,h,w,y,k,l,p,e,f,y,o,f,c
4476,h,w,y,k,l,p,e,f,y,o,f,c
4477,h,w,g,k,l,p,e,f,y,o,f,c
4478,h,w,y,k,l,p,e,f,f,o,f,c
4479,h,w,g,k,l,p,e,f,f,o,f,c
4480,k,w,n,s,p,p,t,t,y,o,f,c
4481,h,w,y,k,l,p,e,f,y,o,f,c
4482,h,w,g,k,l,p,e,f,y,o,f,c
4483,h,w,g,k,l,p,e,f,y,o,f,c
4484,h,w,g,k,l,p,e,f,y,o,f,c
4485,h,w,y,k,l,p,e,f,y,o,f,c
4486,h,w,g,k,l,p,e,f,f,o,f,c
4487,h,w,g,k,l,p,e,f,y,o,f,c
4488,h,w,y,k,l,p,e,f,y,o,f,c
4489,h,w,y,k,l,p,e,f,f,o,f,c
4490,h,w,y,k,l,p,e,f,f,o,f,c
4491,w,w,c,f,e,p,e,f,f,o,f,w
4492,h,w,g,k,l,p,e,f,y,o,f,c
4493,h,w,g,k,l,p,e,f,y,o,f,c
4494,w,w,y,y,e,p,e,f,f,o,f,c
4495,h,w,y,k,l,p,e,f,f,o,f,c
4496,h,w,g,s,p,p,t,t,s,o,f,c
4497,w,w,n,s,e,p,e,t,s,t,f,c
4498,w,w,n,k,e,p,t,f,y,o,f,c
4499,k,w,g,s,p,p,e,f,s,o,f,w
4500,h,w,y,k,l,p,e,f,f,o,f,c
4501,h,w,g,k,l,p,e,f,y,o,f,c
4502,h,w,g,k,l,p,e,f,y,o,f,c
4503,h,w,y,k,l,p,e,f,y,o,f,c
4504,h,w,y,k,l,p,e,f,y,o,f,c
4505,h,w,g,k,l,p,e,f,y,o,f,c
4506,h,w,g,k,l,p,e,f,y,o,f,c
4507,h,w,g,k,l,p,e,f,y,o,f,c
4508,h,w,y,k,l,p,e,f,f,o,f,c
4509,h,w,y,k,l,p,e,f,f,o,f,c
4510,h,w,y,k,l,p,e,f,f,o,f,c
4511,h,w,g,k,l,p,e,f,f,o,f,c
4512,h,w,y,k,l,p,e,f,f,o,f,c
4513,h,w,y,k,l,p,e,f,y,o,f,c
4514,h,w,y,k,l,p,e,f,f,o,f,c
4515,h,w,y,k,l,p,e,f,f,o,f,c
4516,h,w,g,k,l,p,e,f,y,o,f,c
4517,h,w,g,k,l,p,e,f,y,o,f,c
4518,h,w,g,k,l,p,e,f,y,o,f,c
4519,w,w,b,s,e,p,e,t,s,t,f,c
4520,h,w,g,k,l,p,e,f,f,o,f,c
4521,h,w,y,k,l,p,e,f,f,o,f,c
4522,w,w,n,s,e,p,t,f,y,o,f,c
4523,h,w,g,k,l,p,e,f,y,o,f,c
4524,h,w,g,k,l,p,e,f,y,o,f,c
4525,h,w,g,k,l,p,e,f,y,o,f,c
4526,h,w,y,k,l,p,e,f,f,o,f,c
4527,h,w,y,k,l,p,e,f,y,o,f,c
4528,h,w,y,k,l,p,e,f,f,o,f,c
4529,h,w,g,k,l,p,e,f,f,o,f,c
4530,h,w,g,k,l,p,e,f,y,o,f,c
4531,h,w,y,k,l,p,e,f,f,o,f,c
4532,h,w,y,k,l,p,e,f,f,o,f,c
4533,h,w,u,f,f,p,e,f,y,o,f,c
4534,w,w,b,s,e,p,e,t,y,t,f,c
4535,h,w,y,k,l,p,e,f,y,o,f,c
4536,h,w,y,k,l,p,e,f,y,o,f,c
4537,h,w,g,k,l,p,e,f,y,o,f,c
4538,h,w,g,k,l,p,e,f,f,o,f,c
4539,h,w,g,k,l,p,e,f,y,o,f,c
4540,h,w,g,k,l,p,e,f,f,o,f,c
4541,h,w,g,k,l,p,e,f,y,o,f,c
4542,h,w,y,k,l,p,e,f,f,o,f,c
4543,h,w,y,k,l,p,e,f,f,o,f,c
4544,h,w,g,k,l,p,e,f,f,o,f,c
4545,h,w,y,k,l,p,e,f,y,o,f,c
4546,h,w,y,k,l,p,e,f,y,o,f,c
4547,h,w,g,k,l,p,e,f,f,o,f,c
4548,h,w,b,f,p,p,t,t,s,o,f,c
4549,r,w,w,s,p,p,e,t,s,t,f,c
4550,h,w,y,k,l,p,e,f,y,o,f,c
4551,h,w,y,k,l,p,e,f,f,o,f,c
4552,h,w,g,k,l,p,e,f,y,o,f,c
4553,h,w,y,k,l,p,e,f,y,o,f,c
4554,h,w,y,k,l,p,e,f,f,o,f,c
4555,h,w,y,k,l,p,e,f,f,o,f,c
4556,n,w,g,s,p,p,t,t,f,o,f,c
4557,h,w,u,f,f,p,e,f,y,o,f,c
4558,h,w,g,k,l,p,e,f,y,o,f,c
4559,h,w,y,k,l,p,e,f,f,o,f,c
4560,h,w,y,k,l,p,e,f,y,o,f,c
4561,h,w,g,k,l,p,e,f,y,o,f,c
4562,h,w,y,k,l,p,e,f,y,o,f,c
4563,h,w,y,k,l,p,e,f,f,o,f,c
4564,h,w,y,k,l,p,e,f,y,o,f,c
4565,h,w,y,k,l,p,e,f,f,o,f,c
4566,h,w,g,k,l,p,e,f,y,o,f,c
4567,h,w,g,k,l,p,e,f,y,o,f,c
4568,h,w,g,k,l,p,e,f,y,o,f,c
4569,h,w,y,k,l,p,e,f,f,o,f,c
4570,n,w,e,s,p,p,t,t,f,o,f,c
4571,h,w,y,k,l,p,e,f,y,o,f,c
4572,h,w,g,k,l,p,e,f,f,o,f,c
4573,h,w,g,k,l,p,e,f,y,o,f,c
4574,h,w,g,k,l,p,e,f,y,o,f,c
4575,h,w,g,k,l,p,e,f,f,o,f,c
4576,h,w,g,k,l,p,e,f,f,o,f,c
4577,h,w,g,k,l,p,e,f,f,o,f,c
4578,h,w,g,k,l,p,e,f,y,o,f,c
4579,h,w,y,k,l,p,e,f,f,o,f,c
4580,h,w,y,k,l,p,e,f,f,o,f,c
4581,h,w,g,k,l,p,e,f,y,o,f,c
4582,h,w,g,k,l,p,e,f,y,o,f,c
4583,n,w,w,s,p,p,e,f,f,o,f,c
4584,h,w,g,k,l,p,e,f,f,o,f,c
4585,h,w,y,k,l,p,e,f,f,o,f,c
4586,h,w,g,k,l,p,e,f,y,o,f,c
4587,h,w,y,k,l,p,e,f,f,o,f,c
4588,h,w,g,k,l,p,e,f,y,o,f,c
4589,h,w,g,k,l,p,e,f,y,o,f,c
4590,h,w,y,k,l,p,e,f,f,o,f,c
4591,h,w,g,k,l,p,e,f,y,o,f,c
4592,h,w,y,k,l,p,e,f,y,o,f,c
4593,h,w,y,k,l,p,e,f,f,o,f,c
4594,h,w,y,k,l,p,e,f,f,o,f,c
4595,h,w,y,k,l,p,e,f,f,o,f,c
4596,h,w,y,k,l,p,e,f,y,o,f,c
4597,h,w,y,k,l,p,e,f,f,o,f,c
4598,h,w,y,k,l,p,e,f,f,o,f,c
4599,h,w,g,k,l,p,e,f,y,o,f,c
4600,h,w,g,k,l,p,e,f,f,o,f,c
4601,h,w,y,k,l,p,e,f,f,o,f,c
4602,h,w,g,k,l,p,e,f,f,o,f,c
4603,h,w,g,k,l,p,e,f,f,o,f,c
4604,h,w,y,k,l,p,e,f,f,o,f,c
4605,h,w,y,k,l,p,e,f,y,o,f,c
4606,h,w,y,k,l,p,e,f,y,o,f,c
4607,h,w,y,k,l,p,e,f,f,o,f,c
4608,h,w,y,k,l,p,e,f,y,o,f,c
4609,h,w,y,k,l,p,e,f,y,o,f,c
4610,w,w,n,s,e,p,t,f,y,o,f,c
4611,w,w,b,s,e,p,e,t,y,t,f,c
4612,h,w,y,k,l,p,e,f,f,o,f,c
4613,h,w,y,k,l,p,e,f,y,o,f,c
4614,h,w,g,k,l,p,e,f,y,o,f,c
4615,h,w,y,k,l,p,e,f,y,o,f,c
4616,h,w,g,k,l,p,e,f,y,o,f,c
4617,h,w,g,k,l,p,e,f,y,o,f,c
4618,h,w,g,k,l,p,e,f,f,o,f,c
4619,h,w,y,k,l,p,e,f,f,o,f,c
4620,h,w,y,k,l,p,e,f,f,o,f,c
4621,h,w,y,k,l,p,e,f,f,o,f,c
4622,h,w,g,k,l,p,e,f,y,o,f,c
4623,h,w,g,k,l,p,e,f,y,o,f,c
4624,h,w,g,k,l,p,e,f,f,o,f,c
4625,h,w,g,k,l,p,e,f,y,o,f,c
4626,h,w,g,k,l,p,e,f,f,o,f,c
4627,h,w,g,k,l,p,e,f,y,o,f,c
4628,k,w,g,s,p,p,e,f,f,o,f,c
4629,h,w,b,f,p,p,t,t,s,o,f,c
4630,k,w,e,s,p,p,t,t,f,o,f,c
4631,h,w,y,k,l,p,e,f,y,o,f,c
4632,h,w,g,k,l,p,e,f,y,o,f,c
4633,h,w,g,k,l,p,e,f,y,o,f,c
4634,k,w,g,s,p,p,t,t,f,o,f,c
4635,h,w,y,k,l,p,e,f,y,o,f,c
4636,h,w,y,k,l,p,e,f,y,o,f,c
4637,h,w,y,k,l,p,e,f,f,o,f,c
4638,h,w,y,k,l,p,e,f,f,o,f,c
4639,h,w,y,k,l,p,e,f,f,o,f,c
4640,h,w,g,k,l,p,e,f,y,o,f,c
4641,h,w,w,f,p,p,t,t,s,o,f,c
4642,h,w,g,k,l,p,e,f,y,o,f,c
4643,h,w,y,k,l,p,e,f,f,o,f,c
4644,h,w,g,k,l,p,e,f,y,o,f,c
4645,h,w,g,k,l,p,e,f,y,o,f,c
4646,h,w,y,k,l,p,e,f,f,o,f,c
4647,h,w,u,f,f,p,e,f,y,o,f,c
4648,h,w,y,k,l,p,e,f,f,o,f,c
4649,h,w,g,k,l,p,e,f,y,o,f,c
4650,h,w,y,k,l,p,e,f,y,o,f,c
4651,h,w,g,k,l,p,e,f,f,o,f,c
4652,n,w,n,s,p,p,t,t,y,o,f,c
4653,h,w,y,k,l,p,e,f,f,o,f,c
4654,h,w,g,k,l,p,e,f,f,o,f,c
4655,h,w,g,k,l,p,e,f,y,o,f,c
4656,h,w,y,k,l,p,e,f,f,o,f,c
4657,h,w,y,k,l,p,e,f,f,o,f,c
4658,h,w,y,k,l,p,e,f,y,o,f,c
4659,h,w,y,k,l,p,e,f,f,o,f,c
4660,h,w,g,k,l,p,e,f,y,o,f,c
4661,h,w,w,f,p,p,t,t,s,o,f,c
4662,w,w,e,s,e,p,e,t,y,t,f,c
4663,h,w,u,f,f,p,e,f,y,o,f,c
4664,h,w,y,k,l,p,e,f,y,o,f,c
4665,h,w,g,k,l,p,e,f,y,o,f,c
4666,h,w,y,k,l,p,e,f,f,o,f,c
4667,h,w,g,k,l,p,e,f,f,o,f,c
4668,h,w,g,k,l,p,e,f,y,o,f,c
4669,h,w,g,k,l,p,e,f,f,o,f,c
4670,h,w,y,k,l,p,e,f,f,o,f,c
4671,h,w,g,k,l,p,e,f,y,o,f,c
4672,h,w,g,k,l,p,e,f,y,o,f,c
4673,w,w,p,s,e,p,e,t,s,t,f,c
4674,h,w,g,k,l,p,e,f,f,o,f,c
4675,h,w,y,k,l,p,e,f,y,o,f,c
4676,h,w,g,k,l,p,e,f,y,o,f,c
4677,h,w,y,k,l,p,e,f,f,o,f,c
4678,h,w,y,k,l,p,e,f,f,o,f,c
4679,h,w,g,k,l,p,e,f,y,o,f,c
4680,h,w,y,k,l,p,e,f,y,o,f,c
4681,h,w,g,k,l,p,e,f,y,o,f,c
4682,h,w,g,k,l,p,e,f,y,o,f,c
4683,h,w,y,k,l,p,e,f,f,o,f,c
4684,h,w,g,k,l,p,e,f,f,o,f,c
4685,h,w,g,k,l,p,e,f,y,o,f,c
4686,h,w,y,k,l,p,e,f,f,o,f,c
4687,h,w,g,k,l,p,e,f,y,o,f,c
4688,h,w,g,k,l,p,e,f,y,o,f,c
4689,h,w,g,k,l,p,e,f,f,o,f,c
4690,h,w,g,k,l,p,e,f,y,o,f,c
4691,h,w,g,k,l,p,e,f,f,o,f,c
4692,h,w,y,k,l,p,e,f,y,o,f,c
4693,h,w,y,k,l,p,e,f,f,o,f,c
4694,h,w,g,k,l,p,e,f,y,o,f,c
4695,h,w,y,k,l,p,e,f,f,o,f,c
4696,n,w,n,s,p,p,t,t,y,o,f,c
4697,h,w,g,k,l,p,e,f,f,o,f,c
4698,h,w,y,k,l,p,e,f,y,o,f,c
4699,h,w,g,f,p,p,t,t,s,o,f,c
4700,h,w,y,k,l,p,e,f,y,o,f,c
4701,h,w,y,k,l,p,e,f,y,o,f,c
4702,k,w,w,s,p,p,e,f,f,o,f,c
4703,h,w,y,k,l,p,e,f,f,o,f,c
4704,h,w,b,s,p,p,t,t,s,o,f,c
4705,h,w,y,k,l,p,e,f,y,o,f,c
4706,h,w,g,k,l,p,e,f,y,o,f,c
4707,h,w,y,k,l,p,e,f,f,o,f,c
4708,r,w,p,s,p,p,e,t,s,t,f,c
4709,h,w,b,f,p,p,t,t,s,o,f,c
4710,h,w,g,k,l,p,e,f,y,o,f,c
4711,h,w,g,k,l,p,e,f,y,o,f,c
4712,h,w,g,k,l,p,e,f,y,o,f,c
4713,h,w,g,k,l,p,e,f,f,o,f,c
4714,h,w,g,k,l,p,e,f,f,o,f,c
4715,h,w,y,k,l,p,e,f,f,o,f,c
4716,h,w,y,k,l,p,e,f,f,o,f,c
4717,h,w,u,f,f,p,e,f,y,o,f,c
4718,h,w,y,k,l,p,e,f,f,o,f,c
4719,n,w,e,s,p,p,t,t,f,o,f,c
4720,h,w,y,k,l,p,e,f,f,o,f,c
4721,h,w,y,k,l,p,e,f,f,o,f,c
4722,w,w,n,s,e,p,t,f,y,o,f,c
4723,h,w,g,k,l,p,e,f,y,o,f,c
4724,h,w,y,k,l,p,e,f,f,o,f,c
4725,h,w,g,k,l,p,e,f,f,o,f,c
4726,h,w,g,k,l,p,e,f,y,o,f,c
4727,h,w,g,k,l,p,e,f,y,o,f,c
4728,h,w,y,k,l,p,e,f,f,o,f,c
4729,h,w,y,k,l,p,e,f,f,o,f,c
4730,h,w,g,k,l,p,e,f,y,o,f,c
4731,h,w,g,k,l,p,e,f,y,o,f,c
4732,n,w,n,s,p,p,t,t,y,o,f,c
4733,h,w,y,k,l,p,e,f,y,o,f,c
4734,k,w,e,s,p,p,t,t,f,o,f,c
4735,h,w,y,k,l,p,e,f,f,o,f,c
4736,h,w,g,k,l,p,e,f,y,o,f,c
4737,h,w,g,k,l,p,e,f,y,o,f,c
4738,h,w,y,k,l,p,e,f,f,o,f,c
4739,h,w,g,k,l,p,e,f,f,o,f,c
4740,h,w,g,k,l,p,e,f,f,o,f,c
4741,h,w,g,k,l,p,e,f,y,o,f,c
4742,h,w,g,k,l,p,e,f,y,o,f,c
4743,h,w,y,k,l,p,e,f,f,o,f,c
4744,h,w,y,k,l,p,e,f,y,o,f,c
4745,h,w,y,k,l,p,e,f,f,o,f,c
4746,h,w,g,k,l,p,e,f,y,o,f,c
4747,h,w,y,k,l,p,e,f,f,o,f,c
4748,h,w,g,k,l,p,e,f,y,o,f,c
4749,k,w,p,s,p,p,e,f,f,o,f,w
4750,h,w,y,k,l,p,e,f,f,o,f,c
4751,h,w,g,k,l,p,e,f,y,o,f,c
4752,h,w,y,k,l,p,e,f,y,o,f,c
4753,h,w,g,k,l,p,e,f,y,o,f,c
4754,h,w,y,k,l,p,e,f,y,o,f,c
4755,h,w,g,k,l,p,e,f,y,o,f,c
4756,h,w,y,k,l,p,e,f,f,o,f,c
4757,h,w,g,k,l,p,e,f,y,o,f,c
4758,h,w,g,k,l,p,e,f,y,o,f,c
4759,h,w,y,k,l,p,e,f,y,o,f,c
4760,h,w,y,k,l,p,e,f,f,o,f,c
4761,h,w,g,k,l,p,e,f,y,o,f,c
4762,h,w,y,k,l,p,e,f,y,o,f,c
4763,h,w,g,k,l,p,e,f,y,o,f,c
4764,h,w,g,k,l,p,e,f,y,o,f,c
4765,h,w,y,k,l,p,e,f,f,o,f,c
4766,h,w,g,k,l,p,e,f,y,o,f,c
4767,h,w,g,k,l,p,e,f,f,o,f,c
4768,h,w,g,k,l,p,e,f,f,o,f,c
4769,h,w,g,k,l,p,e,f,y,o,f,c
4770,h,w,y,k,l,p,e,f,f,o,f,c
4771,h,w,g,k,l,p,e,f,y,o,f,c
4772,h,w,g,k,l,p,e,f,f,o,f,c
4773,h,w,y,k,l,p,e,f,y,o,f,c
4774,h,w,y,k,l,p,e,f,f,o,f,c
4775,h,w,g,k,l,p,e,f,y,o,f,c
4776,h,w,g,k,l,p,e,f,f,o,f,c
4777,w,w,p,s,e,p,e,t,s,t,f,c
4778,h,w,y,k,l,p,e,f,f,o,f,c
4779,k,w,p,s,p,p,e,f,s,o,f,w
4780,h,w,y,k,l,p,e,f,f,o,f,c
4781,h,w,g,k,l,p,e,f,f,o,f,c
4782,h,w,y,k,l,p,e,f,f,o,f,c
4783,n,w,e,s,p,p,t,t,f,o,f,c
4784,h,w,y,k,l,p,e,f,y,o,f,c
4785,h,w,y,k,l,p,e,f,f,o,f,c
4786,h,w,g,k,l,p,e,f,y,o,f,c
4787,h,w,y,k,l,p,e,f,f,o,f,c
4788,n,w,n,s,p,p,t,t,y,o,f,c
4789,h,w,y,k,l,p,e,f,y,o,f,c
4790,h,w,g,k,l,p,e,f,f,o,f,c
4791,h,w,y,k,l,p,e,f,y,o,f,c
4792,h,w,y,k,l,p,e,f,f,o,f,c
4793,h,w,y,k,l,p,e,f,y,o,f,c
4794,h,w,g,k,l,p,e,f,y,o,f,c
4795,h,w,g,k,l,p,e,f,f,o,f,c
4796,h,w,y,k,l,p,e,f,y,o,f,c
4797,h,w,g,k,l,p,e,f,y,o,f,c
4798,h,w,y,k,l,p,e,f,y,o,f,c
4799,n,w,g,s,p,p,t,t,f,o,f,c
4800,h,w,g,s,p,p,t,t,s,o,f,c
4801,w,w,n,k,e,p,t,f,y,o,f,c
4802,h,w,g,f,p,p,t,t,s,o,f,c
4803,h,w,g,k,l,p,e,f,y,o,f,c
4804,h,w,y,k,l,p,e,f,y,o,f,c
4805,h,w,g,k,l,p,e,f,y,o,f,c
4806,w,w,e,s,e,p,e,t,y,t,f,c
4807,h,w,g,k,l,p,e,f,y,o,f,c
4808,h,w,y,k,l,p,e,f,f,o,f,c
4809,h,w,g,k,l,p,e,f,f,o,f,c
4810,h,w,y,k,l,p,e,f,y,o,f,c
4811,h,w,y,k,l,p,e,f,f,o,f,c
4812,w,w,n,s,e,p,e,t,y,t,f,c
4813,h,w,g,k,l,p,e,f,y,o,f,c
4814,w,w,n,y,e,p,e,f,f,o,f,c
4815,h,w,g,k,l,p,e,f,f,o,f,c
4816,h,w,y,k,l,p,e,f,f,o,f,c
4817,w,w,n,k,e,p,t,f,y,o,f,c
4818,h,w,g,k,l,p,e,f,f,o,f,c
4819,h,w,g,k,l,p,e,f,f,o,f,c
4820,h,w,w,f,p,p,t,t,s,o,f,c
4821,h,w,y,k,l,p,e,f,f,o,f,c
4822,h,w,g,k,l,p,e,f,y,o,f,c
4823,h,w,y,k,l,p,e,f,f,o,f,c
4824,w,w,e,s,e,p,e,t,y,t,f,c
4825,h,w,y,k,l,p,e,f,y,o,f,c
4826,w,w,y,y,e,p,e,f,f,o,f,c
4827,h,w,y,k,l,p,e,f,y,o,f,c
4828,h,w,g,f,p,p,t,t,s,o,f,c
4829,h,w,y,k,l,p,e,f,y,o,f,c
4830,h,w,y,k,l,p,e,f,f,o,f,c
4831,w,w,e,s,e,p,e,t,y,t,f,c
4832,h,w,y,k,l,p,e,f,f,o,f,c
4833,h,w,y,k,l,p,e,f,f,o,f,c
4834,w,w,n,s,e,p,e,f,y,o,f,w
4835,n,w,w,s,p,p,e,f,s,o,f,c
4836,h,w,y,k,l,p,e,f,f,o,f,c
4837,h,w,y,k,l,p,e,f,f,o,f,c
4838,h,w,y,k,l,p,e,f,f,o,f,c
4839,h,w,y,k,l,p,e,f,y,o,f,c
4840,r,w,b,s,p,p,e,t,s,t,f,c
4841,h,w,w,f,p,p,t,t,s,o,f,c
4842,n,w,e,s,p,p,t,t,y,o,f,c
4843,r,w,w,s,p,p,e,t,s,t,f,c
4844,w,w,p,s,e,p,e,t,y,t,f,c
4845,h,w,w,f,p,p,t,t,s,o,f,c
4846,w,w,n,s,e,p,e,t,y,t,f,c
4847,h,w,y,k,l,p,e,f,y,o,f,c
4848,h,w,b,s,p,p,t,t,s,o,f,c
4849,h,w,g,k,l,p,e,f,y,o,f,c
4850,h,w,y,k,l,p,e,f,y,o,f,c
4851,h,w,g,k,l,p,e,f,y,o,f,c
4852,h,w,y,k,l,p,e,f,f,o,f,c
4853,h,w,y,k,l,p,e,f,y,o,f,c
4854,h,w,y,k,l,p,e,f,y,o,f,c
4855,h,w,y,k,l,p,e,f,f,o,f,c
4856,h,w,g,k,l,p,e,f,y,o,f,c
4857,h,w,g,k,l,p,e,f,f,o,f,c
4858,w,w,e,s,e,p,e,t,s,t,f,c
4859,w,w,n,s,e,p,e,t,y,t,f,c
4860,w,w,b,s,e,p,e,t,s,t,f,c
4861,h,w,y,k,l,p,e,f,y,o,f,c
4862,n,w,g,s,p,p,t,t,f,o,f,c
4863,h,w,y,k,l,p,e,f,f,o,f,c
4864,h,w,g,k,l,p,e,f,y,o,f,c
4865,h,w,g,f,p,p,t,t,s,o,f,c
4866,h,w,g,k,l,p,e,f,f,o,f,c
4867,h,w,y,k,l,p,e,f,f,o,f,c
4868,h,w,y,k,l,p,e,f,f,o,f,c
4869,w,w,n,k,e,p,t,f,y,o,f,c
4870,h,w,g,k,l,p,e,f,f,o,f,c
4871,w,w,n,s,e,p,e,t,y,t,f,c
4872,k,w,e,s,p,p,t,t,y,o,f,c
4873,h,w,g,k,l,p,e,f,y,o,f,c
4874,h,w,y,k,l,p,e,f,y,o,f,c
4875,h,w,g,k,l,p,e,f,f,o,f,c
