,spore-print-color_cat,class_cat,population_cat,gill-attachment_cat,stalk-color-above-ring_cat,veil-type_cat,cap-color_cat,stalk-surface-above-ring_cat,gill-color_cat,bruises%3F_cat,stalk-shape_cat,odor_cat
4220,h,p,y,f,p,p,y,k,p,f,e,f
4221,h,p,v,f,b,p,y,k,g,f,e,f
4222,h,p,v,f,b,p,g,k,h,f,e,f
4223,h,p,y,f,n,p,g,k,p,f,e,f
4224,n,e,v,f,w,p,e,s,p,t,t,n
4225,h,p,v,f,n,p,y,k,h,f,e,f
4226,h,p,y,f,b,p,g,k,h,f,e,f
4227,h,p,v,f,n,p,g,k,h,f,e,f
4228,h,p,v,f,b,p,y,k,g,f,e,f
4229,h,p,v,f,p,p,y,k,g,f,e,f
4230,h,p,y,f,n,p,g,k,h,f,e,f
4231,h,p,y,f,p,p,y,k,p,f,e,f
4232,h,p,s,f,w,p,w,f,p,t,t,f
4233,h,p,v,f,p,p,y,k,h,f,e,f
4234,h,p,v,f,b,p,y,k,p,f,e,f
4235,h,p,y,f,n,p,g,k,h,f,e,f
4236,h,p,y,f,p,p,y,k,p,f,e,f
4237,h,p,v,f,b,p,y,k,h,f,e,f
4238,h,p,v,f,b,p,g,k,g,f,e,f
4239,h,p,y,f,n,p,g,k,p,f,e,f
4240,h,p,y,f,b,p,y,k,h,f,e,f
4241,h,p,v,f,p,p,g,k,g,f,e,f
4242,h,p,y,f,n,p,y,k,p,f,e,f
4243,h,p,v,f,n,p,g,k,p,f,e,f
4244,h,p,v,f,n,p,y,k,g,f,e,f
4245,h,p,s,f,w,p,w,f,h,t,t,f
4246,h,p,y,f,n,p,g,k,p,f,e,f
4247,h,p,s,f,w,p,b,f,p,t,t,f
4248,h,p,v,f,p,p,g,k,h,f,e,f
4249,h,p,v,f,n,p,g,k,p,f,e,f
4250,h,p,y,f,n,p,y,k,g,f,e,f
4251,h,p,y,f,n,p,y,k,p,f,e,f
4252,h,p,v,f,p,p,y,k,g,f,e,f
4253,n,e,y,f,g,p,g,s,u,t,t,n
4254,h,p,y,f,p,p,y,k,h,f,e,f
4255,h,p,y,f,p,p,g,k,h,f,e,f
4256,h,p,v,f,p,p,y,k,h,f,e,f
4257,h,p,v,f,n,p,y,k,h,f,e,f
4258,h,p,y,f,n,p,y,k,g,f,e,f
4259,h,p,v,f,p,p,g,k,h,f,e,f
4260,h,p,y,f,b,p,g,k,g,f,e,f
4261,h,p,y,f,p,p,g,k,g,f,e,f
4262,k,p,s,f,w,p,p,s,p,f,e,c
4263,h,p,y,f,n,p,y,k,g,f,e,f
4264,h,p,y,f,n,p,y,k,g,f,e,f
4265,h,p,y,f,b,p,y,k,h,f,e,f
4266,h,p,v,f,p,p,g,k,g,f,e,f
4267,h,p,v,f,p,p,g,k,g,f,e,f
4268,h,p,v,f,p,p,g,k,h,f,e,f
4269,h,p,y,f,b,p,y,k,h,f,e,f
4270,h,p,v,f,b,p,y,k,g,f,e,f
4271,h,p,y,f,p,p,g,k,h,f,e,f
4272,h,p,v,f,n,p,y,k,g,f,e,f
4273,h,p,y,f,b,p,g,k,g,f,e,f
4274,h,p,v,f,p,p,g,k,p,f,e,f
4275,h,p,y,f,b,p,y,k,h,f,e,f
4276,w,e,v,f,w,p,n,f,w,f,e,n
4277,h,p,y,f,n,p,g,k,p,f,e,f
4278,h,p,y,f,n,p,y,k,h,f,e,f
4279,h,p,y,f,p,p,y,k,p,f,e,f
4280,h,p,v,f,n,p,g,k,h,f,e,f
4281,h,p,y,f,b,p,g,k,h,f,e,f
4282,h,p,v,f,p,p,y,k,p,f,e,f
4283,w,e,c,f,w,p,p,s,e,t,e,n
4284,h,p,v,f,n,p,y,k,p,f,e,f
4285,h,p,y,f,b,p,y,k,g,f,e,f
4286,h,p,y,f,p,p,g,k,p,f,e,f
4287,h,p,y,f,b,p,g,k,g,f,e,f
4288,h,p,v,f,b,p,y,k,g,f,e,f
4289,h,p,y,f,p,p,g,k,h,f,e,f
4290,h,p,v,f,n,p,g,k,h,f,e,f
4291,w,e,c,f,w,p,p,s,e,t,e,n
4292,h,p,v,f,p,p,y,k,p,f,e,f
4293,h,p,v,f,p,p,y,k,p,f,e,f
4294,h,p,y,f,b,p,g,k,h,f,e,f
4295,h,p,v,f,n,p,g,k,p,f,e,f
4296,h,p,y,f,n,p,y,k,h,f,e,f
4297,h,p,y,f,n,p,g,k,p,f,e,f
4298,h,p,y,f,p,p,g,k,g,f,e,f
4299,h,p,y,f,b,p,y,k,g,f,e,f
4300,h,p,y,f,n,p,g,k,h,f,e,f
4301,h,p,v,f,p,p,y,k,g,f,e,f
4302,h,p,v,f,n,p,g,k,g,f,e,f
4303,h,p,y,f,p,p,g,k,g,f,e,f
4304,h,p,y,f,p,p,y,k,h,f,e,f
4305,n,e,y,f,p,p,g,s,w,t,t,n
4306,h,p,y,f,p,p,g,k,h,f,e,f
4307,h,p,v,f,n,p,g,k,g,f,e,f
4308,h,p,v,f,b,p,g,k,g,f,e,f
4309,h,p,v,f,p,p,y,k,p,f,e,f
4310,h,p,y,f,b,p,g,k,p,f,e,f
4311,h,p,y,f,p,p,y,k,g,f,e,f
4312,h,p,y,f,b,p,y,k,p,f,e,f
4313,h,p,v,f,p,p,y,k,g,f,e,f
4314,h,p,y,f,n,p,y,k,p,f,e,f
4315,h,p,v,f,b,p,g,k,p,f,e,f
4316,h,p,v,f,p,p,y,k,h,f,e,f
4317,h,p,v,f,b,p,g,k,h,f,e,f
4318,h,p,y,f,b,p,g,k,g,f,e,f
4319,h,p,y,f,n,p,g,k,h,f,e,f
4320,h,p,v,f,p,p,y,k,h,f,e,f
4321,h,p,y,f,p,p,g,k,p,f,e,f
4322,h,p,y,f,b,p,y,k,g,f,e,f
4323,h,p,y,f,n,p,g,k,p,f,e,f
4324,h,p,y,f,b,p,g,k,h,f,e,f
4325,h,p,v,f,n,p,g,k,p,f,e,f
4326,h,e,v,f,w,p,r,s,p,f,e,n
4327,h,p,y,f,n,p,y,k,p,f,e,f
4328,h,p,y,f,b,p,y,k,g,f,e,f
4329,w,p,v,f,w,p,n,k,b,f,t,s
4330,h,p,v,f,b,p,y,k,h,f,e,f
4331,w,p,v,f,w,p,n,k,w,f,e,n
4332,h,p,y,f,b,p,y,k,p,f,e,f
4333,h,p,v,f,b,p,g,k,h,f,e,f
4334,h,p,y,f,b,p,g,k,h,f,e,f
4335,h,p,y,f,n,p,g,k,g,f,e,f
4336,h,p,v,f,p,p,y,k,p,f,e,f
4337,h,p,v,f,n,p,g,k,g,f,e,f
4338,h,p,v,f,n,p,g,k,g,f,e,f
4339,h,p,y,f,n,p,g,k,p,f,e,f
4340,h,p,y,f,p,p,g,k,g,f,e,f
4341,k,e,y,f,g,p,e,s,w,t,t,n
4342,h,p,y,f,n,p,y,k,h,f,e,f
4343,h,p,v,f,p,p,y,k,h,f,e,f
4344,h,p,v,f,n,p,y,k,g,f,e,f
4345,h,p,v,f,b,p,y,k,p,f,e,f
4346,h,p,y,f,n,p,g,k,h,f,e,f
4347,h,p,v,f,p,p,g,k,h,f,e,f
4348,h,p,y,f,p,p,y,k,g,f,e,f
4349,h,p,s,f,w,p,b,s,w,t,t,f
4350,h,p,v,f,p,p,g,k,p,f,e,f
4351,h,p,v,f,n,p,y,k,g,f,e,f
4352,h,p,v,f,n,p,g,k,g,f,e,f
4353,h,p,y,f,b,p,g,k,g,f,e,f
4354,h,p,v,f,p,p,y,k,p,f,e,f
4355,h,p,y,f,n,p,g,k,h,f,e,f
4356,h,p,v,f,b,p,g,k,p,f,e,f
4357,w,e,c,f,w,p,e,s,e,t,e,n
4358,h,p,v,f,p,p,g,k,g,f,e,f
4359,h,p,y,f,n,p,y,k,p,f,e,f
4360,h,p,y,f,n,p,g,k,g,f,e,f
4361,h,p,y,f,p,p,y,k,g,f,e,f
4362,h,p,v,f,n,p,g,k,g,f,e,f
4363,h,p,y,f,b,p,y,k,h,f,e,f
4364,w,p,c,f,w,p,w,s,w,t,e,n
4365,h,p,v,f,w,p,b,s,h,t,t,f
4366,h,p,y,f,b,p,y,k,p,f,e,f
4367,h,p,y,f,b,p,g,k,g,f,e,f
4368,h,p,v,f,p,p,g,k,g,f,e,f
4369,h,p,v,f,b,p,y,k,p,f,e,f
4370,h,p,y,f,n,p,g,k,g,f,e,f
4371,h,p,v,f,p,p,y,k,h,f,e,f
4372,h,p,v,f,b,p,y,k,p,f,e,f
4373,h,p,y,f,b,p,g,k,p,f,e,f
4374,h,p,s,f,w,p,w,f,w,t,t,f
4375,n,e,v,f,g,p,g,s,n,t,t,n
4376,w,p,v,f,w,p,n,s,b,f,t,y
4377,h,p,y,f,p,p,g,k,p,f,e,f
4378,h,p,y,f,p,p,g,k,g,f,e,f
4379,k,e,v,f,p,p,e,s,n,t,t,n
4380,w,e,c,f,w,p,b,s,e,t,e,n
4381,h,p,y,f,n,p,y,k,h,f,e,f
4382,h,p,y,f,b,p,y,k,g,f,e,f
4383,h,p,v,f,n,p,y,k,h,f,e,f
4384,h,p,y,f,n,p,y,k,p,f,e,f
4385,h,p,y,f,b,p,y,k,g,f,e,f
4386,h,p,y,f,b,p,g,k,p,f,e,f
4387,h,p,y,f,n,p,g,k,p,f,e,f
4388,h,p,v,f,b,p,y,k,p,f,e,f
4389,h,p,v,f,p,p,g,k,h,f,e,f
4390,h,p,y,f,p,p,y,k,g,f,e,f
4391,h,p,y,f,b,p,g,k,h,f,e,f
4392,h,p,y,f,n,p,y,k,h,f,e,f
4393,h,p,y,f,p,p,g,k,g,f,e,f
4394,h,p,v,f,p,p,g,k,h,f,e,f
4395,h,p,y,f,b,p,g,k,p,f,e,f
4396,h,e,y,f,w,p,u,s,h,f,e,n
4397,h,p,v,f,n,p,g,k,g,f,e,f
4398,h,p,v,f,n,p,y,k,g,f,e,f
4399,h,p,y,f,p,p,y,k,h,f,e,f
4400,h,p,v,f,p,p,y,k,h,f,e,f
4401,h,p,v,f,b,p,y,k,h,f,e,f
4402,h,p,v,f,p,p,g,k,h,f,e,f
4403,h,p,y,f,b,p,g,k,p,f,e,f
4404,h,p,v,f,b,p,g,k,h,f,e,f
4405,h,p,y,f,b,p,y,k,h,f,e,f
4406,h,p,v,f,b,p,y,k,h,f,e,f
4407,h,p,v,f,p,p,g,k,g,f,e,f
4408,h,p,y,f,n,p,g,k,g,f,e,f
4409,h,p,y,f,n,p,y,k,g,f,e,f
4410,n,e,y,f,g,p,e,s,u,t,t,n
4411,h,p,v,f,w,p,b,s,h,t,t,f
4412,h,p,v,f,p,p,g,k,g,f,e,f
4413,h,p,v,f,p,p,g,k,h,f,e,f
4414,h,p,y,f,p,p,y,k,p,f,e,f
4415,h,p,y,f,p,p,y,k,p,f,e,f
4416,h,p,v,f,n,p,y,k,h,f,e,f
4417,k,e,v,f,w,p,n,s,u,t,t,n
4418,h,p,y,f,b,p,y,k,h,f,e,f
4419,w,e,c,f,w,p,b,s,e,t,e,n
4420,h,p,y,f,n,p,y,k,p,f,e,f
4421,h,p,y,f,p,p,y,k,p,f,e,f
4422,h,p,y,f,p,p,y,k,h,f,e,f
4423,h,p,v,f,b,p,g,k,g,f,e,f
4424,k,e,y,f,g,p,e,s,n,t,t,n
4425,h,p,v,f,p,p,y,k,p,f,e,f
4426,h,p,v,f,b,p,y,k,p,f,e,f
4427,h,p,v,f,n,p,y,k,h,f,e,f
4428,h,p,v,f,n,p,y,k,p,f,e,f
4429,w,p,v,f,w,p,n,k,b,f,t,y
4430,h,p,v,f,p,p,y,k,p,f,e,f
4431,h,p,v,f,n,p,y,k,h,f,e,f
4432,h,p,v,f,n,p,y,k,g,f,e,f
4433,h,p,v,f,n,p,y,k,g,f,e,f
4434,h,p,v,f,b,p,g,k,p,f,e,f
4435,h,p,v,f,b,p,g,k,h,f,e,f
4436,h,p,v,f,b,p,g,k,h,f,e,f
4437,h,p,v,f,b,p,g,k,g,f,e,f
4438,k,p,v,f,w,p,g,s,p,f,e,c
4439,h,p,y,f,b,p,y,k,g,f,e,f
4440,h,p,s,f,w,p,g,f,h,t,t,f
4441,h,p,v,f,n,p,g,k,p,f,e,f
4442,h,p,y,f,p,p,y,k,p,f,e,f
4443,h,p,y,f,n,p,y,k,h,f,e,f
4444,k,e,y,f,p,p,g,s,u,t,t,n
4445,h,p,y,f,b,p,g,k,g,f,e,f
4446,h,p,v,f,n,p,y,k,h,f,e,f
4447,h,p,y,f,n,p,g,k,h,f,e,f
4448,h,p,y,f,b,p,y,k,h,f,e,f
4449,h,p,y,f,b,p,g,k,p,f,e,f
4450,h,p,y,f,b,p,y,k,p,f,e,f
4451,n,e,v,f,g,p,n,s,n,t,t,n
4452,h,p,y,f,n,p,g,k,g,f,e,f
4453,h,p,v,f,b,p,y,k,g,f,e,f
4454,h,p,v,f,p,p,g,k,p,f,e,f
4455,h,p,y,f,p,p,y,k,p,f,e,f
4456,h,p,y,f,n,p,g,k,g,f,e,f
4457,h,p,y,f,p,p,g,k,h,f,e,f
4458,h,p,y,f,b,p,y,k,h,f,e,f
4459,w,e,c,f,e,p,b,s,e,t,e,n
4460,h,p,y,f,b,p,y,k,p,f,e,f
4461,w,p,v,f,p,p,n,s,b,f,t,s
4462,h,p,y,f,n,p,g,k,p,f,e,f
4463,h,p,y,f,n,p,g,k,g,f,e,f
4464,h,p,v,f,b,p,y,k,h,f,e,f
4465,h,p,v,f,p,p,g,k,g,f,e,f
4466,h,p,y,f,b,p,g,k,h,f,e,f
4467,h,p,y,f,n,p,y,k,h,f,e,f
4468,h,p,y,f,n,p,y,k,g,f,e,f
4469,h,p,v,f,w,p,w,f,p,t,t,f
4470,h,p,v,f,p,p,y,k,g,f,e,f
4471,h,p,y,f,p,p,y,k,g,f,e,f
4472,h,p,y,f,p,p,y,k,p,f,e,f
4473,h,p,v,f,n,p,y,k,g,f,e,f
4474,h,p,v,f,b,p,y,k,h,f,e,f
4475,h,p,y,f,n,p,y,k,h,f,e,f
4476,h,p,v,f,b,p,y,k,p,f,e,f
4477,h,p,y,f,p,p,g,k,p,f,e,f
4478,h,p,y,f,b,p,y,k,h,f,e,f
4479,h,p,v,f,b,p,g,k,h,f,e,f
4480,k,e,y,f,w,p,n,s,p,t,t,n
4481,h,p,v,f,b,p,y,k,h,f,e,f
4482,h,p,v,f,n,p,g,k,g,f,e,f
4483,h,p,v,f,b,p,g,k,h,f,e,f
4484,h,p,v,f,p,p,g,k,g,f,e,f
4485,h,p,y,f,b,p,y,k,g,f,e,f
4486,h,p,v,f,n,p,g,k,g,f,e,f
4487,h,p,v,f,p,p,g,k,p,f,e,f
4488,h,p,v,f,b,p,y,k,p,f,e,f
4489,h,p,y,f,n,p,y,k,h,f,e,f
4490,h,p,y,f,p,p,y,k,g,f,e,f
4491,w,e,v,f,w,p,c,s,w,f,e,n
4492,h,p,v,f,p,p,g,k,h,f,e,f
4493,h,p,y,f,p,p,g,k,p,f,e,f
4494,w,p,v,f,w,p,y,k,w,f,e,n
4495,h,p,y,f,p,p,y,k,h,f,e,f
4496,h,p,v,f,w,p,g,f,p,t,t,f
4497,w,e,c,f,w,p,n,s,e,t,e,n
4498,w,p,v,f,p,p,n,s,b,f,t,y
4499,k,p,v,f,w,p,g,s,u,f,e,c
4500,h,p,y,f,n,p,y,k,g,f,e,f
4501,h,p,v,f,b,p,g,k,h,f,e,f
4502,h,p,y,f,p,p,g,k,g,f,e,f
4503,h,p,v,f,n,p,y,k,p,f,e,f
4504,h,p,v,f,b,p,y,k,p,f,e,f
4505,h,p,y,f,b,p,g,k,p,f,e,f
4506,h,p,y,f,p,p,g,k,g,f,e,f
4507,h,p,y,f,b,p,g,k,h,f,e,f
4508,h,p,y,f,p,p,y,k,g,f,e,f
4509,h,p,v,f,b,p,y,k,p,f,e,f
4510,h,p,v,f,b,p,y,k,p,f,e,f
4511,h,p,y,f,p,p,g,k,p,f,e,f
4512,h,p,y,f,b,p,y,k,h,f,e,f
4513,h,p,y,f,n,p,y,k,h,f,e,f
4514,h,p,v,f,n,p,y,k,h,f,e,f
4515,h,p,v,f,b,p,y,k,h,f,e,f
4516,h,p,v,f,b,p,g,k,h,f,e,f
4517,h,p,v,f,b,p,g,k,p,f,e,f
4518,h,p,v,f,b,p,g,k,g,f,e,f
4519,w,e,c,f,e,p,b,s,w,t,e,n
4520,h,p,v,f,p,p,g,k,g,f,e,f
4521,h,p,v,f,p,p,y,k,g,f,e,f
4522,w,p,v,f,p,p,n,s,b,f,t,s
4523,h,p,y,f,b,p,g,k,g,f,e,f
4524,h,p,v,f,n,p,g,k,h,f,e,f
4525,h,p,y,f,p,p,g,k,p,f,e,f
4526,h,p,y,f,b,p,y,k,g,f,e,f
4527,h,p,v,f,n,p,y,k,g,f,e,f
4528,h,p,v,f,p,p,y,k,h,f,e,f
4529,h,p,y,f,n,p,g,k,h,f,e,f
4530,h,p,v,f,n,p,g,k,g,f,e,f
4531,h,p,y,f,b,p,y,k,h,f,e,f
4532,h,p,y,f,n,p,y,k,p,f,e,f
4533,h,e,v,f,w,p,u,s,h,f,e,n
4534,w,e,c,f,e,p,b,s,e,t,e,n
4535,h,p,y,f,b,p,y,k,h,f,e,f
4536,h,p,y,f,n,p,y,k,g,f,e,f
4537,h,p,v,f,p,p,g,k,g,f,e,f
4538,h,p,y,f,p,p,g,k,p,f,e,f
4539,h,p,v,f,n,p,g,k,h,f,e,f
4540,h,p,y,f,b,p,g,k,h,f,e,f
4541,h,p,v,f,n,p,g,k,p,f,e,f
4542,h,p,y,f,p,p,y,k,g,f,e,f
4543,h,p,v,f,p,p,y,k,h,f,e,f
4544,h,p,v,f,p,p,g,k,p,f,e,f
4545,h,p,v,f,n,p,y,k,h,f,e,f
4546,h,p,y,f,n,p,y,k,h,f,e,f
4547,h,p,v,f,n,p,g,k,h,f,e,f
4548,h,p,v,f,w,p,b,s,w,t,t,f
4549,r,p,v,f,w,p,w,s,g,t,e,n
4550,h,p,y,f,p,p,y,k,p,f,e,f
4551,h,p,v,f,b,p,y,k,p,f,e,f
4552,h,p,v,f,p,p,g,k,g,f,e,f
4553,h,p,v,f,n,p,y,k,h,f,e,f
4554,h,p,v,f,p,p,y,k,g,f,e,f
4555,h,p,y,f,p,p,y,k,g,f,e,f
4556,n,e,v,f,g,p,g,s,u,t,t,n
4557,h,e,v,f,w,p,u,s,u,f,e,n
4558,h,p,y,f,p,p,g,k,h,f,e,f
4559,h,p,v,f,n,p,y,k,p,f,e,f
4560,h,p,v,f,n,p,y,k,p,f,e,f
4561,h,p,v,f,n,p,g,k,p,f,e,f
4562,h,p,y,f,n,p,y,k,h,f,e,f
4563,h,p,v,f,b,p,y,k,p,f,e,f
4564,h,p,y,f,b,p,y,k,g,f,e,f
4565,h,p,v,f,n,p,y,k,h,f,e,f
4566,h,p,y,f,p,p,g,k,g,f,e,f
4567,h,p,y,f,n,p,g,k,p,f,e,f
4568,h,p,v,f,p,p,g,k,g,f,e,f
4569,h,p,y,f,p,p,y,k,g,f,e,f
4570,n,e,v,f,w,p,e,s,w,t,t,n
4571,h,p,y,f,p,p,y,k,h,f,e,f
4572,h,p,v,f,n,p,g,k,g,f,e,f
4573,h,p,y,f,b,p,g,k,g,f,e,f
4574,h,p,v,f,b,p,g,k,g,f,e,f
4575,h,p,y,f,b,p,g,k,p,f,e,f
4576,h,p,y,f,n,p,g,k,p,f,e,f
4577,h,p,v,f,n,p,g,k,p,f,e,f
4578,h,p,y,f,p,p,g,k,h,f,e,f
4579,h,p,v,f,p,p,y,k,h,f,e,f
4580,h,p,y,f,p,p,y,k,h,f,e,f
4581,h,p,v,f,n,p,g,k,p,f,e,f
4582,h,p,y,f,b,p,g,k,p,f,e,f
4583,n,p,v,f,w,p,w,s,g,f,e,c
4584,h,p,y,f,b,p,g,k,p,f,e,f
4585,h,p,v,f,p,p,y,k,h,f,e,f
4586,h,p,v,f,p,p,g,k,p,f,e,f
4587,h,p,v,f,p,p,y,k,p,f,e,f
4588,h,p,v,f,p,p,g,k,h,f,e,f
4589,h,p,v,f,n,p,g,k,g,f,e,f
4590,h,p,y,f,b,p,y,k,g,f,e,f
4591,h,p,v,f,b,p,g,k,g,f,e,f
4592,h,p,v,f,n,p,y,k,p,f,e,f
4593,h,p,y,f,n,p,y,k,h,f,e,f
4594,h,p,v,f,b,p,y,k,h,f,e,f
4595,h,p,v,f,n,p,y,k,g,f,e,f
4596,h,p,y,f,b,p,y,k,p,f,e,f
4597,h,p,y,f,b,p,y,k,g,f,e,f
4598,h,p,v,f,b,p,y,k,p,f,e,f
4599,h,p,y,f,n,p,g,k,h,f,e,f
4600,h,p,y,f,p,p,g,k,p,f,e,f
4601,h,p,v,f,p,p,y,k,g,f,e,f
4602,h,p,v,f,b,p,g,k,p,f,e,f
4603,h,p,y,f,p,p,g,k,h,f,e,f
4604,h,p,v,f,p,p,y,k,g,f,e,f
4605,h,p,y,f,p,p,y,k,g,f,e,f
4606,h,p,v,f,b,p,y,k,p,f,e,f
4607,h,p,y,f,n,p,y,k,h,f,e,f
4608,h,p,v,f,b,p,y,k,h,f,e,f
4609,h,p,v,f,b,p,y,k,g,f,e,f
4610,w,p,v,f,p,p,n,s,b,f,t,y
4611,w,e,c,f,w,p,b,s,w,t,e,n
4612,h,p,v,f,b,p,y,k,h,f,e,f
4613,h,p,y,f,b,p,y,k,h,f,e,f
4614,h,p,y,f,n,p,g,k,p,f,e,f
4615,h,p,y,f,n,p,y,k,p,f,e,f
4616,h,p,v,f,p,p,g,k,p,f,e,f
4617,h,p,y,f,p,p,g,k,p,f,e,f
4618,h,p,v,f,p,p,g,k,p,f,e,f
4619,h,p,v,f,p,p,y,k,p,f,e,f
4620,h,p,y,f,b,p,y,k,p,f,e,f
4621,h,p,y,f,p,p,y,k,g,f,e,f
4622,h,p,v,f,p,p,g,k,h,f,e,f
4623,h,p,y,f,n,p,g,k,h,f,e,f
4624,h,p,y,f,n,p,g,k,g,f,e,f
4625,h,p,v,f,b,p,g,k,g,f,e,f
4626,h,p,v,f,p,p,g,k,h,f,e,f
4627,h,p,v,f,p,p,g,k,g,f,e,f
4628,k,p,s,f,w,p,g,s,u,f,e,c
4629,h,p,v,f,w,p,b,f,w,t,t,f
4630,k,e,v,f,g,p,e,s,w,t,t,n
4631,h,p,v,f,p,p,y,k,g,f,e,f
4632,h,p,y,f,p,p,g,k,p,f,e,f
4633,h,p,v,f,n,p,g,k,g,f,e,f
4634,k,e,v,f,p,p,g,s,u,t,t,n
4635,h,p,y,f,b,p,y,k,p,f,e,f
4636,h,p,v,f,p,p,y,k,p,f,e,f
4637,h,p,y,f,n,p,y,k,p,f,e,f
4638,h,p,v,f,b,p,y,k,h,f,e,f
4639,h,p,y,f,b,p,y,k,h,f,e,f
4640,h,p,v,f,n,p,g,k,h,f,e,f
4641,h,p,s,f,w,p,w,s,w,t,t,f
4642,h,p,v,f,p,p,g,k,p,f,e,f
4643,h,p,v,f,b,p,y,k,g,f,e,f
4644,h,p,y,f,p,p,g,k,g,f,e,f
4645,h,p,v,f,p,p,g,k,p,f,e,f
4646,h,p,v,f,n,p,y,k,p,f,e,f
4647,h,e,v,f,w,p,u,s,h,f,e,n
4648,h,p,y,f,b,p,y,k,h,f,e,f
4649,h,p,v,f,b,p,g,k,p,f,e,f
4650,h,p,y,f,b,p,y,k,h,f,e,f
4651,h,p,y,f,b,p,g,k,g,f,e,f
4652,n,e,y,f,p,p,n,s,n,t,t,n
4653,h,p,v,f,p,p,y,k,h,f,e,f
4654,h,p,y,f,n,p,g,k,h,f,e,f
4655,h,p,y,f,n,p,g,k,h,f,e,f
4656,h,p,y,f,n,p,y,k,p,f,e,f
4657,h,p,v,f,b,p,y,k,h,f,e,f
4658,h,p,v,f,b,p,y,k,g,f,e,f
4659,h,p,v,f,b,p,y,k,g,f,e,f
4660,h,p,v,f,n,p,g,k,g,f,e,f
4661,h,p,s,f,w,p,w,f,h,t,t,f
4662,w,e,c,f,w,p,e,s,w,t,e,n
4663,h,e,y,f,w,p,u,s,w,f,e,n
4664,h,p,v,f,b,p,y,k,p,f,e,f
4665,h,p,y,f,n,p,g,k,p,f,e,f
4666,h,p,y,f,p,p,y,k,p,f,e,f
4667,h,p,y,f,p,p,g,k,h,f,e,f
4668,h,p,y,f,p,p,g,k,g,f,e,f
4669,h,p,y,f,b,p,g,k,h,f,e,f
4670,h,p,y,f,p,p,y,k,p,f,e,f
4671,h,p,y,f,p,p,g,k,h,f,e,f
4672,h,p,y,f,n,p,g,k,g,f,e,f
4673,w,e,c,f,w,p,p,s,w,t,e,n
4674,h,p,y,f,p,p,g,k,h,f,e,f
4675,h,p,y,f,b,p,y,k,g,f,e,f
4676,h,p,y,f,n,p,g,k,g,f,e,f
4677,h,p,v,f,b,p,y,k,g,f,e,f
4678,h,p,y,f,p,p,y,k,p,f,e,f
4679,h,p,y,f,n,p,g,k,g,f,e,f
4680,h,p,y,f,n,p,y,k,g,f,e,f
4681,h,p,y,f,b,p,g,k,p,f,e,f
4682,h,p,y,f,b,p,g,k,g,f,e,f
4683,h,p,y,f,n,p,y,k,g,f,e,f
4684,h,p,y,f,b,p,g,k,p,f,e,f
4685,h,p,y,f,b,p,g,k,h,f,e,f
4686,h,p,v,f,p,p,y,k,p,f,e,f
4687,h,p,v,f,n,p,g,k,h,f,e,f
4688,h,p,y,f,n,p,g,k,p,f,e,f
4689,h,p,v,f,b,p,g,k,h,f,e,f
4690,h,p,y,f,n,p,g,k,h,f,e,f
4691,h,p,v,f,p,p,g,k,p,f,e,f
4692,h,p,y,f,b,p,y,k,g,f,e,f
4693,h,p,y,f,p,p,y,k,p,f,e,f
4694,h,p,v,f,b,p,g,k,h,f,e,f
4695,h,p,v,f,n,p,y,k,h,f,e,f
4696,n,e,y,f,w,p,n,s,n,t,t,n
4697,h,p,y,f,p,p,g,k,h,f,e,f
4698,h,p,y,f,n,p,y,k,h,f,e,f
4699,h,p,s,f,w,p,g,f,h,t,t,f
4700,h,p,v,f,n,p,y,k,h,f,e,f
4701,h,p,v,f,n,p,y,k,p,f,e,f
4702,k,p,s,f,w,p,w,s,g,f,e,c
4703,h,p,y,f,n,p,y,k,g,f,e,f
4704,h,p,s,f,w,p,b,f,h,t,t,f
4705,h,p,y,f,p,p,y,k,h,f,e,f
4706,h,p,y,f,n,p,g,k,h,f,e,f
4707,h,p,y,f,b,p,y,k,g,f,e,f
4708,r,p,v,f,w,p,p,s,w,t,e,n
4709,h,p,v,f,w,p,b,f,p,t,t,f
4710,h,p,v,f,b,p,g,k,g,f,e,f
4711,h,p,y,f,p,p,g,k,h,f,e,f
4712,h,p,v,f,b,p,g,k,p,f,e,f
4713,h,p,y,f,p,p,g,k,g,f,e,f
4714,h,p,v,f,p,p,g,k,g,f,e,f
4715,h,p,y,f,p,p,y,k,h,f,e,f
4716,h,p,v,f,p,p,y,k,h,f,e,f
4717,h,e,v,f,w,p,u,s,u,f,e,n
4718,h,p,y,f,b,p,y,k,g,f,e,f
4719,n,e,v,f,g,p,e,s,w,t,t,n
4720,h,p,y,f,n,p,y,k,g,f,e,f
4721,h,p,v,f,p,p,y,k,g,f,e,f
4722,w,p,v,f,p,p,n,k,b,f,t,f
4723,h,p,y,f,b,p,g,k,g,f,e,f
4724,h,p,y,f,b,p,y,k,p,f,e,f
4725,h,p,y,f,p,p,g,k,p,f,e,f
4726,h,p,v,f,b,p,g,k,g,f,e,f
4727,h,p,y,f,b,p,g,k,h,f,e,f
4728,h,p,y,f,b,p,y,k,h,f,e,f
4729,h,p,y,f,n,p,y,k,h,f,e,f
4730,h,p,v,f,n,p,g,k,g,f,e,f
4731,h,p,y,f,p,p,g,k,h,f,e,f
4732,n,e,y,f,p,p,n,s,n,t,t,n
4733,h,p,v,f,n,p,y,k,g,f,e,f
