,class_cat,Unnamed: 0,A1_cat,A2_num,A3_num,A4_cat,A5_cat,A6_cat,A7_cat,A8_num,A9_cat,A10_cat,A11_num,A12_cat,A13_cat,A14_num,A15_num
572,+,572,b,21.92,0.54,y,p,x,v,0.04,t,t,1.0,t,g,840.0,59.0
573,+,573,a,65.17,14.0,u,g,ff,ff,0.0,t,t,11.0,t,g,0.0,1400.0
574,+,574,a,20.33,10.0,u,g,c,h,1.0,t,t,4.0,f,g,50.0,1465.0
575,+,575,b,32.25,0.165,y,p,c,h,3.25,t,t,1.0,t,g,432.0,8000.0
576,+,576,b,30.17,0.5,u,g,c,v,1.75,t,t,11.0,f,g,32.0,540.0
577,+,577,b,25.17,6.0,u,g,c,v,1.0,t,t,3.0,f,g,0.0,0.0
578,+,578,b,39.17,1.625,u,g,c,v,1.5,t,t,10.0,f,g,186.0,4700.0
579,+,579,b,39.08,6.0,u,g,m,v,1.29,t,t,5.0,t,g,108.0,1097.0
580,+,580,b,31.67,0.83,u,g,x,v,1.335,t,t,8.0,t,g,303.0,3290.0
581,+,581,b,41.0,0.04,u,g,e,v,0.04,f,t,1.0,f,s,560.0,0.0
582,+,582,b,48.5,4.25,u,g,m,v,0.125,t,f,0.0,t,g,225.0,0.0
583,+,583,b,32.67,9.0,y,p,w,h,5.25,t,f,0.0,t,g,154.0,0.0
584,+,584,a,28.08,15.0,y,p,e,z,0.0,t,f,0.0,f,g,0.0,13212.0
585,+,585,b,73.42,17.75,u,g,ff,ff,0.0,t,f,0.0,t,g,0.0,0.0
586,+,586,b,64.08,20.0,u,g,x,h,17.5,t,t,9.0,t,g,0.0,1000.0
587,+,587,b,51.58,15.0,u,g,c,v,8.5,t,t,9.0,f,g,0.0,0.0
588,+,588,b,26.67,1.75,y,p,c,v,1.0,t,t,5.0,t,g,160.0,5777.0
589,+,589,b,25.33,0.58,u,g,c,v,0.29,t,t,7.0,t,g,96.0,5124.0
590,+,590,b,30.17,6.5,u,g,cc,v,3.125,t,t,8.0,f,g,330.0,1200.0
591,+,591,b,27.0,0.75,u,g,c,h,4.25,t,t,3.0,t,g,312.0,150.0
592,+,592,b,23.17,0.0,,,,,0.0,f,f,0.0,f,p,,0.0
593,+,593,b,34.17,5.25,u,g,w,v,0.085,f,f,0.0,t,g,290.0,6.0
594,+,594,b,38.67,0.21,u,g,k,v,0.085,t,f,0.0,t,g,280.0,0.0
595,+,595,b,25.75,0.75,u,g,c,bb,0.25,t,f,0.0,f,g,349.0,23.0
596,+,596,a,46.08,3.0,u,g,c,v,2.375,t,t,8.0,t,g,396.0,4159.0
597,+,597,a,21.5,6.0,u,g,aa,v,2.5,t,t,3.0,f,g,80.0,918.0
598,+,598,,20.08,0.125,u,g,q,v,1.0,f,t,1.0,f,g,240.0,768.0
599,+,599,b,20.5,2.415,u,g,c,v,2.0,t,t,11.0,t,g,200.0,3000.0
600,+,600,a,29.5,0.46,u,g,k,v,0.54,t,t,4.0,f,g,380.0,500.0
601,-,601,,42.25,1.75,y,p,,,0.0,f,f,0.0,t,g,150.0,1.0
602,-,602,b,29.83,1.25,y,p,k,v,0.25,f,f,0.0,f,g,224.0,0.0
603,-,603,b,20.08,0.25,u,g,q,v,0.125,f,f,0.0,f,g,200.0,0.0
604,-,604,b,23.42,0.585,u,g,c,h,0.085,t,f,0.0,f,g,180.0,0.0
605,-,605,a,29.58,1.75,y,p,k,v,1.25,f,f,0.0,t,g,280.0,0.0
606,+,606,b,16.17,0.04,u,g,c,v,0.04,f,f,0.0,f,g,0.0,0.0
607,-,607,b,32.33,3.5,u,g,k,v,0.5,f,f,0.0,t,g,232.0,0.0
608,-,608,b,,0.04,y,p,d,v,4.25,f,f,0.0,t,g,460.0,0.0
609,-,609,b,47.83,4.165,u,g,x,bb,0.085,f,f,0.0,t,g,520.0,0.0
610,-,610,b,20.0,1.25,y,p,k,v,0.125,f,f,0.0,f,g,140.0,4.0
611,-,611,b,27.58,3.25,y,p,q,h,5.085,f,t,2.0,t,g,369.0,1.0
612,-,612,b,22.0,0.79,u,g,w,v,0.29,f,t,1.0,f,g,420.0,283.0
613,-,613,b,19.33,10.915,u,g,c,bb,0.585,f,t,2.0,t,g,200.0,7.0
614,-,614,a,38.33,4.415,u,g,c,v,0.125,f,f,0.0,f,g,160.0,0.0
615,-,615,b,29.42,1.25,u,g,c,h,0.25,f,t,2.0,t,g,400.0,108.0
616,-,616,b,22.67,0.75,u,g,i,v,1.585,f,t,1.0,t,g,400.0,9.0
617,-,617,b,32.25,14.0,y,p,ff,ff,0.0,f,t,2.0,f,g,160.0,1.0
618,-,618,b,29.58,4.75,u,g,m,v,2.0,f,t,1.0,t,g,460.0,68.0
619,-,619,b,18.42,10.415,y,p,aa,v,0.125,t,f,0.0,f,g,120.0,375.0
620,-,620,b,22.17,2.25,u,g,i,v,0.125,f,f,0.0,f,g,160.0,10.0
621,+,621,b,22.67,0.165,u,g,c,j,2.25,f,f,0.0,t,s,0.0,0.0
622,+,622,a,25.58,0.0,,,,,0.0,f,f,0.0,f,p,,0.0
623,-,623,b,18.83,0.0,u,g,q,v,0.665,f,f,0.0,f,g,160.0,1.0
624,-,624,b,21.58,0.79,y,p,cc,v,0.665,f,f,0.0,f,g,160.0,0.0
625,-,625,b,23.75,12.0,u,g,c,v,2.085,f,f,0.0,f,s,80.0,0.0
626,-,626,b,22.0,7.835,y,p,i,bb,0.165,f,f,0.0,t,g,,0.0
627,-,627,b,36.08,2.54,u,g,ff,ff,0.0,f,f,0.0,f,g,0.0,1000.0
628,-,628,b,29.25,13.0,u,g,d,h,0.5,f,f,0.0,f,g,228.0,0.0
629,-,629,a,19.58,0.665,u,g,w,v,1.665,f,f,0.0,f,g,220.0,5.0
630,-,630,a,22.92,1.25,u,g,q,v,0.25,f,f,0.0,t,g,120.0,809.0
631,-,631,a,27.25,0.29,u,g,m,h,0.125,f,t,1.0,t,g,272.0,108.0
632,-,632,a,38.75,1.5,u,g,ff,ff,0.0,f,f,0.0,f,g,76.0,0.0
633,-,633,b,32.42,2.165,y,p,k,ff,0.0,f,f,0.0,f,g,120.0,0.0
634,-,634,a,23.75,0.71,u,g,w,v,0.25,f,t,1.0,t,g,240.0,4.0
635,-,635,b,18.17,2.46,u,g,c,n,0.96,f,t,2.0,t,g,160.0,587.0
636,-,636,b,40.92,0.5,y,p,m,v,0.5,f,f,0.0,t,g,130.0,0.0
637,-,637,b,19.5,9.585,u,g,aa,v,0.79,f,f,0.0,f,g,80.0,350.0
638,-,638,b,28.58,3.625,u,g,aa,v,0.25,f,f,0.0,t,g,100.0,0.0
639,-,639,b,35.58,0.75,u,g,k,v,1.5,f,f,0.0,t,g,231.0,0.0
640,-,640,b,34.17,2.75,u,g,i,bb,2.5,f,f,0.0,t,g,232.0,200.0
641,-,641,,33.17,2.25,y,p,cc,v,3.5,f,f,0.0,t,g,200.0,141.0
642,-,642,b,31.58,0.75,y,p,aa,v,3.5,f,f,0.0,t,g,320.0,0.0
643,-,643,a,52.5,7.0,u,g,aa,h,3.0,f,f,0.0,f,g,0.0,0.0
644,-,644,b,36.17,0.42,y,p,w,v,0.29,f,f,0.0,t,g,309.0,2.0
645,-,645,b,37.33,2.665,u,g,cc,v,0.165,f,f,0.0,t,g,0.0,501.0
646,-,646,a,20.83,8.5,u,g,c,v,0.165,f,f,0.0,f,g,0.0,351.0
647,-,647,b,24.08,9.0,u,g,aa,v,0.25,f,f,0.0,t,g,0.0,0.0
648,-,648,b,25.58,0.335,u,g,k,h,3.5,f,f,0.0,t,g,340.0,0.0
649,-,649,a,35.17,3.75,u,g,ff,ff,0.0,f,t,6.0,f,g,0.0,200.0
650,-,650,b,48.08,3.75,u,g,i,bb,1.0,f,f,0.0,f,g,100.0,2.0
651,-,651,a,15.83,7.625,u,g,q,v,0.125,f,t,1.0,t,g,0.0,160.0
652,-,652,a,22.5,0.415,u,g,i,v,0.335,f,f,0.0,t,s,144.0,0.0
653,-,653,b,21.5,11.5,u,g,i,v,0.5,t,f,0.0,t,g,100.0,68.0
654,-,654,a,23.58,0.83,u,g,q,v,0.415,f,t,1.0,t,g,200.0,11.0
655,-,655,a,21.08,5.0,y,p,ff,ff,0.0,f,f,0.0,f,g,0.0,0.0
656,-,656,b,25.67,3.25,u,g,c,h,2.29,f,t,1.0,t,g,416.0,21.0
657,-,657,a,38.92,1.665,u,g,aa,v,0.25,f,f,0.0,f,g,0.0,390.0
658,-,658,a,15.75,0.375,u,g,c,v,1.0,f,f,0.0,f,g,120.0,18.0
659,-,659,a,28.58,3.75,u,g,c,v,0.25,f,t,1.0,t,g,40.0,154.0
660,-,660,b,22.25,9.0,u,g,aa,v,0.085,f,f,0.0,f,g,0.0,0.0
661,-,661,b,29.83,3.5,u,g,c,v,0.165,f,f,0.0,f,g,216.0,0.0
662,-,662,a,23.5,1.5,u,g,w,v,0.875,f,f,0.0,t,g,160.0,0.0
663,-,663,b,32.08,4.0,y,p,cc,v,1.5,f,f,0.0,t,g,120.0,0.0
664,-,664,b,31.08,1.5,y,p,w,v,0.04,f,f,0.0,f,s,160.0,0.0
665,-,665,b,31.83,0.04,y,p,m,v,0.04,f,f,0.0,f,g,0.0,0.0
666,-,666,a,21.75,11.75,u,g,c,v,0.25,f,f,0.0,t,g,180.0,0.0
667,-,667,a,17.92,0.54,u,g,c,v,1.75,f,t,1.0,t,g,80.0,5.0
668,-,668,b,30.33,0.5,u,g,d,h,0.085,f,f,0.0,t,s,252.0,0.0
669,-,669,b,51.83,2.04,y,p,ff,ff,1.5,f,f,0.0,f,g,120.0,1.0
670,-,670,b,47.17,5.835,u,g,w,v,5.5,f,f,0.0,f,g,465.0,150.0
671,-,671,b,25.83,12.835,u,g,cc,v,0.5,f,f,0.0,f,g,0.0,2.0
672,-,672,a,50.25,0.835,u,g,aa,v,0.5,f,f,0.0,t,g,240.0,117.0
673,-,673,,29.5,2.0,y,p,e,h,2.0,f,f,0.0,f,g,256.0,17.0
674,-,674,a,37.33,2.5,u,g,i,h,0.21,f,f,0.0,f,g,260.0,246.0
675,-,675,a,41.58,1.04,u,g,aa,v,0.665,f,f,0.0,f,g,240.0,237.0
676,-,676,a,30.58,10.665,u,g,q,h,0.085,f,t,12.0,t,g,129.0,3.0
677,-,677,b,19.42,7.25,u,g,m,v,0.04,f,t,1.0,f,g,100.0,1.0
678,-,678,a,17.92,10.21,u,g,ff,ff,0.0,f,f,0.0,f,g,0.0,50.0
679,-,679,a,20.08,1.25,u,g,c,v,0.0,f,f,0.0,f,g,0.0,0.0
680,-,680,b,19.5,0.29,u,g,k,v,0.29,f,f,0.0,f,g,280.0,364.0
681,-,681,b,27.83,1.0,y,p,d,h,3.0,f,f,0.0,f,g,176.0,537.0
682,-,682,b,17.08,3.29,u,g,i,v,0.335,f,f,0.0,t,g,140.0,2.0
683,-,683,b,36.42,0.75,y,p,d,v,0.585,f,f,0.0,f,g,240.0,3.0
684,-,684,b,40.58,3.29,u,g,m,v,3.5,f,f,0.0,t,s,400.0,0.0
685,-,685,b,21.08,10.085,y,p,e,h,1.25,f,f,0.0,f,g,260.0,0.0
686,-,686,a,22.67,0.75,u,g,c,v,2.0,f,t,2.0,t,g,200.0,394.0
687,-,687,a,25.25,13.5,y,p,ff,ff,2.0,f,t,1.0,t,g,200.0,1.0
688,-,688,b,17.92,0.205,u,g,aa,v,0.04,f,f,0.0,f,g,280.0,750.0
689,-,689,b,35.0,3.375,u,g,c,h,8.29,f,f,0.0,t,g,0.0,0.0
