,binaryClass_cat,climbRate_num,Altitude_num,RollRate_num,curRoll_num,diffClb_num,diffDiffClb_num
4970,P,-3.9,-20.0,-0.0002,0.011,-0.3,-0.01
4971,P,-7.5,-30.0,-0.0079,0.004,0.0,0.01
4972,P,-6.6,-50.0,-0.0072,-0.015,0.1,0.0
4973,P,-2.5,-60.0,-0.0051,-0.028,0.1,-0.01
4974,N,5.7,-50.0,0.0101,-0.002,0.1,0.0
4975,N,4.8,-40.0,0.0061,0.013,-0.1,0.01
4976,N,8.0,0.0,0.0079,0.001,0.1,0.0
4977,N,6.5,30.0,0.006,0.029,-0.1,0.0
4978,P,0.1,50.0,-0.0072,0.024,-0.1,0.0
4979,P,-7.4,40.0,0.0003,-0.008,-0.2,0.0
4980,P,-6.6,-20.0,-0.0016,-0.006,0.0,0.0
4981,N,0.9,-40.0,0.0049,-0.009,0.1,0.0
4982,N,1.0,-30.0,0.0052,-0.002,-0.1,0.01
4983,P,-1.3,-30.0,0.0013,0.008,-0.1,0.0
4984,N,-2.3,-40.0,0.0008,0.009,0.0,0.0
4985,P,-4.8,-40.0,-0.004,0.008,-0.1,0.01
4986,P,-6.7,-60.0,-0.0082,-0.013,0.0,0.0
4987,N,7.5,-60.0,0.0069,0.002,0.1,0.0
4988,N,8.4,-40.0,0.0032,0.015,0.0,0.0
4989,P,3.6,-20.0,-0.0055,0.012,-0.2,0.0
4990,N,0.7,-20.0,0.0085,0.012,0.1,0.0
4991,N,0.9,-20.0,0.0051,0.034,0.0,0.0
4992,P,-2.9,-20.0,-0.0063,0.033,-0.1,0.0
4993,N,1.2,30.0,0.0055,-0.002,0.1,0.0
4994,P,-4.9,10.0,-0.0027,0.03,-0.1,0.0
4995,P,-4.8,0.0,-0.005,0.022,0.0,0.0
4996,P,-3.2,-10.0,-0.0034,0.006,0.0,0.0
4997,N,4.2,-10.0,0.0043,0.008,0.1,0.0
4998,P,-0.3,20.0,-0.0049,0.022,-0.1,0.0
4999,P,-6.9,-10.0,-0.0007,-0.007,-0.1,0.0
5000,N,-1.0,-40.0,0.0041,0.012,0.1,0.0
5001,N,7.9,-30.0,-0.0041,0.009,0.2,0.0
5002,N,9.5,0.0,-0.0033,-0.005,0.0,0.0
5003,P,-12.0,10.0,-0.0017,0.003,-0.2,0.0
5004,P,-14.4,-30.0,-0.0016,-0.003,-0.1,0.0
5005,N,11.4,-60.0,0.0019,0.006,0.2,0.0
5006,N,12.4,-30.0,0.0012,0.01,0.0,0.0
5007,N,10.4,0.0,-0.0027,0.009,-0.1,0.0
5008,P,7.7,20.0,-0.0054,0.001,-0.2,0.01
5009,N,5.8,30.0,-0.0032,-0.011,0.0,0.0
5010,P,-4.2,40.0,0.0041,-0.006,-0.2,0.0
5011,P,-7.3,20.0,0.0026,0.003,-0.1,0.0
5012,N,-6.3,0.0,0.002,0.009,0.0,0.01
5013,P,-6.3,-10.0,0.0013,0.012,0.0,0.01
5014,N,5.7,-10.0,0.0018,0.008,0.1,0.0
5015,P,-1.2,10.0,-0.006,0.005,0.0,0.0
5016,N,4.3,20.0,0.0007,-0.011,0.1,0.0
5017,N,4.5,30.0,0.0033,-0.008,0.0,0.01
5018,P,-7.8,10.0,-0.0048,0.002,-0.1,0.0
5019,P,-6.9,-10.0,-0.0028,-0.006,0.2,-0.01
5020,N,2.5,-20.0,0.0033,-0.005,0.2,0.0
5021,N,5.4,0.0,0.0061,0.012,0.0,0.0
5022,N,1.7,60.0,-0.0023,-0.011,0.0,0.0
5023,N,1.0,60.0,0.006,-0.003,0.0,0.0
5024,P,-6.0,50.0,0.0016,0.029,-0.1,0.0
5025,P,-7.6,20.0,-0.0011,0.029,0.0,0.0
5026,P,-8.0,0.0,-0.0016,0.025,0.0,0.0
5027,N,4.2,-30.0,-0.0007,0.014,0.1,0.0
5028,N,0.8,10.0,0.0047,-0.006,0.0,0.01
5029,P,-4.8,-10.0,-0.0044,0.007,0.0,0.0
5030,N,1.9,-20.0,0.0041,0.012,0.0,0.0
5031,P,5.6,10.0,-0.0027,-0.021,0.1,0.0
5032,N,6.0,50.0,0.0058,-0.006,0.0,0.0
5033,N,3.2,70.0,0.0017,0.007,-0.1,0.0
5034,P,-4.1,70.0,-0.0056,-0.004,-0.2,0.0
5035,P,-5.7,60.0,-0.0061,-0.013,0.0,-0.01
5036,P,-6.4,30.0,-0.0003,-0.026,0.0,0.0
5037,N,-5.4,30.0,0.0028,-0.025,0.1,-0.01
5038,P,-4.2,20.0,0.004,-0.02,0.1,0.0
5039,N,-1.5,10.0,0.0045,-0.011,0.2,0.0
5040,N,4.9,40.0,-0.0012,0.003,0.1,0.0
5041,N,4.1,50.0,-0.0016,-0.001,-0.1,0.0
5042,P,-3.5,50.0,-0.0016,-0.01,-0.2,0.0
5043,P,-4.6,40.0,-0.0002,-0.012,0.0,-0.01
5044,N,-1.9,30.0,0.0047,-0.003,0.1,0.0
5045,P,-4.5,20.0,0.0057,0.014,-0.1,0.0
5046,P,-6.4,10.0,0.0028,0.024,-0.1,0.0
5047,P,2.6,-10.0,-0.0059,0.004,0.1,0.0
5048,N,8.6,20.0,0.0027,-0.008,0.1,0.0
5049,N,7.8,30.0,0.0059,0.0,-0.1,0.01
5050,P,-5.8,40.0,-0.0027,0.01,-0.2,0.0
5051,P,-6.9,30.0,-0.0017,0.007,0.0,-0.01
5052,N,-2.3,0.0,0.0037,0.014,0.1,0.0
5053,P,-4.3,-10.0,-0.001,0.022,-0.1,0.0
5054,N,5.6,-10.0,0.0053,0.012,0.1,0.0
5055,P,-1.4,10.0,-0.0063,0.005,-0.1,0.0
5056,N,5.3,10.0,0.0023,-0.012,0.2,0.0
5057,N,7.6,30.0,0.006,-0.006,0.1,0.0
5058,P,-3.4,40.0,0.0056,0.029,-0.3,0.0
5059,P,-7.2,30.0,0.0034,0.037,-0.2,-0.01
5060,P,-9.1,10.0,0.0011,0.041,-0.1,0.0
5061,N,5.4,-10.0,0.0003,0.039,0.2,0.0
5062,N,8.4,10.0,-0.0001,0.039,0.1,0.0
5063,P,-11.1,20.0,-0.0042,0.016,-0.3,0.0
5064,N,9.8,-10.0,0.0015,0.004,0.5,0.0
5065,N,14.3,20.0,0.0037,0.012,-0.1,0.01
5066,N,12.6,50.0,0.0019,0.018,-0.1,0.0
5067,N,9.3,70.0,-0.0011,0.018,-0.2,0.0
5068,N,-4.9,50.0,0.0058,0.015,0.0,0.0
5069,P,-7.4,40.0,0.0042,0.024,-0.2,0.01
5070,N,-7.3,20.0,0.0028,0.03,0.2,-0.02
5071,N,2.3,0.0,-0.0036,0.018,0.1,0.0
5072,N,4.2,10.0,-0.0033,0.007,0.0,0.0
5073,N,-0.4,20.0,0.0046,0.012,0.0,0.0
5074,P,-3.5,20.0,0.0012,0.025,-0.1,0.0
5075,N,4.1,0.0,0.0004,0.001,0.2,0.0
5076,P,-2.3,10.0,0.0022,0.017,-0.2,0.0
5077,P,-6.2,-10.0,-0.0022,0.017,-0.1,0.0
5078,P,-6.4,-30.0,-0.0047,0.005,0.0,0.0
5079,N,6.4,-30.0,0.0051,0.007,0.2,0.0
5080,N,8.1,0.0,0.0036,0.024,0.0,0.0
5081,N,6.2,10.0,-0.0013,0.027,-0.1,-0.01
5082,P,-2.8,20.0,-0.0078,0.012,-0.3,0.0
5083,P,-7.9,-10.0,-0.0029,-0.017,0.0,0.0
5084,N,-2.5,-30.0,0.0047,-0.013,0.2,0.0
5085,N,-1.0,-40.0,0.0061,-0.005,0.0,0.0
5086,P,0.1,-40.0,0.0061,0.011,0.0,0.0
5087,P,0.2,-30.0,-0.0082,-0.013,0.0,0.0
5088,N,5.1,-20.0,0.0072,-0.02,0.1,0.0
5089,N,6.1,0.0,0.0074,0.002,0.0,0.0
5090,P,-6.7,0.0,0.0023,0.033,-0.2,0.0
5091,P,-10.0,-40.0,0.0009,0.041,-0.1,0.0
5092,P,-6.9,-70.0,-0.0009,0.04,0.1,0.0
5093,N,7.4,-70.0,-0.0021,0.029,0.2,0.0
5094,N,9.1,-50.0,-0.0019,0.026,0.0,0.02
5095,N,7.5,-20.0,-0.001,0.021,-0.1,0.0
5096,P,-2.7,-10.0,0.0007,0.022,-0.2,0.0
5097,P,-3.4,-10.0,0.0006,0.023,0.0,0.0
5098,P,0.6,10.0,-0.0043,0.013,-0.1,0.0
5099,P,0.1,10.0,-0.0047,0.004,0.0,0.0
5100,N,4.3,20.0,0.003,-0.011,0.1,0.0
5101,N,4.2,30.0,0.0052,-0.005,-0.1,0.01
5102,P,-3.9,30.0,0.0039,0.017,-0.4,0.01
5103,P,-8.0,20.0,0.002,0.021,-0.2,-0.01
5104,P,-9.2,0.0,0.0009,0.024,0.1,0.0
5105,N,-5.2,-20.0,0.0019,0.028,0.1,0.0
5106,P,-4.0,-30.0,-0.0006,0.031,0.0,0.0
5107,N,4.2,-30.0,-0.0027,-0.007,0.1,0.0
5108,P,5.0,-20.0,-0.0023,-0.01,0.0,0.01
5109,N,6.6,0.0,0.0036,-0.008,0.0,0.0
5110,P,-2.9,20.0,0.0028,0.016,-0.2,0.0
5111,P,-5.4,10.0,0.0008,0.019,-0.1,-0.01
5112,N,3.3,-10.0,0.0001,0.011,0.1,0.0
5113,N,6.5,10.0,0.0003,0.012,0.1,0.0
5114,N,5.2,30.0,-0.0001,0.013,-0.1,0.0
5115,P,-2.9,40.0,-0.0015,0.01,-0.4,0.01
5116,P,-4.7,10.0,-0.0005,0.015,-0.1,0.0
5117,N,4.3,0.0,-0.0006,-0.001,0.1,0.0
5118,N,5.1,10.0,0.0005,-0.001,0.0,0.0
5119,P,-5.5,20.0,0.0006,0.012,-0.1,0.0
5120,P,-6.3,10.0,-0.0006,0.012,0.0,-0.01
5121,P,-4.4,-10.0,-0.0029,0.006,0.1,0.0
5122,N,6.4,0.0,0.0033,0.01,0.1,0.0
5123,N,4.9,20.0,0.0035,0.021,-0.1,0.0
5124,P,-4.1,20.0,-0.0062,0.015,-0.1,0.0
5125,P,-4.3,20.0,-0.0072,0.004,0.1,-0.02
5126,N,1.7,10.0,-0.0001,-0.017,0.1,0.0
5127,P,-5.5,10.0,0.0032,-0.009,-0.3,0.0
5128,P,-7.5,-20.0,0.0022,0.001,-0.1,0.01
5129,N,3.3,-40.0,-0.0003,0.004,0.2,0.0
5130,N,7.3,-20.0,-0.0007,0.002,0.1,0.0
5131,N,7.5,10.0,-0.0009,-0.001,0.0,0.0
5132,N,1.8,20.0,-0.0016,-0.011,0.1,0.0
5133,P,-5.0,0.0,-0.0061,-0.003,0.1,0.0
5134,P,-4.3,-20.0,0.0054,-0.01,-0.2,0.0
5135,P,-5.8,-30.0,0.0044,0.01,-0.1,0.0
5136,P,-2.4,-40.0,0.0011,0.015,0.3,-0.02
5137,N,3.1,-40.0,-0.003,0.014,0.2,0.0
5138,P,4.5,-30.0,-0.0079,0.004,-0.1,0.01
5139,N,4.3,-30.0,-0.0071,-0.012,0.0,0.0
5140,N,-3.2,-20.0,0.0065,0.011,-0.1,0.0
5141,P,-4.9,-40.0,-0.0073,0.01,0.0,0.0
5142,N,-3.7,-50.0,-0.011,-0.007,0.1,-0.01
5143,P,-2.3,-50.0,-0.001,-0.028,0.0,0.0
5144,N,-0.1,-60.0,0.0073,-0.023,0.2,-0.01
5145,P,0.8,-50.0,0.0058,-0.004,0.0,0.0
5146,P,2.2,-50.0,-0.0072,-0.01,0.1,0.0
5147,N,4.2,-40.0,-0.0044,-0.024,0.1,0.0
5148,N,5.1,-30.0,0.0059,-0.022,0.0,0.0
5149,N,3.1,-20.0,0.0094,-0.006,-0.2,0.0
5150,P,-0.8,-20.0,-0.0091,0.005,0.0,0.0
5151,P,0.7,-20.0,-0.0081,-0.01,0.2,0.0
5152,N,4.3,-10.0,0.0029,-0.02,0.0,0.0
5153,P,1.3,0.0,0.0077,-0.006,-0.2,0.0
5154,P,-0.8,0.0,0.0064,0.006,-0.1,-0.01
5155,P,-2.1,-10.0,-0.0012,0.015,0.0,-0.01
5156,N,-0.5,-10.0,-0.0074,0.005,0.1,0.0
5157,P,-3.7,-20.0,0.0023,0.015,-0.1,0.0
5158,N,-3.6,-40.0,-0.0077,0.001,0.1,0.0
5159,P,-4.3,-50.0,-0.0035,-0.015,-0.1,0.0
5160,P,-4.0,-50.0,0.0023,-0.017,0.0,0.0
5161,N,1.1,-60.0,0.0094,0.001,0.2,0.0
5162,P,4.0,-60.0,0.0067,0.015,0.2,0.0
5163,N,-2.8,-10.0,0.0066,-0.024,-0.1,0.0
5164,P,-5.2,-10.0,0.0097,-0.006,0.1,0.02
5165,P,-3.9,-30.0,0.0034,0.014,0.0,0.0
5166,N,-0.5,-40.0,-0.0062,0.009,0.1,0.0
5167,P,-0.5,-40.0,-0.0064,-0.004,-0.1,0.01
5168,N,2.6,-30.0,0.0065,-0.007,0.2,-0.01
5169,P,2.1,0.0,-0.004,0.007,-0.1,0.0
5170,P,-0.9,-10.0,0.0058,-0.006,-0.1,0.0
5171,P,-1.8,-10.0,0.0068,0.015,0.0,0.0
5172,N,3.2,-10.0,-0.003,0.026,0.2,0.0
5173,P,-2.5,30.0,-0.0029,-0.015,-0.4,0.0
5174,P,-7.3,20.0,-0.0007,-0.018,-0.3,0.0
5175,P,-5.7,-20.0,0.0091,0.014,0.0,0.0
5176,P,-4.7,-30.0,0.0049,0.029,0.1,0.0
5177,N,0.9,-40.0,-0.0085,0.025,0.2,0.01
5178,P,1.2,-30.0,-0.0133,0.004,-0.1,0.0
5179,P,-1.1,-30.0,0.0036,-0.03,-0.1,0.0
5180,P,-1.6,-30.0,-0.0057,0.018,-0.2,0.0
5181,P,-3.6,-50.0,-0.0059,-0.009,0.0,0.0
5182,P,-1.7,-60.0,0.0033,-0.015,0.0,0.0
5183,N,1.1,-60.0,0.0053,0.011,0.0,0.0
5184,N,1.2,-50.0,-0.0079,0.007,0.1,0.0
5185,N,1.3,-50.0,-0.007,-0.015,0.0,0.01
5186,P,-1.1,-50.0,0.0053,-0.017,-0.1,0.0
5187,P,2.2,-50.0,0.0138,0.012,0.2,0.01
5188,N,10.6,-30.0,0.0016,0.039,0.3,0.0
5189,P,-4.0,20.0,-0.0031,-0.035,-0.3,0.0
5190,P,-2.0,-10.0,-0.007,0.01,-0.1,0.0
5191,P,-4.2,-20.0,0.0046,0.001,0.0,0.0
5192,P,-3.2,-30.0,0.0089,0.011,0.2,-0.02
5193,N,3.4,-30.0,-0.0048,0.026,0.1,0.0
5194,P,-2.0,-20.0,0.0014,-0.007,-0.1,0.0
5195,N,5.1,-20.0,0.0067,0.01,0.3,0.0
5196,N,7.2,0.0,0.0015,0.024,0.0,0.0
5197,N,4.5,20.0,-0.0055,0.015,-0.1,0.0
5198,P,2.2,30.0,-0.0087,0.004,-0.2,0.01
5199,N,-3.6,20.0,0.0083,-0.022,0.0,0.0
5200,P,-5.3,10.0,0.0099,0.005,0.0,-0.01
5201,P,-5.2,0.0,0.0073,0.019,0.0,-0.01
5202,N,-0.8,-20.0,-0.0086,0.019,0.2,0.01
5203,N,1.7,-10.0,-0.0052,0.0,0.1,0.0
5204,N,1.3,10.0,-0.0053,0.005,0.0,0.0
5205,P,0.9,30.0,-0.0076,-0.005,-0.1,0.0
5206,P,-3.8,20.0,0.0083,-0.004,-0.2,0.0
5207,P,-7.0,10.0,0.0061,0.013,-0.2,0.0
5208,P,-8.5,-10.0,0.0009,0.02,0.0,0.0
5209,N,-5.3,-30.0,-0.0078,0.007,0.1,0.0
5210,N,2.5,-40.0,0.0073,-0.006,0.1,0.0
5211,N,2.5,-30.0,-0.0115,-0.011,0.0,0.0
5212,P,2.7,-20.0,-0.0096,-0.03,0.1,0.02
5213,N,6.1,-10.0,0.004,-0.037,0.2,-0.01
5214,N,6.5,10.0,0.0184,-0.004,-0.1,-0.01
5215,N,5.2,10.0,0.0182,0.018,-0.1,0.01
5216,P,-0.3,20.0,-0.0094,0.041,-0.1,0.0
5217,P,-2.1,20.0,-0.0121,0.015,0.0,0.0
5218,P,-3.7,10.0,0.0077,0.011,-0.1,0.0
5219,P,-5.9,-20.0,0.0005,0.038,-0.1,0.0
5220,N,6.0,-30.0,0.0004,-0.011,0.2,0.0
5221,N,7.7,-20.0,0.0052,-0.006,0.0,0.0
5222,P,6.7,0.0,-0.003,0.0,-0.1,0.01
5223,P,5.2,10.0,-0.0082,-0.015,0.0,0.0
5224,N,4.4,30.0,0.0013,-0.031,-0.1,0.0
5225,P,-4.7,30.0,0.0093,-0.014,-0.3,0.0
5226,P,-8.5,20.0,0.01,0.006,-0.2,-0.01
5227,N,-10.7,0.0,0.0069,0.018,0.0,0.02
5228,P,-7.6,-30.0,-0.0031,0.024,0.1,0.0
5229,N,-3.0,-40.0,-0.0082,0.009,0.2,0.0
5230,N,2.9,-40.0,-0.0031,-0.011,0.2,0.0
5231,N,5.9,-30.0,0.0038,-0.011,0.1,0.0
5232,P,2.2,-10.0,-0.0039,0.003,-0.1,0.0
5233,N,-0.4,0.0,0.0082,-0.019,0.0,-0.01
5234,P,-1.8,-10.0,0.0095,-0.002,-0.1,0.0
5235,P,-2.7,-20.0,-0.0068,0.006,0.0,0.0
5236,N,-2.4,-20.0,-0.0077,-0.003,0.0,-0.02
5237,N,-0.7,-30.0,0.0079,-0.003,0.0,0.0
5238,P,-3.9,-40.0,0.0032,0.021,-0.1,0.0
5239,P,-5.6,-50.0,-0.0048,0.018,0.0,0.0
5240,N,-4.0,-60.0,-0.0081,0.006,0.2,0.01
5241,N,5.6,-60.0,0.0041,-0.007,0.3,0.0
5242,P,3.4,-30.0,-0.0039,0.022,-0.2,0.02
5243,P,1.3,-30.0,-0.0184,-0.003,0.0,0.0
5244,N,2.8,-20.0,-0.0092,-0.034,0.2,0.01
5245,N,2.6,-10.0,0.0119,-0.025,-0.2,-0.01
5246,P,-3.1,-10.0,0.0148,0.011,-0.2,0.0
5247,P,-7.0,-30.0,0.0065,0.044,-0.1,-0.01
5248,P,-7.6,-40.0,-0.0021,0.047,0.0,0.0
5249,N,-1.3,-60.0,-0.0059,0.001,0.1,0.0
5250,N,2.2,-60.0,0.0023,-0.004,0.3,-0.01
5251,N,8.2,-20.0,0.0014,0.031,0.0,0.0
5252,P,3.1,10.0,-0.0099,0.015,-0.2,0.0
5253,P,-3.4,10.0,0.0078,0.013,-0.2,0.0
5254,P,-5.4,-10.0,0.0012,0.031,0.0,0.0
5255,N,-1.4,-30.0,-0.0054,0.024,0.2,0.0
5256,N,4.5,-10.0,-0.0013,0.015,0.1,0.0
5257,P,2.8,10.0,-0.0081,-0.004,-0.1,0.0
5258,P,-7.2,-70.0,-0.0032,-0.006,0.1,0.0
5259,N,-2.5,-90.0,0.0038,-0.006,0.1,0.0
5260,N,1.7,-90.0,0.0042,0.01,0.3,-0.01
5261,N,7.2,-60.0,-0.0064,0.004,0.1,0.0
5262,N,6.7,0.0,0.0011,-0.029,0.0,0.0
5263,P,-9.7,-10.0,0.0006,-0.011,-0.2,0.0
5264,N,9.3,-10.0,-0.0029,-0.007,0.1,0.0
5265,P,-7.2,30.0,0.0007,0.007,-0.2,0.0
5266,P,-10.4,0.0,-0.0005,0.006,-0.1,0.0
5267,P,-10.6,-20.0,0.0012,0.006,0.0,0.0
5268,N,-5.7,-40.0,0.0043,0.012,0.3,0.0
5269,P,-2.1,-50.0,-0.0012,0.02,0.0,0.0
5270,P,-0.7,-50.0,-0.0047,0.015,0.1,-0.01
5271,N,6.6,-50.0,-0.0082,-0.004,0.3,0.0
5272,N,9.4,20.0,0.0013,-0.032,0.0,0.0
5273,P,-4.6,30.0,0.0049,-0.018,-0.4,-0.01
5274,P,-11.4,-20.0,0.0049,0.01,-0.1,0.0
5275,N,-9.1,-40.0,0.0021,0.018,0.3,0.0
5276,P,3.6,-60.0,-0.005,-0.01,0.2,0.0
5277,N,6.1,-40.0,-0.0008,-0.022,0.0,0.0
5278,P,-0.2,-30.0,0.0034,-0.014,-0.2,0.0
5279,P,-2.1,-40.0,0.0011,0.007,0.0,0.0
5280,P,-2.2,-10.0,-0.0046,-0.007,-0.1,0.0
5281,N,1.6,-30.0,0.006,-0.005,0.1,0.0
5282,P,2.6,-10.0,-0.0082,-0.004,0.0,0.0
5283,N,4.2,0.0,-0.0063,-0.021,0.1,0.0
5284,N,4.9,10.0,0.0001,-0.031,0.0,0.0
5285,N,-0.5,30.0,0.0079,-0.005,-0.1,0.0
5286,P,-3.8,20.0,0.0063,0.01,-0.2,0.0
5287,N,-4.1,10.0,0.0029,0.028,0.0,0.0
5288,P,-3.6,-10.0,-0.0041,0.024,0.0,0.0
5289,P,0.3,-20.0,-0.0061,0.005,0.0,0.0
5290,P,-4.4,-20.0,0.0021,0.006,-0.2,0.0
5291,P,-7.3,-30.0,-0.0003,0.007,-0.1,0.0
5292,P,-7.8,-40.0,-0.0016,0.005,0.0,-0.01
5293,P,-5.3,-60.0,-0.0028,-0.001,0.1,0.0
5294,N,9.6,-40.0,0.0054,-0.005,0.1,0.0
5295,N,11.0,-10.0,0.0063,0.011,0.0,0.0
5296,N,10.3,0.0,0.006,0.02,-0.1,0.0
5297,P,-0.9,30.0,-0.0052,0.023,-0.2,0.0
5298,P,-5.4,10.0,-0.0037,0.001,-0.1,0.0
5299,P,-4.6,-10.0,0.001,-0.004,0.0,0.0
5300,N,1.3,-10.0,0.0059,0.013,0.1,0.0
5301,P,0.5,0.0,-0.0057,0.02,0.0,0.0
5302,P,-6.0,10.0,0.0001,0.013,-0.3,0.0
5303,P,-8.1,-10.0,-0.0049,0.005,0.0,0.0
5304,P,-7.4,-30.0,-0.0024,-0.008,0.1,0.0
5305,N,-1.0,-60.0,0.0041,-0.005,0.1,0.0
5306,P,-2.0,-60.0,0.0005,0.018,-0.1,0.0
5307,P,-1.8,-60.0,-0.0005,0.017,0.1,-0.02
5308,N,5.8,-50.0,-0.0013,0.013,0.2,0.0
5309,N,7.2,-20.0,-0.0016,0.003,0.0,0.0
5310,P,-3.8,10.0,0.001,0.015,-0.1,0.0
5311,P,-4.5,0.0,0.0,0.016,0.0,0.0
5312,N,4.7,0.0,-0.0004,-0.004,0.1,0.0
5313,P,-2.9,10.0,-0.0002,-0.002,-0.1,0.0
5314,P,-4.2,-20.0,-0.0023,-0.014,0.0,0.0
5315,P,-2.7,-40.0,0.0041,-0.01,0.0,0.0
5316,N,-1.3,-40.0,0.0053,-0.002,0.1,-0.01
5317,N,3.6,-30.0,-0.0028,0.004,0.1,0.0
5318,P,3.5,-20.0,-0.004,-0.013,0.0,0.0
5319,N,4.1,20.0,0.0035,-0.014,0.0,0.0
5320,P,-3.6,20.0,0.004,0.032,-0.1,0.0
5321,N,-4.8,10.0,0.0015,0.037,0.0,0.0
5322,P,-5.7,0.0,-0.0019,0.037,0.0,0.0
5323,N,4.2,-20.0,0.0003,-0.015,0.1,0.0
5324,N,5.3,0.0,0.0043,-0.005,0.0,0.0
5325,P,4.0,20.0,0.0011,0.007,0.0,0.0
5326,N,3.6,20.0,0.0005,0.008,0.0,0.0
5327,P,-3.7,30.0,-0.0012,0.005,-0.1,0.0
5328,P,-5.4,-10.0,-0.0005,-0.004,0.0,0.0
5329,P,-4.8,-10.0,-0.0165,0.004,0.0,0.0
5330,N,-4.4,-20.0,0.0093,-0.012,0.0,0.0
5331,P,-6.5,-40.0,0.0063,0.016,0.1,0.02
5332,P,-5.4,-50.0,0.0003,0.02,0.1,0.01
5333,P,0.9,-60.0,-0.0102,0.006,0.3,0.0
5334,N,7.3,-50.0,-0.0045,-0.011,0.4,0.0
5335,P,9.9,-30.0,0.0089,-0.005,-0.3,0.0
5336,N,3.6,0.0,-0.0029,0.0,0.0,0.0
5337,P,-4.6,0.0,-0.0063,-0.011,-0.2,0.0
5338,P,-6.8,-20.0,0.0056,-0.018,-0.1,0.0
5339,P,-5.2,-30.0,0.0144,-0.002,0.4,0.0
5340,N,0.1,-30.0,0.0072,0.031,0.1,0.0
5341,N,3.2,-30.0,0.0053,0.048,0.1,-0.01
5342,N,1.9,0.0,-0.0033,-0.02,0.2,0.0
5343,N,4.2,10.0,0.0025,-0.018,0.0,0.0
5344,P,-2.4,10.0,-0.0001,-0.002,-0.1,-0.01
5345,N,-2.5,10.0,-0.0031,-0.006,0.0,-0.01
5346,N,-1.8,0.0,0.0058,-0.008,0.0,0.0
5347,P,-3.7,-10.0,-0.0015,0.002,-0.1,0.0
5348,P,-4.1,-30.0,-0.0038,-0.009,0.0,0.0
5349,N,2.5,-30.0,0.0016,-0.015,0.3,0.0
5350,N,5.6,-20.0,0.0051,-0.008,-0.1,0.01
5351,N,2.6,-10.0,0.0015,0.008,0.2,0.0
5352,N,4.5,-10.0,0.0008,0.009,0.1,0.0
5353,P,4.0,10.0,-0.0042,0.005,0.0,0.0
5354,P,-2.6,20.0,0.0009,-0.007,-0.2,0.0
5355,P,-4.7,-10.0,-0.0017,-0.01,0.0,0.0
5356,N,-2.7,-20.0,0.0036,-0.008,0.1,0.0
5357,N,1.8,-30.0,-0.0052,-0.006,0.2,0.0
5358,N,3.6,-20.0,-0.0068,-0.015,0.0,0.0
5359,P,1.7,0.0,0.0072,-0.037,-0.1,0.0
5360,P,-1.2,0.0,0.0074,-0.007,-0.1,0.0
5361,P,-3.0,0.0,-0.0061,0.007,-0.1,0.0
5362,P,-4.3,-20.0,-0.0049,-0.014,0.0,0.0
5363,N,0.5,-20.0,0.0089,-0.008,0.1,0.0
5364,P,-2.3,-10.0,0.005,0.021,-0.2,0.0
5365,P,-2.1,-20.0,0.0027,0.029,0.2,-0.01
5366,N,1.7,-20.0,-0.0021,0.03,0.2,-0.01
5367,P,-2.1,0.0,0.0027,0.034,-0.4,0.0
5368,N,2.5,-10.0,-0.0064,0.022,0.2,0.0
5369,N,3.5,0.0,-0.0032,0.009,0.0,0.01
5370,N,-2.4,0.0,0.0034,0.013,-0.2,0.0
5371,N,-0.4,-10.0,-0.0073,0.006,0.1,0.0
5372,N,1.3,0.0,0.006,-0.009,0.0,0.0
5373,P,-4.0,-10.0,0.0045,0.012,-0.2,0.0
5374,N,4.3,-20.0,0.0039,0.026,0.2,0.0
5375,P,0.8,-10.0,-0.0023,0.032,-0.3,-0.01
5376,P,-0.4,-10.0,-0.0087,0.013,0.0,0.0
5377,N,2.2,-10.0,-0.0034,-0.008,0.1,0.0
5378,N,-1.2,-10.0,0.0044,0.012,0.0,0.0
5379,N,2.9,-10.0,-0.0074,0.009,0.1,0.0
5380,N,4.6,0.0,-0.0057,-0.011,0.0,0.0
5381,P,-4.4,10.0,-0.0006,-0.018,-0.2,0.0
5382,P,-1.6,-20.0,0.0102,0.004,0.0,-0.01
5383,N,0.7,-20.0,0.0048,0.011,0.0,-0.01
5384,N,1.3,-10.0,0.0051,-0.01,0.0,0.0
5385,P,-2.2,-10.0,0.0005,0.0,-0.2,0.0
5386,N,3.6,10.0,0.0023,0.005,0.1,0.0
5387,P,-3.4,10.0,0.0062,0.037,-0.2,-0.01
5388,P,-5.5,0.0,0.0033,0.045,0.0,-0.01
5389,N,1.2,-10.0,-0.0101,0.034,0.2,-0.01
5390,P,-2.5,0.0,0.0006,0.008,-0.1,0.0
5391,P,-3.0,-10.0,0.0026,0.01,0.0,0.0
5392,P,-1.2,-20.0,0.0003,0.016,-0.2,0.0
5393,N,1.2,-20.0,-0.0067,0.001,0.1,0.0
5394,P,1.2,-20.0,-0.0086,-0.012,-0.1,0.02
5395,P,-2.4,-10.0,0.0018,-0.027,-0.1,0.0
5396,N,1.4,-20.0,0.007,-0.007,0.1,0.0
5397,N,-1.0,-20.0,0.003,0.014,0.2,-0.01
5398,N,0.8,-20.0,-0.0096,0.005,0.0,0.0
5399,N,-1.0,-20.0,0.0075,-0.007,-0.1,0.0
