,binaryClass_cat,FICE_num,State_cat,Type_cat,Average_salary-full_professors_num,Average_salary-associate_professors_num,Average_salary-assistant_professors_num,Average_salary-all_ranks_num,Average_compensation-full_professors_num,Average_compensation-associate_professors_num,Average_compensation-assistant_professors_num,Average_compensation-all_ranks_num,Number_of_full_professors_num,Number_of_associate_professors_num,Number_of_assistant_professors_num,Number_of_instructors_num
434,P,2109.0,MD,IIB,477.0,379.0,313.0,412.0,612.0,489.0,400.0,530.0,36.0,30.0,10.0,3.0
435,P,2033.0,ME,IIB,439.0,354.0,302.0,343.0,562.0,453.0,389.0,440.0,15.0,19.0,25.0,4.0
436,P,2036.0,ME,IIB,671.0,490.0,404.0,518.0,824.0,600.0,494.0,635.0,45.0,31.0,45.0,6.0
437,P,2038.0,ME,IIB,738.0,527.0,418.0,554.0,918.0,651.0,503.0,682.0,41.0,40.0,35.0,4.0
438,P,2039.0,ME,IIB,745.0,515.0,383.0,524.0,904.0,622.0,453.0,629.0,43.0,33.0,60.0,4.0
439,P,2040.0,ME,IIB,464.0,348.0,292.0,385.0,594.0,448.0,377.0,496.0,47.0,26.0,13.0,14.0
440,P,2041.0,ME,IIB,436.0,347.0,320.0,356.0,555.0,442.0,415.0,456.0,9.0,10.0,12.0,2.0
441,P,2043.0,ME,IIB,407.0,358.0,302.0,334.0,454.0,401.0,338.0,374.0,12.0,13.0,18.0,6.0
442,P,2050.0,ME,IIA,450.0,380.0,323.0,354.0,545.0,468.0,396.0,434.0,11.0,22.0,39.0,4.0
443,P,2051.0,ME,IIB,,321.0,283.0,295.0,,391.0,353.0,370.0,4.0,8.0,33.0,0.0
444,P,2052.0,ME,IIB,,338.0,297.0,318.0,,404.0,341.0,374.0,2.0,7.0,8.0,0.0
445,N,2053.0,ME,I,574.0,436.0,366.0,449.0,716.0,552.0,463.0,566.0,122.0,197.0,102.0,19.0
446,P,2055.0,ME,IIB,465.0,355.0,284.0,360.0,582.0,459.0,366.0,462.0,7.0,24.0,8.0,0.0
447,P,6858.0,ME,IIB,355.0,261.0,261.0,285.0,418.0,313.0,313.0,340.0,8.0,7.0,16.0,0.0
448,N,9762.0,ME,IIA,584.0,439.0,362.0,459.0,724.0,558.0,459.0,578.0,78.0,144.0,61.0,7.0
449,P,2234.0,MI,IIB,439.0,365.0,316.0,386.0,559.0,466.0,407.0,493.0,37.0,8.0,14.0,7.0
450,P,2235.0,MI,IIB,562.0,443.0,346.0,462.0,716.0,573.0,437.0,589.0,47.0,27.0,33.0,2.0
451,P,2236.0,MI,IIB,523.0,408.0,335.0,422.0,645.0,515.0,423.0,527.0,25.0,27.0,21.0,2.0
452,P,2239.0,MI,IIB,387.0,313.0,275.0,319.0,491.0,376.0,331.0,392.0,27.0,32.0,27.0,4.0
453,P,2241.0,MI,IIB,471.0,410.0,363.0,446.0,604.0,527.0,461.0,571.0,152.0,33.0,20.0,7.0
454,N,2243.0,MI,IIA,588.0,460.0,397.0,490.0,768.0,612.0,534.0,648.0,230.0,191.0,137.0,23.0
455,P,2247.0,MI,IIB,342.0,304.0,257.0,289.0,428.0,377.0,340.0,369.0,10.0,12.0,15.0,3.0
456,P,2252.0,MI,IIB,309.0,,,295.0,377.0,,,362.0,1.0,2.0,4.0,0.0
457,N,2259.0,MI,IIA,560.0,447.0,389.0,462.0,722.0,590.0,519.0,605.0,318.0,171.0,160.0,17.0
458,N,2260.0,MI,IIA,546.0,470.0,409.0,467.0,713.0,631.0,566.0,628.0,143.0,160.0,151.0,10.0
459,P,2266.0,MI,IIB,353.0,287.0,254.0,283.0,474.0,376.0,326.0,371.0,9.0,19.0,12.0,4.0
460,N,2268.0,MI,IIB,568.0,479.0,387.0,467.0,726.0,619.0,508.0,604.0,91.0,105.0,118.0,7.0
461,P,2273.0,MI,IIB,515.0,420.0,350.0,443.0,681.0,559.0,455.0,585.0,70.0,49.0,38.0,2.0
462,P,2275.0,MI,IIB,553.0,440.0,352.0,452.0,696.0,569.0,440.0,571.0,36.0,25.0,24.0,7.0
463,P,2282.0,MI,IIB,482.0,395.0,352.0,382.0,576.0,465.0,430.0,459.0,19.0,12.0,42.0,11.0
464,P,2284.0,MI,IIB,433.0,365.0,290.0,348.0,534.0,450.0,358.0,429.0,7.0,26.0,13.0,3.0
465,N,2290.0,MI,I,651.0,493.0,413.0,555.0,843.0,663.0,569.0,732.0,949.0,494.0,350.0,47.0
466,N,2292.0,MI,IIA,668.0,482.0,420.0,511.0,854.0,638.0,563.0,671.0,99.0,124.0,95.0,11.0
467,P,2293.0,MI,IIB,510.0,446.0,357.0,422.0,661.0,596.0,473.0,557.0,32.0,35.0,38.0,7.0
468,N,2301.0,MI,IIA,571.0,459.0,347.0,467.0,749.0,609.0,468.0,619.0,149.0,72.0,61.0,21.0
469,N,2307.0,MI,IIA,633.0,518.0,432.0,534.0,831.0,690.0,582.0,710.0,123.0,142.0,85.0,8.0
470,P,2308.0,MI,IIB,400.0,,306.0,329.0,487.0,,357.0,390.0,13.0,4.0,23.0,2.0
471,P,2314.0,MI,IIA,499.0,448.0,364.0,446.0,642.0,586.0,482.0,580.0,91.0,40.0,29.0,6.0
472,P,2316.0,MI,IIB,,342.0,300.0,325.0,,443.0,383.0,418.0,2.0,31.0,23.0,1.0
473,P,2318.0,MI,IIB,368.0,321.0,284.0,320.0,455.0,398.0,370.0,400.0,22.0,15.0,19.0,6.0
474,P,2326.0,MI,IIA,552.0,452.0,408.0,451.0,701.0,583.0,531.0,582.0,70.0,66.0,51.0,0.0
475,P,2327.0,MI,IIA,566.0,460.0,409.0,437.0,708.0,582.0,522.0,555.0,43.0,46.0,57.0,1.0
476,N,2329.0,MI,I,683.0,525.0,447.0,535.0,846.0,664.0,560.0,669.0,317.0,267.0,216.0,8.0
477,N,2330.0,MI,I,603.0,489.0,396.0,502.0,755.0,620.0,505.0,633.0,285.0,233.0,189.0,24.0
478,P,4673.0,MI,IIB,,,370.0,385.0,,,481.0,496.0,5.0,4.0,25.0,2.0
479,P,6771.0,MI,IIB,401.0,333.0,263.0,360.0,489.0,413.0,331.0,442.0,29.0,11.0,6.0,2.0
480,N,9092.0,MI,I,777.0,577.0,460.0,605.0,955.0,731.0,595.0,760.0,850.0,419.0,472.0,9.0
481,P,2334.0,MN,IIB,432.0,356.0,314.0,357.0,559.0,449.0,387.0,450.0,35.0,29.0,58.0,1.0
482,P,2336.0,MN,IIA,490.0,403.0,341.0,419.0,629.0,520.0,443.0,539.0,91.0,40.0,50.0,11.0
483,P,2340.0,MN,IIB,638.0,486.0,394.0,521.0,807.0,604.0,505.0,659.0,68.0,36.0,45.0,4.0
484,P,2341.0,MN,IIB,493.0,404.0,334.0,381.0,595.0,512.0,405.0,468.0,18.0,50.0,47.0,8.0
485,P,2342.0,MN,IIB,428.0,369.0,326.0,356.0,515.0,448.0,385.0,427.0,27.0,53.0,54.0,9.0
486,P,2343.0,MN,IIB,461.0,374.0,327.0,345.0,568.0,466.0,421.0,436.0,14.0,31.0,50.0,18.0
487,N,2345.0,MN,IIA,563.0,429.0,366.0,402.0,702.0,538.0,465.0,508.0,31.0,104.0,146.0,29.0
488,P,2346.0,MN,IIB,527.0,419.0,356.0,413.0,638.0,503.0,426.0,496.0,47.0,38.0,60.0,21.0
489,P,2347.0,MN,IIB,407.0,363.0,319.0,353.0,493.0,443.0,394.0,433.0,14.0,12.0,23.0,1.0
490,P,2353.0,MN,IIB,486.0,402.0,338.0,408.0,625.0,507.0,423.0,518.0,59.0,47.0,44.0,12.0
491,P,2354.0,MN,IIA,556.0,451.0,342.0,461.0,706.0,575.0,424.0,583.0,58.0,29.0,27.0,8.0
492,P,2358.0,MN,IIB,639.0,492.0,406.0,514.0,807.0,622.0,500.0,645.0,46.0,32.0,36.0,7.0
493,N,2360.0,MN,IIA,523.0,441.0,371.0,453.0,662.0,567.0,482.0,580.0,210.0,138.0,125.0,16.0
494,N,2367.0,MN,IIA,512.0,421.0,353.0,419.0,651.0,544.0,461.0,540.0,131.0,65.0,120.0,29.0
495,P,2371.0,MN,IIB,373.0,339.0,313.0,333.0,510.0,454.0,406.0,441.0,13.0,16.0,27.0,1.0
496,P,2375.0,MN,IIB,525.0,417.0,355.0,459.0,686.0,551.0,466.0,602.0,57.0,40.0,19.0,1.0
497,N,2377.0,MN,IIA,518.0,417.0,354.0,441.0,662.0,546.0,464.0,570.0,259.0,143.0,146.0,25.0
498,P,2379.0,MN,IIB,512.0,412.0,353.0,418.0,672.0,523.0,435.0,532.0,37.0,44.0,38.0,6.0
499,P,2380.0,MN,IIA,488.0,396.0,295.0,389.0,595.0,483.0,358.0,473.0,28.0,23.0,27.0,3.0
500,P,2382.0,MN,IIB,551.0,417.0,355.0,446.0,673.0,509.0,430.0,543.0,82.0,93.0,49.0,11.0
501,N,2388.0,MN,IIA,551.0,446.0,386.0,458.0,719.0,591.0,520.0,606.0,90.0,112.0,72.0,11.0
502,P,2389.0,MN,IIB,533.0,399.0,334.0,389.0,697.0,534.0,457.0,522.0,27.0,23.0,45.0,17.0
503,N,2394.0,MN,IIB,515.0,420.0,358.0,430.0,652.0,537.0,454.0,547.0,118.0,73.0,85.0,17.0
504,N,3969.0,MN,I,662.0,468.0,418.0,557.0,842.0,613.0,552.0,719.0,785.0,468.0,271.0,12.0
505,P,9058.0,MN,IIB,430.0,356.0,313.0,375.0,597.0,464.0,404.0,503.0,43.0,48.0,12.0,7.0
506,P,2449.0,MO,IIB,379.0,340.0,295.0,317.0,459.0,404.0,349.0,377.0,10.0,13.0,17.0,12.0
507,P,2453.0,MO,IIB,402.0,336.0,252.0,310.0,478.0,403.0,308.0,374.0,11.0,20.0,22.0,3.0
508,N,2454.0,MO,IIA,517.0,440.0,379.0,429.0,630.0,538.0,467.0,526.0,158.0,103.0,135.0,53.0
509,P,2456.0,MO,IIB,362.0,307.0,273.0,299.0,437.0,375.0,336.0,364.0,10.0,11.0,22.0,3.0
510,P,2460.0,MO,IIB,396.0,348.0,297.0,332.0,463.0,406.0,347.0,388.0,9.0,20.0,22.0,1.0
511,P,2461.0,MO,IIB,448.0,394.0,323.0,375.0,546.0,483.0,400.0,460.0,26.0,23.0,31.0,2.0
512,P,2466.0,MO,IIB,350.0,298.0,302.0,304.0,431.0,370.0,374.0,377.0,12.0,6.0,8.0,14.0
513,P,2473.0,MO,IIB,440.0,,299.0,373.0,535.0,,357.0,450.0,26.0,1.0,13.0,7.0
514,P,2479.0,MO,IIA,414.0,335.0,282.0,308.0,506.0,413.0,350.0,381.0,22.0,22.0,45.0,30.0
515,P,2480.0,MO,IIA,416.0,367.0,306.0,340.0,477.0,422.0,354.0,392.0,15.0,27.0,55.0,0.0
516,P,2482.0,MO,IIA,449.0,355.0,310.0,359.0,548.0,434.0,378.0,442.0,26.0,13.0,27.0,12.0
517,P,2488.0,MO,IIB,489.0,406.0,349.0,389.0,592.0,496.0,430.0,476.0,42.0,50.0,67.0,28.0
518,P,2489.0,MO,IIB,,318.0,285.0,302.0,,379.0,334.0,357.0,4.0,18.0,22.0,3.0
519,P,2490.0,MO,IIB,473.0,393.0,334.0,385.0,580.0,483.0,414.0,474.0,44.0,44.0,64.0,9.0
520,N,2495.0,MO,IIA,505.0,411.0,342.0,385.0,615.0,502.0,422.0,473.0,54.0,103.0,142.0,27.0
521,P,2496.0,MO,IIA,526.0,404.0,348.0,379.0,634.0,490.0,425.0,461.0,48.0,49.0,85.0,36.0
522,P,2498.0,MO,IIB,341.0,320.0,283.0,299.0,407.0,388.0,336.0,356.0,10.0,8.0,24.0,3.0
523,P,2499.0,MO,IIB,448.0,380.0,350.0,369.0,548.0,460.0,422.0,448.0,15.0,31.0,33.0,9.0
524,P,2500.0,MO,IIB,446.0,392.0,350.0,393.0,547.0,483.0,425.0,482.0,27.0,25.0,23.0,4.0
525,N,2501.0,MO,IIA,505.0,432.0,359.0,416.0,612.0,527.0,441.0,508.0,113.0,99.0,106.0,45.0
526,N,2503.0,MO,IIA,516.0,422.0,364.0,417.0,617.0,510.0,441.0,502.0,247.0,151.0,180.0,43.0
527,N,2506.0,MO,I,657.0,475.0,402.0,500.0,783.0,575.0,484.0,600.0,133.0,111.0,120.0,31.0
528,P,2512.0,MO,IIB,,,,282.0,,,,364.0,0.0,0.0,0.0,0.0
529,N,2516.0,MO,I,603.0,456.0,407.0,485.0,729.0,560.0,499.0,592.0,336.0,256.0,244.0,63.0
530,P,2517.0,MO,I,663.0,508.0,454.0,564.0,802.0,626.0,557.0,686.0,114.0,79.0,56.0,4.0
531,N,2518.0,MO,I,580.0,445.0,381.0,473.0,702.0,545.0,467.0,577.0,151.0,167.0,107.0,9.0
532,N,2519.0,MO,I,576.0,460.0,412.0,476.0,699.0,561.0,503.0,579.0,86.0,103.0,110.0,5.0
533,N,2520.0,MO,I,782.0,534.0,451.0,601.0,952.0,652.0,540.0,730.0,264.0,136.0,175.0,18.0
534,P,2521.0,MO,IIA,505.0,435.0,325.0,395.0,623.0,542.0,414.0,495.0,28.0,29.0,55.0,0.0
535,P,2523.0,MO,IIB,451.0,390.0,298.0,381.0,549.0,481.0,361.0,465.0,17.0,17.0,12.0,4.0
536,P,2524.0,MO,IIB,422.0,342.0,306.0,364.0,529.0,458.0,391.0,463.0,42.0,12.0,31.0,3.0
537,P,2525.0,MO,IIB,370.0,303.0,290.0,312.0,476.0,374.0,350.0,390.0,13.0,13.0,13.0,5.0
538,P,7540.0,MO,IIB,,294.0,281.0,265.0,,389.0,360.0,344.0,1.0,7.0,10.0,11.0
539,P,9089.0,MO,IIB,,284.0,248.0,258.0,,366.0,308.0,324.0,4.0,8.0,21.0,5.0
540,P,2396.0,MS,IIB,419.0,371.0,326.0,320.0,534.0,473.0,414.0,406.0,25.0,35.0,35.0,73.0
541,P,2397.0,MS,IIB,364.0,304.0,298.0,314.0,423.0,355.0,348.0,366.0,9.0,8.0,15.0,2.0
542,P,2398.0,MS,IIB,284.0,259.0,,263.0,347.0,315.0,,322.0,6.0,12.0,5.0,2.0
543,P,2403.0,MS,IIA,400.0,337.0,314.0,337.0,487.0,413.0,386.0,413.0,60.0,32.0,47.0,36.0
544,N,2410.0,MS,IIA,425.0,391.0,337.0,362.0,511.0,471.0,407.0,436.0,81.0,79.0,114.0,54.0
545,P,2414.0,MS,IIB,498.0,376.0,322.0,387.0,615.0,478.0,381.0,475.0,25.0,27.0,29.0,4.0
546,P,2422.0,MS,IIA,400.0,,306.0,324.0,492.0,,379.0,400.0,33.0,5.0,44.0,30.0
547,N,2423.0,MS,I,540.0,432.0,389.0,455.0,649.0,521.0,471.0,548.0,278.0,191.0,155.0,40.0
548,P,2424.0,MS,IIB,359.0,331.0,287.0,297.0,456.0,423.0,370.0,382.0,25.0,17.0,38.0,26.0
549,P,2433.0,MS,IIB,341.0,280.0,302.0,285.0,382.0,313.0,337.0,318.0,11.0,8.0,24.0,18.0
550,P,2439.0,MS,IIB,300.0,267.0,244.0,262.0,370.0,327.0,289.0,318.0,17.0,22.0,18.0,9.0
551,N,2440.0,MS,I,558.0,428.0,384.0,440.0,676.0,524.0,471.0,537.0,138.0,111.0,158.0,29.0
552,N,2441.0,MS,I,562.0,438.0,352.0,438.0,664.0,520.0,420.0,520.0,183.0,162.0,160.0,58.0
553,P,2526.0,MT,IIB,394.0,343.0,285.0,326.0,478.0,413.0,344.0,394.0,12.0,23.0,29.0,0.0
554,P,2527.0,MT,IIB,361.0,305.0,258.0,299.0,459.0,367.0,312.0,364.0,10.0,19.0,7.0,7.0
555,P,2530.0,MT,IIA,409.0,358.0,292.0,348.0,500.0,440.0,364.0,430.0,47.0,41.0,48.0,5.0
556,P,2531.0,MT,IIA,481.0,395.0,336.0,420.0,583.0,484.0,416.0,512.0,45.0,17.0,18.0,6.0
557,N,2532.0,MT,I,497.0,397.0,346.0,407.0,602.0,487.0,427.0,498.0,154.0,146.0,144.0,24.0
558,P,2533.0,MT,IIA,403.0,342.0,309.0,332.0,493.0,425.0,384.0,411.0,15.0,19.0,41.0,3.0
559,N,2536.0,MT,I,446.0,365.0,323.0,392.0,537.0,442.0,395.0,474.0,200.0,79.0,95.0,16.0
560,P,2537.0,MT,IIA,388.0,330.0,289.0,313.0,473.0,407.0,359.0,386.0,8.0,12.0,22.0,4.0
561,N,2905.0,NC,IIA,524.0,448.0,409.0,432.0,637.0,547.0,496.0,526.0,68.0,106.0,116.0,15.0
562,N,2906.0,NC,IIA,491.0,413.0,366.0,424.0,598.0,505.0,448.0,518.0,249.0,117.0,113.0,19.0
563,P,2907.0,NC,IIB,533.0,436.0,350.0,417.0,647.0,532.0,430.0,510.0,40.0,41.0,37.0,4.0
564,P,2908.0,NC,IIB,348.0,312.0,299.0,311.0,411.0,372.0,349.0,365.0,18.0,25.0,37.0,3.0
565,P,2909.0,NC,IIB,352.0,312.0,287.0,297.0,412.0,360.0,335.0,347.0,13.0,12.0,14.0,13.0
566,P,2910.0,NC,IIB,348.0,316.0,281.0,309.0,434.0,392.0,350.0,384.0,8.0,21.0,17.0,0.0
567,P,2911.0,NC,IIB,351.0,377.0,300.0,323.0,418.0,437.0,346.0,375.0,9.0,16.0,16.0,11.0
568,P,2914.0,NC,IIB,395.0,326.0,288.0,342.0,490.0,394.0,345.0,418.0,30.0,12.0,23.0,1.0
569,P,2918.0,NC,IIB,626.0,460.0,356.0,506.0,801.0,591.0,440.0,644.0,60.0,34.0,32.0,4.0
570,N,2920.0,NC,I,854.0,584.0,459.0,699.0,1055.0,728.0,553.0,862.0,330.0,149.0,141.0,0.0
571,N,2923.0,NC,IIA,554.0,430.0,377.0,415.0,672.0,525.0,462.0,507.0,189.0,187.0,261.0,11.0
572,P,2926.0,NC,IIB,472.0,415.0,338.0,398.0,580.0,510.0,420.0,489.0,32.0,32.0,16.0,3.0
573,P,2927.0,NC,IIB,459.0,388.0,331.0,372.0,572.0,482.0,401.0,456.0,30.0,38.0,64.0,6.0
574,P,2928.0,NC,IIA,525.0,437.0,375.0,407.0,640.0,536.0,460.0,499.0,27.0,72.0,50.0,4.0
575,P,2929.0,NC,IIB,348.0,305.0,294.0,312.0,414.0,357.0,349.0,371.0,39.0,7.0,26.0,15.0
576,P,2930.0,NC,IIB,377.0,331.0,309.0,333.0,456.0,400.0,367.0,404.0,11.0,21.0,10.0,2.0
577,P,2931.0,NC,IIB,492.0,414.0,338.0,410.0,615.0,505.0,407.0,503.0,32.0,22.0,29.0,5.0
578,P,2933.0,NC,IIB,475.0,397.0,330.0,349.0,591.0,496.0,407.0,435.0,14.0,25.0,35.0,9.0
579,P,2936.0,NC,IIB,408.0,357.0,303.0,327.0,485.0,427.0,367.0,394.0,11.0,27.0,34.0,12.0
580,P,2941.0,NC,IIB,377.0,323.0,295.0,345.0,462.0,410.0,357.0,426.0,47.0,26.0,17.0,1.0
581,P,2942.0,NC,IIB,,257.0,263.0,259.0,,292.0,298.0,294.0,5.0,12.0,22.0,14.0
582,P,2944.0,NC,IIB,356.0,308.0,259.0,309.0,426.0,378.0,309.0,372.0,35.0,16.0,18.0,11.0
583,P,2945.0,NC,IIB,440.0,373.0,328.0,366.0,517.0,442.0,387.0,431.0,26.0,30.0,31.0,16.0
584,P,2946.0,NC,IIB,348.0,309.0,295.0,316.0,416.0,371.0,353.0,379.0,21.0,21.0,19.0,1.0
585,P,2948.0,NC,IIB,,304.0,274.0,299.0,,393.0,355.0,393.0,4.0,12.0,8.0,0.0
586,N,2950.0,NC,IIA,551.0,447.0,373.0,423.0,670.0,547.0,460.0,518.0,56.0,84.0,70.0,9.0
587,P,2951.0,NC,IIB,384.0,317.0,299.0,320.0,478.0,385.0,360.0,389.0,10.0,13.0,20.0,2.0
588,P,2954.0,NC,IIA,538.0,403.0,341.0,413.0,655.0,495.0,421.0,505.0,49.0,32.0,31.0,2.0
589,P,2955.0,NC,IIB,395.0,322.0,269.0,337.0,471.0,381.0,321.0,401.0,23.0,9.0,15.0,2.0
590,P,2957.0,NC,IIB,427.0,360.0,319.0,350.0,511.0,437.0,384.0,422.0,14.0,21.0,20.0,8.0
591,P,2960.0,NC,IIB,378.0,349.0,283.0,324.0,466.0,451.0,349.0,407.0,9.0,15.0,17.0,3.0
592,P,2962.0,NC,IIB,,321.0,293.0,292.0,,383.0,348.0,345.0,5.0,19.0,43.0,25.0
593,N,2972.0,NC,I,665.0,475.0,417.0,505.0,797.0,578.0,508.0,610.0,463.0,345.0,200.0,12.0
594,N,2974.0,NC,I,701.0,512.0,410.0,565.0,837.0,620.0,498.0,678.0,572.0,329.0,212.0,18.0
595,N,2975.0,NC,IIA,568.0,448.0,385.0,441.0,686.0,546.0,470.0,536.0,173.0,189.0,197.0,0.0
596,N,2976.0,NC,I,610.0,443.0,377.0,435.0,735.0,540.0,461.0,529.0,140.0,178.0,135.0,8.0
597,N,2978.0,NC,IIA,685.0,526.0,433.0,557.0,837.0,641.0,508.0,674.0,135.0,86.0,74.0,18.0
598,P,2979.0,NC,IIB,,,,283.0,,,,352.0,0.0,0.0,0.0,0.0
599,N,2981.0,NC,IIA,515.0,439.0,364.0,414.0,627.0,537.0,448.0,506.0,71.0,106.0,93.0,1.0
600,N,2984.0,NC,IIA,533.0,419.0,366.0,421.0,648.0,511.0,449.0,514.0,94.0,105.0,108.0,1.0
601,P,2985.0,NC,IIB,380.0,308.0,301.0,320.0,469.0,385.0,366.0,394.0,23.0,25.0,24.0,7.0
602,P,2986.0,NC,IIB,480.0,421.0,365.0,407.0,587.0,516.0,451.0,500.0,39.0,48.0,30.0,6.0
603,P,2989.0,ND,IIB,402.0,342.0,302.0,316.0,506.0,432.0,376.0,397.0,9.0,14.0,33.0,13.0
604,P,2993.0,ND,IIB,415.0,,313.0,340.0,519.0,,399.0,429.0,9.0,4.0,21.0,3.0
605,P,2994.0,ND,IIA,457.0,383.0,331.0,347.0,563.0,477.0,416.0,436.0,34.0,41.0,68.0,16.0
606,N,3005.0,ND,I,460.0,391.0,345.0,379.0,572.0,489.0,431.0,473.0,130.0,124.0,163.0,27.0
607,P,3008.0,ND,IIB,403.0,368.0,313.0,340.0,501.0,462.0,383.0,425.0,12.0,14.0,16.0,6.0
608,N,9265.0,ND,IIA,473.0,391.0,353.0,398.0,545.0,458.0,420.0,467.0,130.0,125.0,149.0,6.0
609,P,2539.0,NE,IIA,491.0,404.0,329.0,390.0,593.0,500.0,406.0,476.0,33.0,20.0,19.0,19.0
610,P,2540.0,NE,IIB,,321.0,293.0,300.0,,395.0,347.0,362.0,5.0,13.0,19.0,6.0
611,P,2541.0,NE,IIB,352.0,316.0,282.0,320.0,423.0,390.0,357.0,393.0,22.0,16.0,15.0,1.0
612,N,2542.0,NE,IIA,649.0,462.0,351.0,437.0,793.0,562.0,418.0,529.0,66.0,119.0,127.0,22.0
613,P,2543.0,NE,IIB,338.0,300.0,276.0,300.0,404.0,368.0,336.0,364.0,11.0,11.0,11.0,3.0
614,P,2544.0,NE,IIB,436.0,392.0,326.0,360.0,521.0,465.0,391.0,431.0,17.0,7.0,28.0,5.0
615,P,2548.0,NE,IIB,426.0,359.0,305.0,353.0,516.0,434.0,369.0,426.0,19.0,19.0,24.0,4.0
616,N,2551.0,NE,IIA,509.0,433.0,365.0,409.0,618.0,533.0,448.0,502.0,81.0,89.0,92.0,9.0
617,P,2553.0,NE,IIB,372.0,,278.0,301.0,449.0,,346.0,371.0,14.0,4.0,25.0,9.0
618,N,2554.0,NE,IIA,528.0,446.0,417.0,452.0,635.0,540.0,507.0,547.0,149.0,115.0,97.0,36.0
619,P,2555.0,NE,IIB,454.0,381.0,327.0,396.0,548.0,468.0,400.0,481.0,37.0,23.0,25.0,2.0
620,P,2559.0,NE,IIB,483.0,402.0,308.0,367.0,584.0,493.0,385.0,452.0,14.0,8.0,19.0,9.0
621,P,2563.0,NE,IIB,290.0,293.0,272.0,288.0,358.0,359.0,334.0,354.0,18.0,14.0,7.0,1.0
622,N,2565.0,NE,I,661.0,477.0,410.0,523.0,792.0,584.0,505.0,635.0,436.0,344.0,316.0,31.0
623,P,2566.0,NE,IIA,481.0,411.0,324.0,394.0,585.0,501.0,399.0,482.0,46.0,25.0,41.0,13.0
624,P,9743.0,NE,IIB,379.0,340.0,289.0,317.0,449.0,404.0,346.0,378.0,6.0,12.0,23.0,0.0
625,P,9862.0,NE,IIB,,407.0,377.0,368.0,,469.0,434.0,425.0,1.0,6.0,8.0,11.0
626,P,2572.0,NH,IIB,397.0,380.0,277.0,329.0,488.0,468.0,349.0,410.0,9.0,9.0,19.0,1.0
627,N,2573.0,NH,I,785.0,536.0,429.0,610.0,1002.0,686.0,532.0,774.0,163.0,89.0,114.0,5.0
628,P,2575.0,NH,IIB,470.0,382.0,323.0,399.0,605.0,487.0,412.0,510.0,28.0,29.0,17.0,2.0
629,P,2579.0,NH,IIB,423.0,329.0,251.0,327.0,551.0,437.0,313.0,423.0,20.0,20.0,23.0,2.0
630,P,2580.0,NH,IIA,567.0,425.0,356.0,459.0,728.0,558.0,464.0,597.0,31.0,32.0,15.0,5.0
631,P,2584.0,NH,IIB,335.0,299.0,261.0,286.0,393.0,383.0,312.0,349.0,6.0,11.0,13.0,4.0
632,P,2586.0,NH,IIA,449.0,363.0,331.0,365.0,541.0,419.0,392.0,429.0,12.0,29.0,18.0,7.0
633,P,2587.0,NH,IIB,512.0,403.0,338.0,381.0,633.0,508.0,435.0,483.0,16.0,35.0,51.0,7.0
634,N,2589.0,NH,I,587.0,454.0,375.0,482.0,729.0,575.0,483.0,607.0,196.0,253.0,127.0,0.0
635,P,2590.0,NH,IIB,494.0,417.0,337.0,426.0,622.0,532.0,439.0,542.0,61.0,46.0,40.0,2.0
636,P,2591.0,NH,IIB,518.0,405.0,354.0,431.0,650.0,518.0,458.0,548.0,59.0,55.0,38.0,6.0
637,P,2597.0,NJ,IIB,476.0,434.0,354.0,406.0,602.0,547.0,443.0,510.0,12.0,13.0,17.0,4.0
638,P,2599.0,NJ,IIB,,305.0,252.0,266.0,,371.0,310.0,326.0,1.0,10.0,16.0,9.0
639,P,2600.0,NJ,IIB,426.0,388.0,322.0,365.0,490.0,437.0,384.0,420.0,9.0,19.0,16.0,3.0
640,P,2603.0,NJ,IIA,603.0,463.0,386.0,529.0,762.0,580.0,479.0,664.0,61.0,28.0,15.0,4.0
641,P,2608.0,NJ,IIB,490.0,425.0,373.0,403.0,592.0,509.0,450.0,487.0,19.0,13.0,30.0,8.0
642,P,2610.0,NJ,IIB,,351.0,311.0,320.0,,422.0,375.0,385.0,1.0,14.0,24.0,5.0
643,P,2613.0,NJ,IIB,649.0,525.0,405.0,520.0,840.0,697.0,558.0,692.0,80.0,66.0,90.0,1.0
644,P,2616.0,NJ,IIA,616.0,509.0,408.0,519.0,783.0,668.0,523.0,669.0,41.0,55.0,29.0,1.0
645,N,2617.0,NJ,IIA,647.0,521.0,417.0,532.0,802.0,661.0,541.0,672.0,155.0,130.0,125.0,9.0
646,N,2621.0,NJ,IIA,771.0,606.0,501.0,615.0,976.0,790.0,670.0,799.0,104.0,98.0,71.0,0.0
647,N,2622.0,NJ,IIA,640.0,516.0,423.0,525.0,833.0,691.0,582.0,700.0,115.0,107.0,115.0,3.0
648,N,2625.0,NJ,IIB,653.0,519.0,409.0,535.0,859.0,687.0,541.0,707.0,120.0,97.0,88.0,7.0
649,N,2627.0,NJ,I,963.0,564.0,437.0,749.0,1154.0,686.0,534.0,901.0,402.0,66.0,179.0,16.0
650,P,2628.0,NJ,IIA,636.0,552.0,511.0,564.0,764.0,668.0,604.0,677.0,59.0,103.0,41.0,1.0
651,N,2631.0,NJ,IIA,893.0,640.0,526.0,693.0,1097.0,812.0,682.0,871.0,141.0,125.0,73.0,16.0
