,binaryClass_cat,year_num,month_num,day_num,RPT_num,VAL_num,ROS_num,KIL_num,SHA_num,BIR_num,DUB_num,CLA_num,MUL_num,CLO_num,BEL_num
3862,P,71.0,7.0,30.0,7.38,8.87,6.71,5.0,9.92,3.17,5.58,5.88,6.04,5.0,8.08
3863,P,71.0,7.0,31.0,12.38,7.58,10.54,4.67,9.67,5.5,7.96,6.0,7.12,3.17,7.67
3864,P,71.0,8.0,1.0,7.71,6.0,9.54,2.75,8.75,5.09,6.25,2.21,5.71,3.88,5.25
3865,P,71.0,8.0,2.0,7.25,6.71,8.46,5.58,8.87,5.37,7.67,3.25,5.75,3.63,6.71
3866,P,71.0,8.0,3.0,11.87,5.54,11.34,5.66,9.46,7.67,9.59,7.62,7.58,6.54,8.21
3867,P,71.0,8.0,4.0,9.92,7.75,11.92,4.71,7.08,3.63,6.92,4.08,5.63,2.75,4.83
3868,P,71.0,8.0,5.0,5.21,5.29,8.79,2.42,5.91,4.25,5.37,4.58,5.75,3.83,10.17
3869,N,71.0,8.0,6.0,11.92,6.71,7.04,5.33,9.62,5.63,7.67,7.58,8.96,7.58,12.25
3870,P,71.0,8.0,7.0,8.33,6.21,9.46,3.67,8.25,4.12,7.67,4.79,6.13,4.21,9.59
3871,P,71.0,8.0,8.0,9.25,7.21,9.92,4.71,13.5,7.12,12.25,7.17,10.25,6.46,12.58
3872,P,71.0,8.0,9.0,7.41,5.41,6.5,3.71,7.54,3.46,8.17,4.88,7.0,5.17,10.21
3873,P,71.0,8.0,10.0,15.83,8.33,12.58,7.83,10.88,4.0,7.58,4.12,7.58,4.92,8.21
3874,P,71.0,8.0,11.0,8.46,6.92,7.92,3.37,7.71,2.46,6.17,3.33,5.66,1.67,6.87
3875,P,71.0,8.0,12.0,11.08,7.0,9.04,3.37,9.59,3.92,6.29,7.21,7.29,5.21,7.33
3876,N,71.0,8.0,13.0,6.92,3.71,6.58,3.5,7.08,3.54,5.79,5.41,6.25,6.0,10.83
3877,N,71.0,8.0,14.0,12.04,9.08,15.59,6.79,10.92,8.08,13.08,11.38,11.08,12.92,19.41
3878,P,71.0,8.0,15.0,6.38,6.08,8.92,4.12,7.38,1.63,5.63,4.88,6.5,8.21,9.29
3879,P,71.0,8.0,16.0,5.29,2.92,6.13,1.46,4.38,0.46,4.5,1.33,2.0,1.42,3.96
3880,P,71.0,8.0,17.0,11.29,3.17,17.37,3.21,6.21,3.42,4.21,3.88,3.79,1.67,6.75
3881,P,71.0,8.0,18.0,9.92,7.29,19.92,5.71,7.41,6.21,9.42,4.33,7.46,3.79,9.13
3882,P,71.0,8.0,19.0,7.33,5.04,16.96,4.75,7.79,3.21,5.96,2.92,4.83,1.5,5.29
3883,P,71.0,8.0,20.0,13.5,2.46,6.67,5.5,7.17,3.83,7.08,2.67,4.58,3.88,5.88
3884,P,71.0,8.0,21.0,5.17,3.71,5.0,2.92,2.5,1.17,4.71,2.04,1.38,0.79,10.79
3885,P,71.0,8.0,22.0,9.67,12.79,9.46,3.83,7.75,3.25,5.41,7.71,4.46,3.58,13.88
3886,P,71.0,8.0,23.0,9.87,7.25,8.67,3.54,9.21,3.75,3.5,7.38,6.79,5.33,11.58
3887,P,71.0,8.0,24.0,4.21,0.83,7.17,1.79,3.46,0.21,1.46,0.08,1.92,0.13,1.63
3888,P,71.0,8.0,25.0,3.79,3.92,6.29,3.0,5.04,3.04,2.79,5.25,4.54,5.88,12.79
3889,N,71.0,8.0,26.0,9.42,9.62,8.0,4.12,11.46,6.54,6.46,8.83,8.12,8.46,13.0
3890,N,71.0,8.0,27.0,14.21,10.46,11.96,6.17,13.62,8.42,11.29,8.21,11.04,9.83,16.33
3891,N,71.0,8.0,28.0,18.29,13.92,15.75,6.96,12.79,7.08,10.79,5.71,9.54,5.83,11.71
3892,P,71.0,8.0,29.0,14.62,10.96,11.63,7.67,14.46,8.79,11.04,6.21,10.67,6.0,13.17
3893,N,71.0,8.0,30.0,12.0,10.5,9.13,5.41,15.16,8.04,11.58,8.12,11.08,8.25,13.75
3894,N,71.0,8.0,31.0,15.12,13.96,13.33,7.21,17.37,11.34,14.67,12.12,13.54,13.25,21.34
3895,N,71.0,9.0,1.0,11.08,8.54,10.08,7.17,13.7,11.5,13.25,10.29,12.75,12.83,17.33
3896,N,71.0,9.0,2.0,12.75,9.54,13.88,5.58,11.75,8.92,12.04,9.33,9.92,8.5,14.79
3897,P,71.0,9.0,3.0,6.38,1.46,8.67,3.04,1.83,2.25,2.83,1.38,1.25,2.83,9.62
3898,P,71.0,9.0,4.0,2.5,3.79,3.63,1.71,2.29,0.92,4.63,1.33,3.13,3.54,6.46
3899,P,71.0,9.0,5.0,10.08,6.71,5.09,3.37,10.17,6.21,5.04,4.12,3.92,3.21,6.63
3900,P,71.0,9.0,6.0,11.67,11.21,6.34,5.25,10.29,8.92,6.83,4.92,6.29,5.33,7.17
3901,P,71.0,9.0,7.0,10.08,8.29,7.0,4.79,9.42,6.87,6.71,5.25,6.83,6.0,6.83
3902,P,71.0,9.0,8.0,11.04,8.04,8.67,4.5,10.63,6.58,5.46,6.42,7.58,7.71,6.67
3903,N,71.0,9.0,9.0,12.67,7.62,10.46,5.41,11.0,11.12,6.08,9.42,10.67,11.34,11.25
3904,N,71.0,9.0,10.0,9.79,10.25,8.54,4.88,12.17,9.71,8.96,9.67,10.13,11.83,13.37
3905,N,71.0,9.0,11.0,10.46,6.5,10.17,5.17,10.54,8.21,8.21,6.71,8.92,8.17,9.62
3906,P,71.0,9.0,12.0,5.33,1.83,4.54,0.87,3.71,0.92,1.67,0.83,0.33,2.04,1.63
3907,P,71.0,9.0,13.0,1.79,7.12,4.92,1.13,5.29,2.79,2.54,1.5,2.5,1.25,10.13
3908,P,71.0,9.0,14.0,3.21,5.63,3.29,0.87,3.17,2.0,4.25,1.67,1.58,0.79,10.5
3909,P,71.0,9.0,15.0,3.46,3.79,3.88,0.96,1.46,1.46,3.92,0.67,0.92,0.29,6.17
3910,P,71.0,9.0,16.0,5.54,7.75,6.0,2.33,8.46,5.46,3.67,2.71,3.0,2.5,12.12
3911,P,71.0,9.0,17.0,12.25,9.0,8.17,5.21,11.08,7.29,7.33,4.54,5.75,5.63,13.21
3912,P,71.0,9.0,18.0,3.46,2.75,2.96,1.54,4.54,1.92,1.58,1.83,0.83,1.13,4.21
3913,P,71.0,9.0,19.0,8.5,2.37,5.09,2.25,6.0,4.04,6.96,3.33,4.38,3.13,7.41
3914,P,71.0,9.0,20.0,6.42,2.42,3.42,2.08,6.13,3.5,5.13,2.92,6.21,3.92,8.92
3915,P,71.0,9.0,21.0,2.46,1.87,2.37,1.04,3.42,2.33,2.83,2.96,3.46,2.83,7.67
3916,P,71.0,9.0,22.0,4.79,1.5,12.38,1.33,2.67,1.08,2.0,1.08,0.67,0.37,4.29
3917,P,71.0,9.0,23.0,4.92,5.04,4.46,1.04,3.92,2.04,6.0,4.21,4.63,4.58,10.75
3918,P,71.0,9.0,24.0,10.75,2.17,18.41,2.79,7.29,6.92,6.17,4.83,6.38,2.71,8.46
3919,P,71.0,9.0,25.0,9.83,6.83,8.0,4.21,9.33,4.88,6.54,5.0,5.71,4.67,10.13
3920,P,71.0,9.0,26.0,16.29,17.16,11.54,7.79,16.66,10.13,8.71,8.38,8.42,7.21,12.54
3921,P,71.0,9.0,27.0,10.54,3.58,9.0,4.92,8.21,5.04,8.38,3.04,6.08,3.75,4.42
3922,P,71.0,9.0,28.0,7.12,6.5,6.5,2.13,5.46,4.92,4.17,4.58,3.71,3.58,12.67
3923,P,71.0,9.0,29.0,15.5,13.08,14.46,6.38,9.71,8.12,10.79,4.54,8.5,6.29,8.25
3924,N,71.0,9.0,30.0,10.29,13.04,9.21,4.38,10.0,7.83,7.41,5.66,7.12,4.5,13.75
3925,N,71.0,10.0,1.0,11.08,11.54,11.38,8.17,9.38,7.29,5.71,7.46,7.96,8.54,14.58
3926,P,71.0,10.0,2.0,10.04,6.96,5.5,3.58,8.46,5.75,4.79,3.79,4.25,3.08,7.17
3927,P,71.0,10.0,3.0,10.0,3.13,6.83,2.67,6.0,2.67,2.92,1.04,3.08,2.71,2.21
3928,P,71.0,10.0,4.0,6.08,10.67,4.63,2.67,7.62,5.54,5.17,3.71,5.5,5.33,8.63
3929,N,71.0,10.0,5.0,13.88,13.42,12.46,7.75,13.42,12.08,7.04,8.33,10.5,10.25,14.17
3930,N,71.0,10.0,6.0,12.75,10.83,10.92,7.0,11.63,10.17,10.79,10.58,10.71,12.87,22.17
3931,P,71.0,10.0,7.0,7.46,6.92,8.75,3.58,8.0,6.5,8.67,10.08,8.58,11.25,15.0
3932,P,71.0,10.0,8.0,4.29,6.29,6.0,3.21,8.87,6.54,9.75,7.38,7.87,8.75,7.41
3933,N,71.0,10.0,9.0,5.13,6.0,6.08,2.75,9.59,5.91,9.92,5.96,8.17,7.38,14.42
3934,N,71.0,10.0,10.0,17.46,16.62,15.79,8.83,16.75,13.21,16.92,13.75,14.46,15.34,20.25
3935,N,71.0,10.0,11.0,9.46,6.25,9.67,4.17,10.08,6.87,8.33,4.83,8.25,5.96,14.96
3936,N,71.0,10.0,12.0,8.25,7.67,14.71,3.79,6.96,4.5,7.33,5.09,6.58,5.88,10.96
3937,P,71.0,10.0,13.0,13.59,11.87,20.67,4.58,9.21,6.87,12.46,6.0,8.29,7.0,5.66
3938,N,71.0,10.0,14.0,13.29,10.08,12.04,4.79,9.92,6.58,6.38,7.71,7.71,9.25,15.87
3939,N,71.0,10.0,15.0,19.41,12.21,18.46,8.42,14.33,10.88,11.92,9.71,11.75,13.79,20.58
3940,P,71.0,10.0,16.0,10.08,9.46,10.54,3.25,8.79,6.42,6.42,5.5,7.17,7.58,12.54
3941,N,71.0,10.0,17.0,22.42,19.92,18.16,11.21,19.41,14.79,17.0,12.96,15.63,14.25,21.34
3942,N,71.0,10.0,18.0,22.46,19.21,19.0,8.54,18.21,12.29,16.62,12.21,12.87,12.58,23.29
3943,N,71.0,10.0,19.0,17.04,17.83,14.88,9.87,17.96,11.79,17.08,10.67,13.33,13.37,21.87
3944,N,71.0,10.0,20.0,14.5,11.38,10.75,4.83,12.33,8.54,14.21,4.88,9.54,10.17,15.67
3945,N,71.0,10.0,21.0,26.2,20.54,21.67,12.0,17.54,14.92,16.79,18.16,14.79,19.12,32.63
3946,N,71.0,10.0,22.0,13.25,14.42,17.71,9.08,10.96,9.59,14.46,12.25,13.88,14.92,26.25
3947,N,71.0,10.0,23.0,12.38,12.96,11.29,6.42,8.58,7.92,6.71,6.21,7.12,8.29,15.21
3948,P,71.0,10.0,24.0,13.0,6.21,12.38,4.88,8.29,7.0,8.04,4.04,7.25,6.34,6.17
3949,P,71.0,10.0,25.0,10.21,10.0,10.63,2.08,8.33,5.79,7.12,4.63,6.63,3.88,8.75
3950,N,71.0,10.0,26.0,12.21,11.25,12.92,5.04,11.96,9.04,10.46,8.25,7.62,7.5,12.96
3951,P,71.0,10.0,27.0,14.37,13.0,13.7,4.58,13.25,8.75,10.67,8.0,7.92,8.58,16.08
3952,N,71.0,10.0,28.0,16.29,13.33,18.21,8.29,13.92,13.0,13.75,10.79,11.12,11.63,16.08
3953,N,71.0,10.0,29.0,9.75,8.17,7.38,3.75,10.92,7.71,7.92,8.38,8.08,10.5,20.71
3954,N,71.0,10.0,30.0,15.75,8.29,14.09,6.42,10.96,9.54,10.71,10.29,9.96,11.54,21.37
3955,N,71.0,10.0,31.0,8.63,7.87,9.29,2.92,8.83,7.0,6.21,8.21,6.21,9.08,19.17
3956,N,71.0,11.0,1.0,14.21,10.92,13.5,6.08,9.75,10.67,9.79,10.08,9.13,12.33,20.62
3957,N,71.0,11.0,2.0,17.0,12.21,18.08,10.46,10.37,10.25,14.96,10.83,10.96,12.46,18.0
3958,N,71.0,11.0,3.0,14.04,12.38,14.71,6.34,9.92,8.08,9.0,11.54,7.83,10.37,22.42
3959,P,71.0,11.0,4.0,18.71,15.16,17.08,9.17,14.37,12.42,15.12,14.25,12.29,16.13,10.71
3960,N,71.0,11.0,5.0,16.04,9.92,12.42,6.67,10.21,7.75,11.96,5.33,12.38,7.46,13.29
3961,N,71.0,11.0,6.0,15.83,12.17,12.46,6.75,11.29,7.46,9.54,7.25,9.83,10.25,15.54
3962,N,71.0,11.0,7.0,14.33,12.83,12.17,5.96,14.79,10.79,13.92,10.17,13.59,11.5,19.41
3963,N,71.0,11.0,8.0,23.96,18.25,16.71,10.83,15.16,10.08,15.12,11.25,15.5,15.12,24.3
3964,N,71.0,11.0,9.0,17.62,11.87,20.0,6.71,9.17,6.58,10.21,4.71,7.62,7.0,14.09
3965,P,71.0,11.0,10.0,7.75,2.92,10.5,1.42,4.92,1.87,6.21,1.63,4.67,3.25,8.33
3966,P,71.0,11.0,11.0,4.25,4.42,7.17,0.92,4.79,0.96,2.88,0.87,1.79,1.29,5.71
3967,N,71.0,11.0,12.0,5.37,4.88,7.0,3.33,8.92,5.33,9.08,5.13,8.12,6.5,12.25
3968,N,71.0,11.0,13.0,13.88,12.25,11.5,7.12,10.37,8.54,10.0,6.71,9.87,9.96,15.96
3969,N,71.0,11.0,14.0,9.29,5.46,9.33,3.17,6.83,3.54,7.58,4.21,6.21,6.42,9.38
3970,N,71.0,11.0,15.0,7.54,8.17,6.46,4.58,11.29,7.75,14.37,7.0,12.46,10.67,18.54
3971,N,71.0,11.0,16.0,11.21,9.96,10.41,8.04,12.54,8.75,14.37,7.08,13.37,9.87,12.29
3972,N,71.0,11.0,17.0,11.34,12.17,9.33,7.17,14.17,8.67,12.17,7.92,11.17,8.71,12.71
3973,N,71.0,11.0,18.0,16.92,11.17,15.96,9.87,14.0,9.62,11.63,7.21,9.59,8.83,13.42
3974,N,71.0,11.0,19.0,12.75,6.13,15.59,6.13,7.04,5.09,11.34,3.42,7.96,7.87,10.63
3975,N,71.0,11.0,20.0,18.75,18.91,15.34,9.87,19.67,12.96,13.13,12.21,13.33,9.04,20.67
3976,N,71.0,11.0,21.0,23.58,20.62,21.5,15.63,18.84,14.5,20.33,12.96,16.54,16.92,24.58
3977,N,71.0,11.0,22.0,18.21,16.17,16.83,9.71,12.67,9.59,12.38,8.5,11.54,8.0,18.96
3978,N,71.0,11.0,23.0,20.54,19.04,16.62,9.96,15.09,9.59,12.5,10.41,12.29,10.54,17.37
3979,P,71.0,11.0,24.0,6.0,1.21,8.63,2.21,3.04,1.29,7.08,1.33,4.04,2.33,5.63
3980,P,71.0,11.0,25.0,5.91,4.17,6.87,2.71,8.42,5.79,12.42,3.54,8.83,6.25,10.46
3981,N,71.0,11.0,26.0,7.92,6.58,5.5,3.71,9.54,5.96,9.21,6.96,9.38,7.71,16.33
3982,N,71.0,11.0,27.0,11.63,10.13,8.83,4.5,9.38,7.46,9.62,5.71,8.92,8.33,13.46
3983,P,71.0,11.0,28.0,7.5,8.67,5.83,1.29,7.17,4.67,9.04,2.17,6.46,5.13,10.75
3984,N,71.0,11.0,29.0,11.67,10.79,12.04,3.21,11.79,8.0,7.83,7.62,7.67,10.0,19.75
3985,P,71.0,11.0,30.0,16.29,16.08,8.33,4.0,11.34,5.79,9.08,5.83,8.08,4.21,18.79
3986,P,71.0,12.0,1.0,13.04,10.37,9.0,3.42,8.25,5.5,8.54,3.0,7.04,4.54,10.71
3987,P,71.0,12.0,2.0,12.5,10.29,12.96,3.46,6.17,1.96,5.13,1.46,3.58,2.17,6.04
3988,N,71.0,12.0,3.0,3.33,7.92,6.34,0.37,5.58,4.67,7.41,5.41,5.0,4.92,14.33
3989,N,71.0,12.0,4.0,4.08,6.67,7.12,2.08,5.09,5.25,9.67,4.54,6.58,7.0,13.04
3990,N,71.0,12.0,5.0,11.5,6.79,6.08,2.46,8.58,4.08,4.96,7.04,4.33,7.62,16.75
3991,N,71.0,12.0,6.0,5.29,4.04,4.46,1.04,4.67,2.79,5.96,3.75,3.75,5.75,10.63
3992,N,71.0,12.0,7.0,5.46,0.42,5.09,0.5,1.63,0.46,8.33,0.04,2.17,4.08,7.54
3993,N,71.0,12.0,8.0,4.67,0.67,5.75,0.33,2.13,1.71,8.42,1.21,4.17,4.17,10.83
3994,N,71.0,12.0,9.0,6.96,3.75,6.17,4.67,7.58,5.41,11.12,7.08,9.71,9.71,13.88
3995,N,71.0,12.0,10.0,7.96,6.21,7.04,5.25,8.87,6.75,11.58,7.12,11.54,9.08,15.87
3996,N,71.0,12.0,11.0,9.13,7.71,6.67,3.37,8.17,7.17,12.29,5.63,8.79,10.75,15.29
3997,N,71.0,12.0,12.0,16.33,12.75,13.67,6.13,10.25,9.42,10.88,10.34,9.29,12.25,21.75
3998,N,71.0,12.0,13.0,15.79,10.83,13.92,6.29,10.83,8.38,12.08,6.58,9.75,10.67,15.12
3999,N,71.0,12.0,14.0,20.38,18.58,19.12,11.25,17.58,14.0,17.04,15.0,14.62,18.54,26.34
4000,N,71.0,12.0,15.0,19.0,15.83,16.29,8.17,13.5,12.29,15.37,15.63,13.33,15.96,26.67
4001,N,71.0,12.0,16.0,17.0,16.96,14.46,7.12,11.83,11.17,12.29,10.75,10.79,12.75,20.96
4002,N,71.0,12.0,17.0,18.12,16.21,14.54,8.75,12.62,9.96,9.17,11.75,11.54,14.96,26.5
4003,N,71.0,12.0,18.0,26.5,20.25,20.0,15.09,17.58,14.21,14.62,14.21,16.29,17.29,28.04
4004,N,71.0,12.0,19.0,25.0,23.54,19.7,14.58,23.91,16.71,19.33,16.96,17.08,17.46,29.2
4005,N,71.0,12.0,20.0,21.84,21.17,20.08,10.63,20.38,16.46,21.92,17.54,18.71,18.5,28.16
4006,N,71.0,12.0,21.0,10.46,8.08,10.34,6.5,11.42,8.42,15.41,11.08,13.92,13.25,23.13
4007,P,71.0,12.0,22.0,7.58,5.09,10.83,3.04,4.21,1.38,3.96,0.54,1.87,1.58,7.46
4008,N,71.0,12.0,23.0,8.12,8.08,10.13,3.0,9.33,7.41,13.13,8.46,8.87,9.38,22.88
4009,N,71.0,12.0,24.0,18.46,15.25,16.38,7.83,12.29,11.96,16.42,14.92,13.62,15.67,27.84
4010,N,71.0,12.0,25.0,22.08,15.96,15.04,10.08,14.96,12.46,11.79,11.67,12.0,14.75,15.79
4011,P,71.0,12.0,26.0,15.12,12.75,17.04,7.79,11.17,8.21,11.04,9.25,8.83,7.08,12.04
4012,N,71.0,12.0,27.0,8.75,6.13,9.04,3.13,7.0,7.41,13.13,12.96,11.12,10.88,19.25
4013,P,71.0,12.0,28.0,13.25,9.67,19.12,7.5,11.34,7.33,13.25,9.21,9.46,7.75,9.04
4014,N,71.0,12.0,29.0,12.42,10.0,24.25,7.46,10.25,6.0,14.58,6.67,9.21,8.63,5.66
4015,N,71.0,12.0,30.0,13.04,6.34,27.67,8.42,11.54,4.12,16.21,6.71,10.46,7.29,6.67
4016,N,71.0,12.0,31.0,14.88,10.5,26.08,8.46,13.5,10.04,21.04,10.25,13.54,11.34,12.12
4017,N,72.0,1.0,1.0,9.29,3.63,14.54,4.25,6.75,4.42,13.0,5.33,10.04,8.54,8.71
4018,P,72.0,1.0,2.0,8.96,1.46,12.0,4.5,3.21,0.83,6.04,0.67,3.79,0.79,1.75
4019,P,72.0,1.0,3.0,6.83,0.67,9.25,2.29,2.46,0.17,3.88,0.21,2.88,1.25,2.21
4020,P,72.0,1.0,4.0,8.46,0.87,5.41,2.04,4.79,0.29,2.62,0.92,1.63,1.96,4.38
4021,P,72.0,1.0,5.0,10.88,9.17,5.88,0.87,2.04,0.13,2.75,1.38,1.08,1.13,4.83
4022,P,72.0,1.0,6.0,17.0,13.92,13.54,4.46,12.29,10.25,7.62,7.75,7.87,6.17,9.79
4023,N,72.0,1.0,7.0,13.92,12.0,19.12,8.0,12.5,12.08,16.46,11.63,11.12,13.42,14.67
4024,N,72.0,1.0,8.0,14.46,10.29,16.17,8.79,12.58,11.29,17.0,9.21,13.29,15.59,11.34
4025,P,72.0,1.0,9.0,11.0,7.41,8.5,3.04,7.54,4.29,5.25,3.37,5.79,4.21,5.0
4026,N,72.0,1.0,10.0,20.88,18.34,18.12,10.17,14.04,10.08,14.04,9.29,12.17,13.62,17.83
4027,N,72.0,1.0,11.0,13.29,12.17,13.29,4.96,8.83,6.67,11.34,6.08,8.17,9.38,16.04
4028,N,72.0,1.0,12.0,19.83,14.42,18.16,7.58,13.42,10.25,11.87,9.38,11.38,13.59,18.08
4029,P,72.0,1.0,13.0,8.63,4.58,9.29,2.17,4.08,1.87,4.12,0.75,3.46,2.71,4.5
4030,N,72.0,1.0,14.0,23.96,20.62,19.5,9.17,18.05,12.5,16.08,10.54,13.08,13.21,15.04
4031,N,72.0,1.0,15.0,9.17,10.71,15.16,6.34,10.37,7.54,15.34,7.58,10.21,10.46,11.0
4032,N,72.0,1.0,16.0,23.67,20.62,20.17,8.79,16.83,12.75,16.58,12.5,12.33,12.71,15.16
4033,N,72.0,1.0,17.0,14.5,18.71,10.25,5.91,18.41,12.75,12.38,12.87,13.25,11.25,13.96
4034,N,72.0,1.0,18.0,20.25,15.96,15.75,7.79,14.17,10.37,12.33,9.25,12.17,12.5,19.5
4035,N,72.0,1.0,19.0,10.34,10.88,6.96,4.46,10.04,5.46,11.25,3.96,9.0,7.33,12.21
4036,N,72.0,1.0,20.0,7.54,10.37,6.38,3.67,8.87,5.83,10.41,4.29,7.92,5.96,12.67
4037,N,72.0,1.0,21.0,7.21,7.29,7.12,1.46,7.71,4.75,10.41,3.54,6.75,6.13,10.83
4038,P,72.0,1.0,22.0,12.79,13.42,11.42,4.92,10.0,8.75,13.7,8.08,10.71,10.54,12.58
4039,N,72.0,1.0,23.0,20.41,17.0,18.46,8.92,13.92,11.29,13.0,12.08,12.46,14.5,22.29
4040,N,72.0,1.0,24.0,13.0,16.13,10.63,5.5,12.04,6.34,14.0,5.13,9.42,9.33,15.09
4041,N,72.0,1.0,25.0,13.17,14.46,10.79,4.46,11.67,7.71,9.13,6.87,9.04,8.04,14.67
4042,N,72.0,1.0,26.0,22.71,19.12,15.71,10.21,17.62,9.87,12.87,8.75,12.71,8.71,17.54
4043,N,72.0,1.0,27.0,26.42,14.83,22.13,15.21,15.0,12.29,18.05,10.71,16.62,19.55,19.25
4044,P,72.0,1.0,28.0,11.29,7.25,23.29,7.0,8.42,3.13,14.04,3.37,8.38,6.79,7.25
4045,P,72.0,1.0,29.0,12.29,8.58,19.29,6.38,8.83,5.0,14.92,4.63,9.17,6.58,8.63
4046,P,72.0,1.0,30.0,11.25,10.13,10.34,2.37,8.08,2.58,6.92,4.29,5.0,4.38,10.08
4047,N,72.0,1.0,31.0,22.5,22.29,19.08,8.0,20.96,14.5,12.5,14.33,11.5,10.25,20.41
4048,N,72.0,2.0,1.0,12.87,11.0,15.83,6.79,9.04,9.04,17.29,6.83,10.41,13.5,11.63
4049,N,72.0,2.0,2.0,33.84,26.38,28.16,18.41,24.25,22.5,25.04,20.79,19.92,20.96,24.21
4050,N,72.0,2.0,3.0,19.55,17.46,11.34,7.17,15.29,10.71,9.08,13.54,11.12,14.42,23.75
4051,P,72.0,2.0,4.0,13.04,9.67,12.79,3.58,8.08,6.25,6.04,4.54,6.5,4.96,10.17
4052,N,72.0,2.0,5.0,6.13,6.96,10.04,4.04,8.25,4.63,10.46,5.96,7.79,6.87,9.75
4053,P,72.0,2.0,6.0,2.79,2.29,3.21,0.96,3.21,0.0,1.92,0.21,0.87,0.5,2.08
4054,P,72.0,2.0,7.0,5.09,5.66,7.08,0.5,5.13,2.5,3.33,0.46,2.37,0.67,5.09
4055,P,72.0,2.0,8.0,14.21,13.75,12.08,5.63,12.83,8.08,8.38,6.87,8.17,6.83,12.38
4056,N,72.0,2.0,9.0,10.71,8.75,9.13,3.5,9.87,6.79,7.83,7.5,7.92,11.34,17.88
4057,N,72.0,2.0,10.0,17.12,11.25,13.17,7.17,12.92,9.59,10.21,6.29,10.88,10.46,16.71
4058,N,72.0,2.0,11.0,18.96,14.12,15.0,7.41,12.92,8.83,11.46,6.92,9.83,10.46,12.67
4059,N,72.0,2.0,12.0,16.33,14.21,10.71,7.54,15.0,7.83,13.67,7.58,10.21,8.96,15.29
4060,N,72.0,2.0,13.0,15.12,10.08,8.92,5.96,11.54,6.96,12.58,8.75,11.63,8.83,17.79
4061,P,72.0,2.0,14.0,12.46,10.79,9.17,4.21,10.92,6.87,9.21,5.54,7.54,6.63,10.13
4062,N,72.0,2.0,15.0,20.21,15.34,16.92,9.54,11.83,8.0,13.96,8.54,10.37,11.5,16.79
4063,N,72.0,2.0,16.0,24.37,23.79,16.42,11.54,20.62,13.08,17.12,18.91,14.42,20.91,32.08
4064,N,72.0,2.0,17.0,17.08,13.04,18.29,10.46,12.79,9.38,14.17,10.13,10.75,13.0,15.29
4065,P,72.0,2.0,18.0,9.17,5.0,22.0,6.63,7.58,4.58,12.96,3.08,7.25,6.08,5.0
4066,P,72.0,2.0,19.0,6.58,5.25,7.38,1.5,7.0,0.58,4.33,3.92,3.83,4.12,9.13
4067,P,72.0,2.0,20.0,10.17,9.83,6.21,2.5,10.37,6.25,4.12,6.58,4.96,4.83,12.04
4068,P,72.0,2.0,21.0,6.17,1.38,7.62,2.67,3.79,0.75,4.58,1.0,2.37,0.96,2.33
4069,P,72.0,2.0,22.0,9.29,3.21,16.29,5.58,5.41,1.25,7.5,0.58,4.25,2.04,3.13
4070,P,72.0,2.0,23.0,15.29,8.67,17.54,5.83,8.87,7.87,14.12,8.21,11.34,7.33,8.63
4071,N,72.0,2.0,24.0,17.16,12.17,17.12,8.58,11.58,9.0,14.42,10.46,12.71,10.79,12.87
4072,N,72.0,2.0,25.0,7.79,6.87,10.54,4.88,9.04,6.63,7.5,6.29,8.25,6.96,9.46
4073,P,72.0,2.0,26.0,11.17,11.25,10.58,5.46,9.96,6.92,8.29,7.17,7.29,8.33,11.42
4074,N,72.0,2.0,27.0,25.62,14.12,16.92,12.29,16.17,12.58,11.83,10.54,13.62,15.54,16.66
4075,P,72.0,2.0,28.0,12.92,6.21,12.92,6.29,7.71,3.04,8.04,3.92,5.66,6.29,13.42
4076,N,72.0,2.0,29.0,16.13,15.12,12.46,7.46,14.67,9.62,8.58,10.92,10.37,12.71,22.83
4077,P,72.0,3.0,1.0,6.21,7.5,6.67,1.96,7.46,3.13,7.38,1.67,4.21,2.37,7.83
4078,N,72.0,3.0,2.0,20.17,13.62,16.92,7.38,12.62,8.12,10.88,6.96,9.87,10.92,13.88
4079,N,72.0,3.0,3.0,26.3,22.29,19.04,14.17,21.96,15.71,18.12,15.79,17.96,19.04,23.33
4080,N,72.0,3.0,4.0,12.79,10.67,12.25,7.46,14.58,9.04,11.42,5.88,10.96,12.33,13.5
4081,N,72.0,3.0,5.0,16.5,12.71,10.63,6.25,11.54,6.79,8.87,6.75,8.04,8.42,15.09
4082,N,72.0,3.0,6.0,23.38,13.83,23.16,12.92,18.58,15.16,18.41,13.88,14.46,14.0,16.92
4083,N,72.0,3.0,7.0,24.71,19.33,29.95,12.75,16.0,11.5,15.83,11.08,11.75,11.08,17.79
4084,P,72.0,3.0,8.0,10.58,6.38,15.71,4.92,5.75,1.79,7.87,1.08,4.08,4.08,5.17
4085,P,72.0,3.0,9.0,6.29,9.33,6.58,2.29,7.92,3.08,4.83,2.75,4.67,6.04,9.79
4086,P,72.0,3.0,10.0,10.25,6.5,18.29,6.63,6.58,5.5,11.17,4.75,9.13,7.67,7.38
4087,P,72.0,3.0,11.0,15.21,12.54,32.75,11.12,12.83,11.46,18.96,6.71,12.33,10.63,10.46
4088,P,72.0,3.0,12.0,17.46,8.83,23.25,9.33,11.58,10.58,16.5,8.46,12.29,8.29,9.13
4089,P,72.0,3.0,13.0,15.83,11.08,15.67,7.04,11.46,8.29,11.46,6.21,10.37,8.12,11.21
