,binaryClass_cat,RollRate_num,PitchRate_num,currPitch_num,currRoll_num,diffRollRate_num
3855,N,-0.0062,0.001,0.01,0.024,-0.00048
3856,P,0.004,0.0026,0.007,-0.002,0.00026
3857,P,0.0007,0.0034,0.008,0.009,-0.00015
3858,N,-0.0042,0.0029,0.008,0.006,-0.00028
3859,N,-0.0076,0.0046,0.017,-0.002,-2e-05
3860,P,0.0083,0.0051,0.023,-0.004,0.00011
3861,P,0.0049,0.0033,0.027,0.016,-0.00019
3862,N,-0.0078,0.001,0.022,0.007,-0.00022
3863,N,-0.0043,0.0019,0.018,-0.012,0.00028
3864,P,0.0064,0.002,0.013,-0.009,0.00025
3865,N,-0.0115,0.0029,0.013,-0.011,-0.00035
3866,P,0.0177,0.0039,0.008,-0.008,0.0004
3867,P,0.0174,0.0034,0.01,0.025,-0.00023
3868,N,-0.0094,0.0038,0.016,0.041,-0.00071
3869,P,0.0077,0.0039,0.019,0.011,0.00016
3870,P,0.0054,0.0024,0.02,0.032,-0.00014
3871,N,-0.0082,0.0014,0.013,0.006,-5e-05
3872,P,0.0047,0.0023,0.005,-0.007,0.00029
3873,N,-0.008,0.0037,0.008,-0.013,-0.00011
3874,P,0.0068,0.0066,0.016,-0.024,0.00027
3875,P,0.0103,0.0026,0.021,-0.006,8e-05
3876,P,0.0069,0.0019,0.025,0.018,-0.00023
3877,N,-0.0085,0.0001,0.015,0.008,-0.00016
3878,P,0.0069,0.0051,0.007,-0.004,0.00022
3879,N,-0.0084,0.001,0.011,-0.005,-0.00034
3880,P,0.0082,0.0036,0.013,-0.019,0.00031
3881,N,-0.0068,0.0025,0.015,0.006,-0.00025
3882,P,0.007,0.0023,0.013,-0.004,0.00048
3883,N,-0.0053,0.0027,0.018,0.017,-0.00023
3884,N,-0.0083,-0.0021,0.014,0.004,-0.00011
3885,N,0.0041,-0.0002,0.005,-0.007,0.00048
3886,P,0.011,0.0064,0.004,0.005,0.00034
3887,N,-0.0039,0.0036,0.009,0.022,-0.00106
3888,N,-0.0171,0.0025,0.01,0.004,-0.00034
3889,P,0.0055,0.0054,0.007,-0.038,0.00071
3890,P,0.0148,0.0049,0.016,0.011,3e-05
3891,P,0.0108,0.0026,0.018,0.037,-0.00043
3892,N,-0.0092,-0.0003,0.016,0.039,-0.00043
3893,P,0.0065,0.0015,0.005,0.009,8e-05
3894,P,0.0014,0.0019,0.003,0.031,-0.00019
3895,N,-0.0099,0.0045,0.009,0.015,-0.00027
3896,P,0.0047,0.0044,0.011,-0.005,0.00041
3897,P,0.0078,0.004,0.015,0.013,2e-05
3898,N,-0.005,0.0006,0.012,0.025,-0.00021
3899,N,-0.0084,0.0032,0.008,-0.006,-0.00014
3900,N,0.0002,0.0002,0.019,-0.01,0.00017
3901,P,0.0034,0.0002,0.017,-0.007,0.0002
3902,P,0.0049,0.0006,0.014,0.004,-1e-05
3903,P,0.0041,-0.0007,0.01,0.011,-7e-05
3904,N,-0.0074,0.0027,0.005,-0.002,-0.00013
3905,P,0.0039,-0.0002,0.013,0.006,1e-05
3906,N,-0.0047,0.0006,0.005,0.004,-8e-05
3907,P,0.0044,0.0029,0.011,-0.005,0.00011
3908,P,0.0043,-0.0019,0.016,0.012,0.00014
3909,N,-0.0078,-0.0019,0.005,0.001,-0.00011
3910,N,0.005,0.0056,0.019,-0.017,5e-05
3911,P,0.0062,0.0022,0.022,0.002,0.0
3912,N,0.0046,0.0024,0.023,0.011,-0.00014
3913,N,-0.0055,-0.0003,0.012,0.008,-0.00012
3914,N,-0.005,-0.0003,0.007,-0.01,6e-05
3915,P,0.0046,0.0008,0.011,-0.004,3e-05
3916,P,0.0031,0.0007,0.006,0.01,4e-05
3917,N,-0.0052,0.0023,0.011,0.005,-0.00011
3918,P,0.006,0.0001,0.008,-0.005,0.00013
3919,N,-0.0077,0.0009,0.007,-0.001,-0.00013
3920,P,0.0079,0.0026,0.011,-0.005,2e-05
3921,N,0.0063,0.0028,0.014,0.01,-0.00014
3922,N,-0.0041,0.0009,0.013,0.024,-0.00011
3923,P,0.0025,0.0006,0.009,0.01,8e-05
3924,N,-0.0053,0.0013,0.009,0.007,-0.00019
3925,P,0.0051,0.0018,0.009,-0.006,0.00011
3926,N,-0.0028,-0.0007,0.008,-0.011,2e-05
3927,P,0.006,0.0017,0.0,0.02,-4e-05
3928,N,-0.0048,0.0033,0.011,0.024,-0.00021
3929,P,0.006,-0.0002,0.007,0.014,6e-05
3930,N,-0.0057,0.0013,0.009,0.02,-0.00016
3931,N,-0.0043,0.0012,0.009,-0.014,7e-05
3932,P,0.0057,0.002,0.009,0.0,3e-05
3933,P,0.0031,0.0032,0.013,0.011,-0.0002
3934,N,-0.0049,0.0014,0.017,0.005,-0.00012
3935,P,0.0044,-0.0001,0.01,-0.004,0.00013
3936,P,0.0038,0.001,0.009,0.012,-5e-05
3937,P,0.0023,0.002,0.011,0.011,1e-05
3938,N,-0.0038,0.0003,0.009,0.005,-4e-05
3939,N,-0.0023,0.0014,0.014,-0.014,0.0
3940,P,0.005,-0.0001,0.011,-0.004,7e-05
3941,N,-0.004,0.0015,0.006,-0.013,0.0
3942,P,0.0037,0.0022,0.007,-0.008,0.0
3943,N,-0.0042,0.0017,0.013,-0.012,-7e-05
3944,P,0.0074,0.0019,0.009,0.013,-3e-05
3945,P,0.004,0.0013,0.004,-0.007,7e-05
3946,P,0.0065,0.005,0.027,-0.015,0.00073
3947,P,0.0063,0.0022,0.028,0.016,-0.00032
3948,N,-0.0095,0.0008,0.018,0.008,-0.00035
3949,P,0.0078,0.0082,0.009,-0.007,0.00055
3950,N,-0.0063,0.0067,0.026,-0.011,-0.00024
3951,P,0.0115,-0.0024,0.026,-0.009,0.00057
3952,N,0.0086,0.0019,0.018,0.028,-0.00037
3953,P,0.0064,0.002,0.014,0.043,1e-05
3954,N,-0.0099,-0.0028,0.025,-0.002,-1e-05
3955,P,0.0036,0.0058,0.022,-0.007,2e-05
3956,N,-0.0025,0.0042,0.023,-0.012,0.00012
3957,P,0.0054,0.0033,0.021,-0.009,0.00024
3958,N,-0.0038,0.0036,0.024,-0.01,2e-05
3959,P,0.0051,0.0037,0.012,-0.008,7e-05
3960,P,0.0008,0.0024,0.012,0.009,-6e-05
3961,N,-0.0035,0.0038,0.012,0.006,-0.00019
3962,N,-0.0017,0.0039,0.022,-0.01,-5e-05
3963,P,0.0036,0.0029,0.019,-0.008,0.00013
3964,N,-0.0052,0.0009,0.012,-0.006,-0.00027
3965,N,-0.0068,0.0043,0.012,-0.032,2e-05
3966,P,0.0091,0.004,0.014,-0.032,0.00031
3967,P,0.004,0.0025,0.014,0.01,8e-05
3968,N,-0.0061,0.0046,0.018,0.007,-0.00018
3969,N,-0.0052,0.0034,0.019,-0.013,0.00011
3970,P,0.0083,0.0022,0.013,-0.01,0.00034
3971,N,-0.0039,0.0034,0.014,0.012,-0.00031
3972,P,0.0048,0.0038,0.012,0.004,0.00017
3973,P,0.0049,0.0044,0.017,0.022,-4e-05
3974,P,0.004,0.0041,0.012,0.028,0.00013
3975,N,-0.0064,0.0005,0.009,0.022,-0.00011
3976,N,-0.0068,0.0016,0.012,0.008,-0.00025
3977,N,-0.0051,0.0032,0.012,-0.012,0.00016
3978,P,0.0053,0.0032,0.011,-0.011,0.00017
3979,P,0.0045,0.0046,0.017,0.012,-7e-05
3980,P,0.0039,0.0004,0.007,0.026,7e-05
3981,N,-0.0081,0.0021,0.012,0.016,-0.00015
3982,P,0.003,0.0043,0.013,-0.008,0.00013
3983,P,0.0043,0.0023,0.013,0.011,8e-05
3984,N,-0.0074,0.0014,0.008,0.009,-0.00031
3985,P,0.0096,0.0027,0.013,-0.002,0.0002
3986,P,0.0028,0.0027,0.01,0.027,0.00021
3987,N,-0.006,0.0027,0.011,0.025,-0.00025
3988,P,0.0037,0.0022,0.01,0.007,0.00021
3989,P,-0.0055,0.0023,0.01,0.009,-0.00012
3990,N,-0.0078,0.0023,0.01,0.0,-0.00016
3991,P,0.0045,0.0036,0.009,-0.011,0.0003
3992,P,0.0056,0.0019,0.008,0.006,0.00013
3993,P,0.0063,0.002,0.007,0.014,2e-05
3994,P,0.0072,0.0042,0.012,0.03,-1e-05
3995,N,-0.0087,-0.0001,0.009,0.038,-0.00037
3996,P,0.0024,0.0028,0.013,0.01,0.0001
3997,N,-0.0038,0.0021,0.01,0.006,-8e-05
3998,P,0.0042,0.0018,0.008,0.005,0.00012
3999,N,-0.009,0.0036,0.009,-0.015,-9e-05
4000,N,-0.0063,0.0024,0.008,-0.028,0.00027
4001,P,0.007,0.0022,0.008,-0.007,0.00012
4002,N,-0.008,0.0022,0.009,0.009,-0.00043
4003,P,-0.0033,0.0029,0.009,-0.014,0.00045
4004,P,0.0069,0.0039,0.011,-0.008,0.00031
4005,N,-0.0039,0.0011,0.003,0.0,-0.00022
4006,N,-0.0072,0.0028,0.001,-0.013,-0.0001
4007,P,0.0057,0.0045,0.004,-0.024,0.0003
4008,N,-0.0081,0.0014,0.017,-0.016,-0.00014
4009,P,0.0048,0.0011,0.009,-0.029,0.00049
4010,N,-0.0037,0.004,0.011,-0.008,-0.00025
4011,P,0.0051,0.0022,0.008,-0.021,0.00032
4012,N,-0.0025,0.0024,0.011,-0.012,-0.00022
4013,P,0.0049,0.0042,0.01,-0.001,2e-05
4014,P,0.0024,0.0015,0.009,0.01,-0.00012
4015,N,-0.007,0.0056,0.007,0.001,-0.00025
4016,P,0.0048,-0.0054,0.008,-0.01,0.00039
4017,N,-0.004,0.0022,0.004,0.0,-0.00045
4018,N,-0.0068,0.0031,0.009,-0.012,-7e-05
4019,P,0.0093,0.0026,0.018,-0.007,0.00023
4020,N,-0.0043,0.0018,0.019,0.017,-0.00024
4021,P,0.0071,0.0021,0.008,-0.007,0.00016
4022,N,0.0035,0.0035,0.017,0.014,-0.00019
4023,N,-0.004,0.0006,0.019,0.012,-0.00012
4024,P,0.002,0.0045,0.005,0.009,-7e-05
4025,N,-0.0053,0.0027,0.012,0.006,-0.00031
4026,P,0.0035,0.0031,0.015,-0.013,0.0001
4027,N,-0.0044,-0.001,0.013,-0.009,-0.00011
4028,P,0.0064,-0.0007,0.005,-0.008,0.00021
4029,N,-0.0065,-0.0013,0.011,0.007,-0.00016
4030,P,0.003,0.0006,0.01,-0.007,0.00025
4031,P,0.0054,0.0011,0.011,0.015,-1e-05
4032,N,-0.0071,-0.0001,0.006,0.008,-0.00012
4033,P,0.0083,0.0023,0.012,-0.001,0.00026
4034,P,0.0061,0.0016,0.013,0.015,-0.00029
4035,N,-0.008,0.0015,0.015,0.009,-0.00026
4036,P,0.0053,0.0037,0.01,-0.008,0.00036
4037,P,0.0079,0.0029,0.015,0.009,2e-05
4038,P,0.0077,0.0004,0.015,0.02,-4e-05
4039,P,0.0053,-0.0026,0.011,0.033,-0.0001
4040,N,-0.0051,0.0004,0.005,0.034,-0.00012
4041,N,-0.0064,0.0014,0.007,0.02,-3e-05
4042,P,0.0056,0.0009,0.012,0.01,0.00021
4043,N,-0.0092,-0.0008,0.011,0.005,-0.00023
4044,P,0.0092,0.0003,0.007,-0.007,0.0002
4045,P,0.0069,0.0012,0.008,0.011,-0.0003
4046,N,-0.0088,-0.0011,0.011,0.006,-0.00031
4047,P,0.0038,0.0003,0.01,-0.023,0.0004
4048,P,0.0084,-0.0004,0.01,-0.003,7e-05
4049,P,0.0072,0.0001,0.009,0.018,-9e-05
4050,P,0.0006,0.0004,0.008,0.032,-0.00021
4051,N,-0.0107,0.0009,0.009,0.015,-0.00028
4052,P,0.0045,0.0007,0.007,-0.021,0.00024
4053,P,0.0066,0.0021,0.009,-0.004,2e-05
4054,N,-0.0059,0.0017,0.014,0.009,-0.00018
4055,P,0.0028,-0.0011,0.006,-0.004,0.00024
4056,N,-0.0062,0.0021,0.007,0.005,-0.00044
4057,N,-0.0052,0.0026,0.011,-0.013,6e-05
4058,P,0.0068,0.0029,0.01,-0.012,0.00019
4059,N,-0.0034,0.002,0.016,0.014,-0.00034
4060,N,-0.0072,-0.0003,0.014,0.006,-0.00019
4061,N,-0.0039,-0.0008,0.009,-0.011,0.00021
4062,P,0.0037,0.0016,0.006,-0.011,0.00021
4063,P,-0.004,0.0016,0.021,-0.002,-9e-05
4064,N,-0.0065,-0.0075,0.021,-0.013,-9e-05
4065,P,0.0078,-0.0019,-0.001,-0.014,0.00029
4066,N,-0.0097,0.0019,0.01,0.006,-0.0002
4067,N,-0.0111,0.0003,0.009,-0.009,-6e-05
4068,P,0.0117,-0.0027,0.004,-0.008,0.00037
4069,P,0.0128,-0.0012,0.001,0.012,-7e-05
4070,P,0.0087,-0.0002,0.001,0.028,-0.00037
4071,N,-0.0037,0.004,0.01,0.036,-0.00037
4072,P,0.004,0.0021,0.009,0.009,9e-05
4073,N,-0.0059,0.0007,0.015,0.005,-0.00015
4074,P,0.0042,0.0002,0.008,-0.008,0.0002
4075,N,-0.0068,0.0011,0.01,-0.012,-0.00016
4076,P,0.0072,-0.0001,0.004,-0.019,0.00033
4077,P,0.0102,0.0026,0.006,-0.006,0.00013
4078,P,0.0066,0.002,0.008,0.012,-0.00032
4079,N,-0.008,0.0021,0.02,0.001,-8e-05
4080,P,0.0084,-0.0021,0.008,-0.008,0.00029
4081,N,-0.0062,0.0033,0.002,0.017,-0.00029
4082,N,-0.0088,0.0038,0.008,0.002,-3e-05
4083,N,-0.0077,0.0036,0.013,-0.013,0.00012
4084,P,0.0118,-0.0011,0.005,-0.004,0.00024
4085,P,0.0131,-0.0001,0.004,0.019,0.0
4086,P,0.0093,0.0016,0.006,0.04,-0.00031
4087,N,-0.0059,0.0023,0.012,0.047,-0.00051
4088,P,0.0037,0.0004,0.01,-0.006,0.00011
4089,P,-0.0051,0.0001,0.011,-0.004,-0.00025
4090,N,-0.0093,-0.0011,0.01,-0.015,-0.00024
4091,N,-0.0054,0.0001,0.008,-0.033,0.00037
4092,P,0.013,0.0018,0.009,-0.014,0.00031
4093,P,0.0142,0.001,0.008,0.012,-0.00024
4094,P,0.0089,0.0012,0.009,0.029,-0.00045
4095,N,-0.0039,0.0001,0.009,-0.009,-0.00011
4096,P,0.0068,-0.001,0.006,-0.007,0.00023
4097,N,-0.0039,0.0018,0.011,0.001,-4e-05
4098,N,-0.001,-0.0004,0.007,-0.009,0.0001
4099,P,0.0052,0.001,0.003,-0.004,0.00022
4100,P,0.006,0.0017,0.006,0.011,-7e-05
4101,P,-0.0048,-0.0001,0.01,0.011,-0.00011
4102,N,-0.0044,0.0045,0.03,-0.004,-9e-05
4103,N,-0.005,0.0046,0.035,-0.011,-2e-05
4104,N,-0.0006,0.0009,0.034,-0.027,0.0001
4105,P,0.0047,0.0001,0.03,-0.022,0.00016
4106,N,-0.0045,0.001,0.02,-0.012,-4e-05
4107,N,0.0037,0.0022,0.023,-0.025,0.00016
4108,P,0.0088,-0.0015,0.02,0.007,0.0
4109,P,0.0072,-0.0011,0.018,0.019,-0.00017
4110,N,-0.0041,0.0027,0.022,0.028,-0.00037
4111,N,-0.001,0.0003,0.015,-0.01,1e-05
4112,P,0.0057,0.0007,0.015,0.012,2e-05
4113,N,-0.0055,-0.0002,0.015,0.004,-9e-05
4114,N,-0.0035,0.001,0.014,-0.012,9e-05
4115,P,0.0067,0.0032,0.007,0.0,7e-05
4116,N,-0.0062,0.0003,0.014,0.024,-0.00018
4117,P,0.0039,-0.0001,0.014,-0.017,0.0002
4118,P,0.0042,0.0,0.009,0.014,-6e-05
4119,N,-0.004,-0.0006,0.011,0.012,-6e-05
4120,N,-0.0047,0.0017,0.014,0.005,-6e-05
4121,P,0.0027,0.0008,0.013,0.011,-2e-05
4122,N,-0.0034,0.0003,0.012,0.011,-0.00015
4123,N,-0.0043,0.0001,0.003,0.004,-7e-05
4124,N,-0.0031,0.004,0.013,-0.012,5e-05
4125,P,0.0039,0.0007,0.013,-0.012,0.00022
4126,P,0.0062,0.0009,0.014,0.011,0.0
4127,N,-0.0041,0.0015,0.014,0.003,-3e-05
4128,P,0.0043,0.0005,0.01,0.012,0.0
4129,N,-0.0047,0.0,0.008,0.002,-2e-05
4130,N,-0.002,0.0009,0.008,-0.011,0.0001
4131,P,0.0062,0.0007,0.008,0.001,0.00011
4132,P,0.0058,0.0011,0.008,0.013,-7e-05
4133,N,-0.0047,0.0007,0.007,0.004,-4e-05
4134,N,-0.002,0.0015,0.01,-0.01,9e-05
4135,P,0.0044,0.0006,0.007,-0.006,0.00014
4136,N,-0.0036,-0.0002,0.011,-0.011,1e-05
4137,P,0.0036,-0.0007,0.005,-0.013,0.00018
4138,P,0.0053,0.0014,0.007,0.012,-2e-05
4139,N,-0.0055,0.0007,0.015,0.004,-3e-05
4140,P,0.0047,0.0001,0.005,-0.007,0.00019
4141,P,0.0059,0.0013,0.006,0.013,-3e-05
4142,N,-0.0039,0.0006,0.018,0.017,-9e-05
4143,N,-0.0048,-0.0028,0.008,0.004,-5e-05
4144,P,0.0049,-0.0001,0.002,0.001,0.00024
4145,P,0.0062,0.0024,0.005,0.013,2e-05
4146,P,0.0045,0.0024,0.011,0.029,-8e-05
4147,P,0.002,-0.0017,0.002,0.035,4e-05
4148,P,0.0022,-0.0004,0.008,0.01,2e-05
4149,N,-0.0043,-0.0001,0.013,-0.011,2e-05
4150,N,-0.0065,0.0,0.011,0.005,-8e-05
4151,N,0.0027,-0.0007,0.008,-0.008,0.00021
4152,P,0.0085,0.0,0.006,0.004,0.00024
4153,P,0.008,0.0039,0.014,0.03,-0.00017
4154,N,-0.0064,-0.0007,0.021,0.032,-0.00023
4155,P,-0.0082,-0.0034,0.016,0.021,-8e-05
4156,N,-0.0038,-0.0024,0.002,-0.012,0.00023
4157,P,0.0067,-0.0005,0.011,-0.004,0.00016
4158,P,0.0053,0.0008,0.011,0.014,-0.00012
4159,P,-0.0082,-0.0022,-0.001,0.003,-0.00015
4160,N,-0.0112,0.0027,0.002,-0.01,-0.00021
4161,N,-0.0077,0.0036,0.008,-0.033,0.00029
4162,P,0.0064,-0.0007,0.008,-0.036,0.00033
4163,P,0.0099,-0.0003,0.004,0.001,0.0
4164,P,0.0058,0.0012,0.005,0.017,-0.00032
4165,N,-0.007,0.0043,0.012,0.016,-0.00076
4166,N,-0.0109,-0.0001,0.017,-0.011,0.00026
4167,P,0.0062,-0.0005,0.002,-0.024,0.00035
4168,N,-0.0025,0.0029,0.014,-0.01,3e-05
4169,P,0.0063,-0.0011,0.008,-0.006,0.00033
4170,N,-0.0066,0.0022,0.01,0.005,-0.00044
4171,N,-0.0006,0.001,0.012,-0.01,0.00027
4172,P,0.0049,-0.0006,0.01,-0.006,0.0003
4173,N,0.001,0.0002,0.008,0.011,-0.0002
4174,N,-0.0041,0.0012,0.008,0.006,-0.00017
4175,N,-0.0034,0.001,0.013,-0.013,1e-05
4176,P,0.0064,-0.0003,0.009,-0.007,0.0001
4177,N,-0.009,0.0005,0.006,-0.016,-0.00012
4178,N,-0.0075,0.0025,0.009,-0.03,0.00018
4179,P,0.0124,-0.0005,0.008,-0.005,0.00013
4180,P,0.0108,0.0007,0.008,0.017,-0.00018
4181,N,-0.0092,0.0004,0.023,0.023,-0.00072
4182,N,-0.0085,-0.0072,0.01,-0.031,0.00018
4183,P,0.0115,0.0037,0.007,-0.01,0.00013
4184,P,0.011,0.0031,0.012,0.011,-0.00012
4185,N,-0.0081,-0.0018,0.008,0.019,-0.00015
4186,N,-0.0064,0.0021,0.001,-0.011,-0.00024
4187,N,-0.0033,0.002,0.004,-0.03,0.00016
4188,P,0.0054,0.002,0.009,-0.023,9e-05
4189,P,0.0071,0.0016,0.013,-0.002,0.00019
4190,P,0.0042,0.0006,0.005,0.006,0.00015
4191,P,0.0019,-0.0001,0.009,0.01,2e-05
4192,N,-0.0044,0.0003,0.007,0.004,-9e-05
4193,N,-0.0009,0.0012,0.01,-0.01,-2e-05
4194,P,0.0034,0.0007,0.01,-0.007,0.00016
4195,N,-0.0043,-0.0005,0.003,-0.011,-3e-05
4196,N,0.0038,0.0041,0.018,-0.01,5e-05
4197,N,-0.0042,0.0015,0.012,-0.011,-0.00012
4198,P,0.0077,0.0005,0.011,-0.004,0.0002
4199,P,0.0074,0.0011,0.012,0.012,-8e-05
4200,N,-0.0041,0.0006,0.013,0.02,-0.00027
4201,P,0.0018,0.0,0.01,0.01,2e-05
4202,N,-0.0039,0.0005,0.01,0.007,-0.00016
4203,P,0.0059,0.0008,0.006,0.013,7e-05
4204,P,-0.0005,-0.0002,0.012,0.028,-0.00013
4205,N,-0.0058,0.0007,0.012,0.022,-0.00027
4206,P,0.0065,0.0007,0.005,-0.003,0.00024
4207,P,0.0057,-0.0003,0.007,0.019,-8e-05
4208,P,0.0025,0.0004,0.007,0.027,-0.0002
4209,N,-0.002,-0.0006,0.007,-0.01,1e-05
4210,N,0.0026,-0.0006,0.001,-0.008,4e-05
4211,N,-0.0024,0.0015,0.012,-0.014,0.0
4212,P,0.0071,0.0033,0.01,-0.001,0.0001
4213,P,0.0056,0.0022,0.014,0.018,-9e-05
4214,N,-0.0095,-0.0002,0.012,0.005,-0.00017
4215,N,-0.0069,-0.0001,0.011,-0.013,0.00024
4216,P,0.0066,-0.0014,0.006,-0.014,0.00029
4217,P,0.0057,0.0024,0.008,0.012,-0.00019
4218,N,-0.0092,-0.0018,0.012,-0.005,-7e-05
4219,P,0.0088,0.0019,0.009,0.013,4e-05
4220,N,-0.0051,-0.0018,0.012,0.025,-0.00032
4221,P,0.0043,-0.0001,0.006,0.006,0.00016
4222,P,0.0057,0.002,0.008,0.013,7e-05
4223,P,0.0016,0.0012,0.006,0.029,-5e-05
4224,N,-0.0051,0.0009,0.011,0.022,-0.00015
4225,P,0.0053,-0.0003,0.012,0.017,4e-05
4226,P,-0.0009,0.0001,0.007,0.027,-0.00013
4227,N,-0.0063,0.002,0.01,0.02,-0.00027
4228,N,-0.0085,-0.0018,0.01,0.008,-1e-05
4229,N,-0.0036,0.0011,0.008,-0.01,0.0002
4230,P,0.0045,0.0019,0.012,-0.009,0.00023
4231,P,0.0057,-0.0006,0.014,0.01,-4e-05
4232,N,-0.0035,0.0017,0.023,-0.012,0.00015
4233,P,0.0048,0.0005,0.011,-0.007,7e-05
4234,N,-0.0055,-0.0001,0.018,-0.011,-6e-05
4235,P,0.0049,-0.0008,0.01,-0.023,0.00019
4236,P,0.0007,-0.0014,0.017,0.009,1e-05
4237,P,0.0048,0.0041,0.01,0.014,6e-05
4238,N,-0.004,0.0018,0.026,0.018,-0.00014
4239,N,-0.0049,-0.0037,0.017,0.006,-1e-05
4240,N,-0.0041,0.0013,0.013,-0.011,-2e-05
4241,P,0.0045,0.0028,0.016,-0.006,0.0
4242,N,-0.0003,-0.0005,0.013,-0.01,3e-05
4243,P,0.004,-0.0019,0.007,-0.007,0.00019
4244,N,-0.0065,0.0022,0.008,-0.009,-0.00015
4245,N,-0.0057,0.0021,0.011,-0.029,9e-05
4246,P,0.0082,0.0009,0.013,-0.021,0.00014
4247,P,-0.0084,0.0003,0.011,0.007,-0.00045
4248,N,-0.0102,0.0005,0.011,-0.014,0.00013
4249,P,0.0068,0.0001,0.004,-0.025,0.00029
4250,N,-0.002,0.0019,0.012,-0.01,-1e-05
4251,P,0.0042,0.0004,0.013,-0.007,0.00016
4252,N,-0.004,0.0028,0.005,-0.011,-1e-05
4253,P,0.0033,-0.0004,0.011,-0.007,7e-05
4254,N,-0.0032,0.001,0.011,-0.013,0.0
4255,N,-0.0017,0.0002,0.006,-0.01,-1e-05
4256,P,0.0042,0.0009,0.009,0.011,-1e-05
4257,N,-0.0046,0.0012,0.014,0.007,-6e-05
4258,P,0.0046,-0.0003,0.008,0.004,0.00012
4259,P,0.0049,0.0,0.006,0.015,-2e-05
4260,N,-0.0064,0.0005,0.006,0.013,-0.00018
4261,N,-0.0048,0.002,0.007,-0.03,0.00017
4262,P,0.0066,-0.0005,0.014,-0.026,0.00024
4263,N,-0.0033,0.001,0.016,0.001,-0.00036
4264,N,-0.007,-0.0025,0.013,-0.006,-0.00021
4265,P,0.0058,0.0048,0.004,-0.017,5e-05
4266,N,-0.0062,0.0042,0.019,-0.013,-0.00042
4267,P,0.0075,-0.0022,0.01,-0.02,0.00027
4268,P,0.0087,-0.0017,0.005,-0.003,-1e-05
4269,P,0.0044,0.001,0.004,0.016,-0.0002
4270,N,-0.0115,0.0,0.01,-0.003,-0.00022
4271,N,-0.0096,0.0006,0.01,-0.028,0.0003
4272,P,0.006,-0.003,0.01,-0.036,0.0004
4273,N,-0.0032,-0.0003,0.009,-0.01,-0.00024
4274,P,0.0044,0.0011,-0.002,-0.014,0.00022
4275,P,0.0068,0.0024,0.002,-0.005,0.00011
4276,N,-0.0083,0.0011,0.012,-0.015,-2e-05
4277,N,-0.0048,-0.0009,0.012,-0.028,0.00031
4278,P,0.0109,-0.0003,0.008,-0.015,0.00032
4279,P,0.0066,0.0018,0.01,0.011,-0.00032
4280,N,-0.0061,0.0013,0.012,0.012,-0.00054
4281,N,-0.0079,0.0006,0.014,-0.01,0.00023
4282,P,0.0053,0.0012,0.007,-0.007,-1e-05
4283,P,0.0015,0.0004,0.006,0.011,-9e-05
4284,N,-0.0051,0.0018,0.009,0.007,-0.00025
4285,P,0.005,-0.0012,0.006,-0.008,0.00025
4286,N,-0.0036,0.0017,0.015,-0.012,0.0
4287,P,0.0069,-0.0002,0.011,-0.006,0.00022
4288,N,0.0049,0.0004,0.01,0.016,-0.00013
4289,P,0.0042,-0.0003,0.006,0.012,0.00018
4290,N,-0.0081,0.001,0.007,0.008,-0.00029
4291,N,-0.0066,0.0001,0.006,-0.011,0.00022
4292,P,0.0076,0.0023,0.006,-0.009,0.00032
4293,P,0.0104,0.0019,0.011,0.022,0.0
4294,N,-0.0051,0.0028,0.016,0.035,-0.0009
4295,P,0.0028,-0.0034,0.004,-0.008,0.00042
4296,P,0.0041,0.0023,0.007,0.01,-7e-05
4297,N,-0.0052,-0.0018,0.012,0.007,-0.00014
4298,N,-0.0035,-0.0014,0.004,-0.012,8e-05
4299,N,-0.0021,0.0001,0.013,-0.017,-3e-05
4300,P,0.003,0.0053,0.008,-0.008,-1e-05
4301,N,-0.0049,0.0021,0.015,-0.011,-0.00019
4302,N,-0.001,0.0006,0.01,-0.009,-2e-05
4303,P,0.0032,-0.0007,0.005,-0.007,0.00012
4304,N,-0.0042,0.0018,0.011,-0.011,-6e-05
4305,P,0.0066,-0.0017,0.003,-0.007,0.00016
4306,N,-0.0102,0.0029,0.011,0.001,-0.00066
4307,N,-0.0041,-0.0001,0.01,-0.03,0.00043
4308,P,0.0072,0.0006,0.009,-0.027,0.00044
4309,P,0.007,-0.001,0.012,0.012,-5e-05
4310,N,-0.0056,-0.0016,0.003,-0.011,0.00019
4311,P,0.0041,0.0016,-0.001,-0.014,0.00032
4312,P,0.0071,0.0042,0.004,-0.006,0.00015
4313,P,0.0071,0.0046,0.013,0.012,-6e-05
4314,N,-0.0037,-0.0012,0.012,0.019,-0.00031
4315,N,-0.0027,0.0016,0.003,-0.011,4e-05
4316,P,0.0049,0.0019,0.005,-0.008,0.00018
4317,N,-0.0064,0.002,0.019,-0.011,-0.00011
4318,N,0.0055,-0.0026,0.009,-0.019,0.00017
4319,P,0.0121,0.0,0.005,0.006,0.0002
4320,P,0.0128,0.001,0.006,0.024,-3e-05
4321,N,-0.0052,0.0027,0.012,0.038,-0.00073
4322,N,-0.0114,0.0002,0.014,0.023,-5e-05
4323,P,0.0066,-0.0013,0.01,0.015,7e-05
4324,P,0.0037,0.0007,0.01,0.028,-0.00016
4325,N,-0.0047,0.0012,0.011,0.028,-0.00037
4326,P,0.0017,0.0025,0.014,0.01,0.0
4327,N,-0.0039,0.0008,0.017,0.007,-0.00018
